Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQNT,,2018-2019,2013-2014,"GAGNON, CARL A.",170946,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,479926,0,479926,Organismes vivants ,Micro-organismes,Virus (Organismes vivants),Évolution et traitement des maladies,Fondements et avancement des connaissances,Microbiologie // Maladies infectieuses du porc // Zoonoses // Antibiorésistance // Diagnostic vétérinaire // Bioaérosols // Épidémiologie // Vaccin // Maladies infectieuses de la volaille // Virologie // Immunologie // Salubrité des aliments // Santé publique vétérinaire // avicole // bactéries // virus // prophylaxie anti-infectieuse // vaccins // porc
FRQNT,,2018-2019,2013-2014,"LAURENDEAU, DENIS",170952,Université Laval,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,359943,0,359943,Technologie de l'information et des communications ,Reconnaissance des formes et infographie,Réalité virtuelle,Technologies des communications et de l'information,,environnements intelligents répartis // réalité virtuelle et augmentée // apprentissage machine // vision artificielle // modélisation et simulation // capteurs et actionneurs // robotique fixe et mobile // Réalité virtuelle et augmentée // Environnements intelligents répartis // Apprentissage machine // Vision artificielle et robotique // Modélisation et simulation // Capteurs et actionneurs
FRQNT,,2018-2019,2013-2014,"DRAPEAU, PIERRE",171080,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,474000,0,474000,Ressources naturelles ,Écosystème (terrestre et aquatique) ,Processus écologique et écophysiologique ,Ressources naturelles,,forêt // écosysteme // perturbations // génomique // biodiversité // aménagement // écologie-biologie forestière // écosystème (processus et fonctions) // perturbations naturelles et anthropiques // pratiques sylvicoles adaptées // aménagement forestier durable // forêt
FRQNT,,2018-2019,2013-2014,"TREMBLAY, RÉJEAN",171172,Université du Québec à Rimouski [UQAR],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,397100,0,397100,Organismes vivants ,Aquaculture,Ressources halieutiques,Ressources naturelles,Environnement,Aquaculture // Pêches // Gestion durable // Valorisation de la ressource // Empreinte environnementale et sociale // Développement technologique // Poissons // Mollusques bivalves // Environnement // Santé // Économie // Éthique // Génomique fonctionnelle // Microalgues // Microbiologie // Phosphore // Aquaculture // Pêche commerciale // Pêche sportive
FRQNT,,2018-2019,2013-2014,"LI, CHAOJUN",171310,Université McGill,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,570000,0,570000,Nature et interactions de la matière,Synthèse chimique et catalyse,Technologies propres,Fondements et avancement des connaissances,Environnement,Green chemistry // Heterogeneous catalysis // Homogeneous catalysis // Biotechnology // Efficient synthesis // Biocatalysis // Organic synthesis // Surface Chemistry // Environmental toxicity // Green Chemistry // Catalysis // Efficient synthesis // Biotechnology // Environmental impact // Biomass
FRQNT,,2018-2019,2013-2014,"GONZALEZ, ANDREW",171315,Université McGill,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,570000,0,570000,Environnement,Biodiversité et biocomplexité,Processus écologique et écophysiologique ,Environnement,Ressources naturelles,biodiversité // développement durable // conservation // taxonomie // espèces invasives // extinction // économie environnementale et écologique // services écologiques // adaptation // politiques // changements climatiques // biological diversity // ecology // evolution // ecoinformatics // conservation // ecosystem services
FRQNT,Cofinancé FRQSC,2018-2019,2013-2014,"SAMSON, RÉJEAN",171380,École Polytechnique de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,480000,0,480000,Environnement,Développement durable,Systèmes de pensée (éducation),Croissance économique,Environnement,Développement durable // Analyse du cycle de vie // Responsabilité sociale // Économie verte // Droit et politique environnementale // Eco-conception // Eco-design // Logistique verte // Impacts sociaux et socio-économiques // Développement durable // Analyse du cycle de vie // Responsabilité sociale des entreprises // Économie verte // Éco-conception // Technologies vertes
FRQNT,,2018-2019,2013-2014,"PAULTRE, PATRICK",171443,Université de Sherbrooke,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,478944,0,478944,Fabrication et construction,Phénomènes dynamiques des grands ouvrages,Résistance sismique,Sécurité,Construction,Réhabilitation // Charges extrêmes // Vent // Séisme // Verglas // Neige // Explosion // Dynamique des structures // Sécurité // Ponts // Bâtiments // Barrages // Lignes de transport électriques // Génie parasismique // Structures en béton armé // Structures en acier // Dynamique des sols // Essais // Maçonnerie // Contrôle des vibrations // Endommagement // Télésurveillance // Codes et normes // Structures // Séismes // Vent // Instrumentation // Vulnérabilité // Réhabilitation
FRQNT,,2018-2019,2013-2014,"BENHADDADI, MOHAMED",177935,Cégep du Vieux Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Environnement,,,,,
FRQNT,,2018-2019,2013-2014,"OLIVIER, MARC-J.",177937,Cégep de Sorel-Tracy,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Environnement,,,,,
