nom,lieu_naissance,date_naissance,lieu_deces,date_deces,nationalite,id,oeuvres
"Atget, Eugène","Libourne, France",1856-02-12,"Paris, France",1927-08-04,Française,380,A 78 78 PH 1
"Baillairgé, François","Québec (Québec), Canada",1759-01-21,"Québec (Québec), Canada",1830-09-15,Canadienne,3491,A 92 1027 PA 1
"Blossfeldt, Karl","Schielo, Allemagne",1865-06-13,"Berlin, Allemagne",1932-12-09,Allemande,676,A 78 80 PH 1
"Bouchard, Simone Mary","Baie-Saint-Paul (Québec), Canada",1912-06-19,"Baie-Saint-Paul (Québec), Canada",1945,Canadienne,867,A 71 59 P 1;A 71 60 P 1;A 92 690 P 1
"Brooker, Bertram Richard","Croydon (Angleterre), Royaume-Uni",1888-03-31,"Toronto (Ontario), Canada",1955-03-21,Canadienne,903,A 76 10 P 1
"Cameron, Julia Margaret","Calcutta, Inde",1815-06-11,"Kalutara, Sri Lanka",1879-01-26,Britannique,968,A 78 84 PH 1
"Carr, Emily","Victoria (Colombie-Britannique), Canada",1871-12-13,"Victoria (Colombie-Britannique), Canada",1945-03-02,Canadienne,995,A 92 255 P 1;A 92 939 P 1;D 74 57 P 1;D 75 40 P 1;D 75 41 P 1;D 76 43 P 1;D 76 45 A 1;D 88 116 P 1
"Chasnik, Ilya","Lucyn, Russie",1902-06-20,"Saint-Pétersbourg, Russie",1929,Russe,1034,A 81 55 D 1
"Comtois, Louis","Montréal (Québec), Canada",1945-04-11,"New York (New York), États-Unis",1990-06-16,Canadienne,1076,A 86 28 P 1;D 95 21 P 5;D 95 22 MD 3
"Delfosse, Georges","Mascouche (Québec), Canada",1869,"Montréal (Québec), Canada",1939,Canadienne,3693,A 92 293 P 1;A 92 633 P 1
"Desbarres, Joseph Frederick Wallet","Bâle, Suisse",1721,"Halifax (Nouvelle-Écosse), Canada",1824,Britannique,3509,A 92 645 G 1;A 92 665 G 1
"Doesburg, Theo van","Utrecht, Pays-Bas",1883,"Davos, Suisse",1931,Néerlandaise,2867,A 86 24 D 1
"Evans, Frederick H.","Londres (Angleterre), Royaume-Uni",1853-06-26,"Londres (Angleterre), Royaume-Uni",1943-06-24,Britannique,1323,A 78 87 PH 1
"Gagnon, Clarence","Sainte-Rose (Québec), Canada",1881,"Montréal (Québec), Canada",1942,Canadienne,3538,A 92 643 P 1
"Hamel, Théophile","Sainte-Foy (Québec), Canada",1817-11-08,"Québec (Québec), Canada",1870-12-23,Canadienne,3872,A 92 550 P 1;A 92 892 P 1
"Harris, Robert","Conwy (Pays de Galles), Royaume-Uni",1849,"Montréal (Québec), Canada",1919,Britannique; Canadienne,3874,A 92 928 P 1;A 92 929 P 1;A 92 930 P 1;A 92 931 P 1;A 92 932 P 1
"Hine, Lewis Wickes","Oshkosh (Wisconsin), États-Unis",1874-09-26,"Hastings-on-Hudson (New York), États-Unis",1940-11-03,Américaine,1605,A 78 89 PH 1
"Johnstone, John Young","Montréal (Québec), Canada",1887,"La Havane, Cuba",1930,Canadienne,3614,A 92 484 P 1
"Kandinsky, Wassily","Moscou, Russie",1866-12-04,"Neuilly-sur-Seine, France",1944-12-13,Russe,1674,A 67 95 G 1
"Klee, Paul","Berne, Suisse",1879-12-18,"Muralto-Locarno, Suisse",1940-06-29,Suisse,1693,A 77 8 D 1
"Klucis, Gustav Gustavovich","Valmiera, Lettonie",1895-01-04,"Butovo, Russie",1944,Russe,1699,A 77 45 G 1
"Larose, Ludger","Montréal (Québec), Canada",1868,"Montréal (Québec), Canada",1915,Canadienne,3897,A 92 648 P 1
"Levy, Albert","Paris, France",1864-05-04,,inconnue,Française,1849,A 80 79 PH 1
"Lissitzky, El","Potchinok, Russie",1890-11-23,"Moscou, Russie",1941-12-30,Russe,1861,A 80 114 G 1
"Légaré, Joseph","Québec (Québec), Canada",1795-03-10,"Québec (Québec), Canada",1855-06-21,Canadienne,3928,A 92 274 P 1
"MacDonald, James Edward Hervey","Durham (Angleterre), Royaume-Uni",1873,"Toronto (Ontario), Canada",1932,Canadienne,3124,D 88 125 P 1;D 88 126 P 1
"Maillol, Aristide","Banyuls-sur-mer, France",1861-12-08,"Banyuls-sur-mer, France",1944,Française,2668,D 83 104 S 1
"Malevich, Kasimir","Kiev, Ukraine",1878-02-23,"Saint-Pétersbourg, Russie",1935-05-15,Russe,1914,A 78 52 G 15 (1);A 78 52 G 15 (10);A 78 52 G 15 (11);A 78 52 G 15 (12);A 78 52 G 15 (13);A 78 52 G 15 (14);A 78 52 G 15 (15);A 78 52 G 15 (2);A 78 52 G 15 (3);A 78 52 G 15 (4);A 78 52 G 15 (5);A 78 52 G 15 (6);A 78 52 G 15 (7);A 78 52 G 15 (8);A 78 52 G 15 (9);A 80 47 G 1
"Marinetti, Filippo Tommaso","Alexandrie, Égypte",1876-12-22,"Milan, Italie",1944-12-02,Italienne,1925,A 81 56 CO 1
"Moholy-Nagy, László","Bácsborsód, Hongrie",1895-07-20,"Chicago (Illinois), États-Unis",1946,Hongroise; Américaine,1993,A 81 57 PH 10 (1);A 81 57 PH 10 (10);A 81 57 PH 10 (2);A 81 57 PH 10 (3);A 81 57 PH 10 (4);A 81 57 PH 10 (5);A 81 57 PH 10 (6);A 81 57 PH 10 (7);A 81 57 PH 10 (8);A 81 57 PH 10 (9);A 81 58 PH 12 (1);A 81 58 PH 12 (10);A 81 58 PH 12 (11);A 81 58 PH 12 (12);A 81 58 PH 12 (2);A 81 58 PH 12 (3);A 81 58 PH 12 (4);A 81 58 PH 12 (5);A 81 58 PH 12 (6);A 81 58 PH 12 (7);A 81 58 PH 12 (8);A 81 58 PH 12 (9);A 81 59 PH 10 (1);A 81 59 PH 10 (10);A 81 59 PH 10 (2);A 81 59 PH 10 (3);A 81 59 PH 10 (4);A 81 59 PH 10 (5);A 81 59 PH 10 (6);A 81 59 PH 10 (7);A 81 59 PH 10 (8);A 81 59 PH 10 (9);D 81 52 G 1
"Morrice, James Wilson","Montréal (Québec), Canada",1865-08-10,"Tunis, Tunisie",1924-01-23,Canadienne,2026,A 77 2 P 1;A 92 950 D 1;D 83 108 P 1
"Muybridge, Eadweard","Kingston upon Thames (Angleterre), Royaume-Uni",1830-04-09,"Kingston upon Thames (Angleterre), Royaume-Uni",1904-05-08,Britannique; Américaine,2038,A 77 61 PH 1;A 77 62 PH 1;A 77 63 PH 1
