NOM_CLIENT_PARTENAIRE,NOM_CORPORATION_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE ET RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,URL_WEB,LONGITUDE,LATITUDE
"Aster, La Station scientifique du Bas-Saint-Laurent",La Corporation de l'Observatoire du Témiscouata inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","170, chemin Jacques-Pelletier",Saint-Louis-du-Ha! Ha! ,1,Bas Saint-Laurent,Québec,Canada,G0L 3S0,http://www.asterbsl.ca/,-68.967389563571629,47.671359041665994
ASTROLab du Mont-Mégantic,ASTROLab du Mont-Mégantic (autre nom) Corporation Astrolab du Mont-Mégantic,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","189, route du Parc",Notre-Dame-des-Bois ,5,Estrie,Québec,Canada,J0B 2E0,http://www.astrolab-parc-national-mont-megantic.org/,-71.125744151795814,45.423454146707108
Biodôme de Montréal,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","4777, avenue Pierre-de-Coubertin",Montréal ,6,Montréal,Québec,Canada,H1V 1B3,http://espacepourlavie.ca/biodome?lang=fr,-73.549528772819698,45.559598316246309
Biophare,Corporation soreloise du patrimoine régional,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","6, rue Saint-Pierre",Sorel-Tracy,16,Montérégie,Québec,Canada,J3P 3S2,http://www.cipsorel.com/,-73.106644231177185,46.046915873011386
Blockhaus de la Rivière Lacolle,Municipalité de Saint-Paul-de-l'Île-aux-Noix,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1, rue Principale",Saint-Paul-de-l'Île-aux-Noix,16,Montérégie,Québec,Canada,J0J 1G0,http://www.ileauxnoix.com/fr/tourisme/blockhaus.html,-73.342074702725867,45.068828409279931
"Boréalis, Centre d'exposition sur l'industrie des pâtes et papiers",Corporation de développement culturel de Trois-Rivières,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","200, avenue des Draveurs",Trois-Rivières ,4,Mauricie,Québec,Canada,G9A 0B6,www.borealis3r.ca,-72.532234868205634,46.348541807257533
Centre Archéo-Topo (Coporation de diffusion de l'archéologie de la Côte-Nord,Corporation de diffusion de l'archéologie de la Côte-Nord,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Archéologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","498, rue de la Mer",Bergeronnes,9,Côte-Nord,Québec,Canada,G0T 1G0,www.archeotopo.com,-69.553141730746759,48.228910845382835
Centre canadien d'architecture,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1920, rue Baile",Montréal ,6,Montréal,Québec,Canada,H3H 2S6,http://www.cca.qc.ca/fr/,-73.578609659247633,45.491936603154272
Centre d'art Rotary,La Commission des loisirs de La Sarre inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","195, rue Principale",La Sarre,8,Abitibi-Témiscamingue,Québec,Canada,J9Z 1Y3,http://www.ville.lasarre.qc.ca/culture/fr/arts-visuels/details.cfm?ID=4,-79.205213821521326,48.807167157534316
Centre d'exposition Art-Image (Maison de la culture de Gatineau),La Maison de la Culture de Gatineau,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","855, boulevard de la Gappe",Gatineau,7,Outaouais,Québec,Canada,J8T 8H9,http://www.ville.gatineau.qc.ca/artimage/,-75.682140731984418,45.484855205207332
