Organisme,Type_organisme,VD_Encadrement,VD_Continuite,VD_Projets,VND_Services_internes,VND_Services_externes,VND_Remuneration_du_personnel,VND_Acquisition_et_location_de_biens,VND_Frais_connexes,VC_Depenses_capitalisables,VC_Depenses_non_capitalisables
Affaires municipales et Occupation du territoire,Ministère,744.9,10007.9,984.6,5556,2110.6,3769.7,273.7,27.4,1637.2,10100.2
"Agriculture, Pêcheries et Alimentation",Ministère,651.9,8522.3,3197.3,2404.8,1994.8,4374.2,3157.8,439.9,9372.7,2998.8
Conseil du trésor et Administration gouvernementale,Ministère,851.2,8134.9,541.6,668.5,1444.1,5620.2,1794.9,0,1488.2,8039.5
Conseil exécutif,Ministère,396.5,3049.2,0,398.2,345.8,1987.8,646.8,67.1,201.2,3244.5
Culture et Communications,Ministère,330.5,3248.2,1834.7,1180,1272.5,1855.8,1094.9,10.2,1801.7,3611.7
"Développement durable, Environnement et Lutte contre les changements climatiques",Ministère,2455.4,9637.9,7923.3,3808.2,5778.8,7468,2767.2,194.4,10608.2,9408.4
"Économie, Science et Innovation",Ministère,768.6,6331.5,1313.2,2147.4,1634.9,2688.2,1912.8,30,2347.3,6066
"Éducation, Enseignement supérieur",Ministère,2700.9,26029.8,1346,1622.7,8536.3,12679.2,6714.6,523.9,5887.4,24189.3
Énergie et Ressources naturelles,Ministère,5979.2,40558.3,3079.4,4646.3,19998.8,18383.5,4852.5,1735.8,5458.5,44158.4
Famille,Ministère,680.1,8170.3,904.2,1014.2,3184.8,2568.5,2963.8,23.3,1537.6,8217
Finances,Ministère,838.2,7246.6,263.5,769.7,1157.2,4954,1460.7,6.7,867.8,7480.5
"Forêts, Faune et Parcs",Ministère,516.2,16065.9,1010.6,8743.6,1128.6,5247.9,2122.7,349.9,984.2,16608.5
"Immigration, Diversité et Inclusion",Ministère,887,8469.3,3085.8,2685.2,4643.9,3800.6,1312.4,0,2403.4,10038.7
Justice,Ministère,6463.6,44644.7,8893,11513.6,17477.6,19535.1,10460.7,1014.3,13845.6,46155.7
Relations internationales et Francophonie,Ministère,183,2454,39.7,138.6,565.1,1531.7,412.6,28.7,276.6,2400.1
Santé et Services sociaux,Ministère,6311.2,2735,1616.7,4116,1787.7,4082.8,280.5,395.9,1616.7,9046.2
Sécurité publique,Ministère,687.9,16287.5,2388.1,4075.8,1911.3,6723.7,6585.5,67.2,4783.8,14579.7
Tourisme,Ministère,268.5,3632.9,0,46.6,1342.2,1703.6,790.6,18.4,37.7,3863.7
"Transports, Mobilité durable et Électrification des transports",Ministère,2017.1,55152.3,688.4,6197.1,26004.4,21200.4,4455.9,0,16724.6,41133.2
"Travail, Emploi et Solidarité sociale",Ministère,6870.3,92380.5,2438.3,55392.2,9441.9,33786.5,222.2,2846.3,12936.6,88752.5
Bureau d'audiences publiques sur l'environnement,Organisme budégtaire,6.5,290.1,0,35.1,11.2,202.2,45.1,3,28.9,267.7
Bureau des enquêtes indépendantes,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Comité consultatif sur l'accessibilité financière aux études,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Comité de déontologie policière,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Comité de la rémunération des juges,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Comité de la rémunération des procureurs aux poursuites criminelles et pénales,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Commissaire à la déontologie policière,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Commissaire à la lutte contre la corruption,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Commission consultative de l'enseignement privé,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Commission d'accès à l'information,Organisme budégtaire,42,346.5,0,99.7,14.5,229.8,44.5,0,14.8,373.7
Commission de la fonction publique,Organisme budégtaire,33,148,0,29.3,86.5,45.6,19.6,0,1.9,179.1
Commission de l'éthique en science et en technologie,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Commission de protection du territoire agricole du Québec,Organisme budégtaire,94.3,572.2,267,116.4,36.3,598.4,74.1,108.3,163.3,770.2
Commission de toponymie,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Commission des droits de la personne et des droits de la jeunesse,Organisme budégtaire,102.8,859.5,0,89.6,47.6,575,248.6,1.5,13.2,949.1
Commission des partenaires du marché du travail,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Commission des transports du Québec,Organisme budégtaire,81.7,1659.2,0,368.7,80.2,1148.6,143.4,0,108.2,1632.7
Commission d'évaluation de l'enseignement collégial,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
