CD_CS_FRA,NOM_OFFCL_CS_FRA,NOM_SITE_WEB_GDUNO,VALR_SUPRF_KM2,VALR_PERMT_KM,CD_COULR,NOM_VERSN
782000,CSS de Rouyn-Noranda,www.csrn.qc.ca,6073.59496376,416.44382902,4,V2024-07
731000,CSS de Charlevoix,www.cscharlevoix.qc.ca,5996.72800661,453.08689937,2,V2024-07
872000,CSS des Bois-Francs,www.cssbf.gouv.qc.ca,3129.05887996,360.69858522,3,V2024-07
867000,CSS des Grandes-Seigneuries,www.csdgs.qc.ca,1163.46498277,280.92039367,3,V2024-07
783000,CSS Harricana,www.csharricana.qc.ca,7931.38796379,417.7209025,1,V2024-07
822000,CSS des Appalaches,www.csappalaches.qc.ca,2415.78131172,262.60784307,2,V2024-07
741000,CSS du Chemin-du-Roy,www.csduroy.qc.ca,1742.91202823,384.0414123,1,V2024-07
773000,CSS au Coeur-des-Vallées,www.csscv.gouv.qc.ca,3409.78143981,516.63768144,2,V2024-07
735000,CSS de Portneuf,www.csportneuf.qc.ca,4057.34932174,397.94979008,3,V2024-07
752000,CSS de la Région-de-Sherbrooke,www.csrs.qc.ca,1108.26087727,211.93735725,2,V2024-07
813000,CSS René-Lévesque,www.cssrl.gouv.qc.ca,10742.62448215,885.44601625,2,V2024-07
751000,CSS des Hauts-Cantons,www.cshc.qc.ca,5619.22175959,562.44312575,1,V2024-07
723000,CSS des Rives-du-Saguenay,www.csrsaguenay.qc.ca,44266.10228412,1718.34561635,1,V2024-07
722000,CSS du Lac-Saint-Jean,https://php.cslsj.qc.ca/,2775.756841,753.99172503,4,V2024-07
792000,CSS du Fer,www.cssdufer.gouv.qc.ca,113602.43920512,3803.90160017,2,V2024-07
864000,CSS Marie-Victorin,http://www.csmv.qc.ca,169.04128073,107.77632302,1,V2024-07
871000,CSS de la Riveraine,www.cssdlr.gouv.qc.ca,2100.94342208,425.30746781,4,V2024-07
862000,CSS de Saint-Hyacinthe,www.cssh.qc.ca,1895.287396,265.97888417,3,V2024-07
824000,CSS des Navigateurs,www.csdn.qc.ca,1957.40619055,322.42992424,1,V2024-07
831000,CSS de Laval,https://www.csslaval.ca/,246.58174487,134.54496638,4,V2024-07
713000,CSS du Fleuve-et-des-Lacs,http://www.csfl.qc.ca,5208.11472123,455.28756855,1,V2024-07
721000,CSS du Pays-des-Bleuets,www.cspaysbleuets.qc.ca,57315.28120462,1841.95041195,3,V2024-07
869000,CSS des Trois-Lacs,www.csstl.gouv.qc.ca,860.57746289,289.46583742,2,V2024-07
854000,CSS des Hautes-Laurentides,www.csshl.gouv.qc.ca,16292.00442109,859.6083378,3,V2024-07
811000,CSS des Îles,www.csdesiles.qc.ca,222.49388332,401.25340876,3,V2024-07
732000,CSS de la Capitale,cssc.gouv.qc.ca,876.48042094,191.16899363,4,V2024-07
772000,CSS des Portages-de-l'Outaouais,www.cspo.qc.ca,1329.51839525,250.93997522,3,V2024-07
801000,CSS de la Baie-James,http://csbj.qc.ca/,343412.04183122,5876.42285712,4,V2024-07
763000,CSS Marguerite-Bourgeoys,www.csmb.qc.ca,259.5902614,206.21797732,1,V2024-07
761000,CSS de la Pointe-de-l'Île,https://www.csspi.gouv.qc.ca/,93.15364213,68.38489353,3,V2024-07
873000,CSS des Chênes,https://www.cssdeschenes.gouv.qc.ca/,1626.43834347,249.39953426,2,V2024-07
781000,CSS du Lac-Témiscamingue,www.csslt.gouv.qc.ca,19021.23293114,1130.94821148,2,V2024-07
784000,CSS de l'Or-et-des-Bois,www.csob.qc.ca,27727.29095211,1274.04731353,3,V2024-07
711000,CSS des Monts-et-Marées,https://www.cssmm.gouv.qc.ca/,8771.22440881,506.08367993,3,V2024-07
