ï»¿Date_evaluation,Valeur
2022-08-25,144.8439
2022-08-24,144.8328
2022-08-23,144.8246
2022-08-22,144.8205
2022-08-19,144.7852
2022-08-18,144.7759
2022-08-17,144.7652
2022-08-16,144.7559
2022-08-15,144.7451
2022-08-12,144.7160
2022-08-11,144.7066
2022-08-10,144.6937
2022-08-09,144.6823
2022-08-08,144.6723
2022-08-05,144.6401
2022-08-04,144.6302
2022-08-03,144.6193
2022-08-02,144.6087
2022-08-01,144.5975
2022-07-29,144.5628
2022-07-28,144.5523
2022-07-27,144.5410
2022-07-26,144.5312
2022-07-25,144.5207
2022-07-22,144.4876
2022-07-21,144.4817
2022-07-20,144.4709
2022-07-19,144.4587
2022-07-18,144.4473
2022-07-15,144.4219
2022-07-14,144.4129
2022-07-13,144.4152
2022-07-12,144.4531
2022-07-11,144.4544
2022-07-08,144.4295
2022-07-07,144.4208
2022-07-06,144.4155
2022-07-05,144.4124
2022-07-04,144.4080
2022-07-01,FÃ©riÃ©
2022-06-30,144.3724
2022-06-29,144.3691
2022-06-28,144.3629
2022-06-27,144.3576
2022-06-24,FÃ©riÃ©
2022-06-23,144.3266
2022-06-22,144.3247
2022-06-21,144.3233
2022-06-20,144.3205
2022-06-17,144.3056
2022-06-16,144.3017
2022-06-15,144.2943
2022-06-14,144.2844
2022-06-13,144.2804
2022-06-10,144.2651
2022-06-09,144.2610
2022-06-08,144.2579
2022-06-07,144.2555
2022-06-06,144.2474
2022-06-03,144.2332
2022-06-02,144.2291
2022-06-01,144.2434
2022-05-31,144.2433
2022-05-30,144.2395
2022-05-27,144.2225
2022-05-26,144.2255
2022-05-25,144.2223
2022-05-24,144.2181
2022-05-23,FÃ©riÃ©
2022-05-20,144.1950
2022-05-19,144.1904
2022-05-18,144.1874
2022-05-17,144.1815
2022-05-16,144.1765
2022-05-13,144.1591
2022-05-12,144.1543
2022-05-11,144.1483
2022-05-10,144.1451
2022-05-09,144.1348
2022-05-06,144.1189
2022-05-05,144.1156
2022-05-04,144.1108
2022-05-03,144.1063
2022-05-02,144.1028
2022-04-29,144.0878
2022-04-28,144.0840
2022-04-27,144.0824
2022-04-26,144.0781
2022-04-25,144.0724
2022-04-22,144.0591
2022-04-21,144.0620
2022-04-20,144.0663
2022-04-19,144.0668
2022-04-18,FÃ©riÃ©
2022-04-15,FÃ©riÃ©
2022-04-14,144.0548
2022-04-13,144.0545
2022-04-12,144.0614
2022-04-11,144.0627
2022-04-08,144.0572
2022-04-07,144.0643
2022-04-06,144.0664
2022-04-05,144.0604
2022-04-04,144.0650
2022-04-01,144.0608
2022-03-31,144.0601
2022-03-30,144.0611
2022-03-29,144.0634
2022-03-28,144.0592
2022-03-25,144.0564
2022-03-24,144.0517
2022-03-23,144.0486
2022-03-22,144.0482
2022-03-21,144.0480
2022-03-18,144.0384
2022-03-17,144.0377
2022-03-16,144.0337
2022-03-15,144.0345
2022-03-14,144.0326
2022-03-11,144.0289
2022-03-10,144.0266
2022-03-09,144.0270
2022-03-08,144.0238
2022-03-07,144.0210
2022-03-04,144.0104
2022-03-03,144.0078
2022-03-02,144.0076
2022-03-01,144.0063
2022-02-28,144.0045
2022-02-25,144.0054
2022-02-24,144.0046
2022-02-23,144.0050
2022-02-22,144.0065
2022-02-21,144.0079
2022-02-18,144.0009
2022-02-17,143.9984
2022-02-16,144.0004
2022-02-15,144.0071
2022-02-14,144.0074
2022-02-11,143.9975
2022-02-10,144.0024
2022-02-09,144.0087
2022-02-08,144.0072
2022-02-07,144.0045
2022-02-04,144.0000
2022-02-03,143.9978
2022-02-02,143.9930
2022-02-01,143.9921
2022-01-31,143.9923
2022-01-28,143.9874
2022-01-27,143.9883
2022-01-26,143.9841
2022-01-25,143.9686
2022-01-24,143.9662
2022-01-21,143.9568
2022-01-20,143.9549
2022-01-19,143.9535
2022-01-18,143.9570
2022-01-17,143.9683
2022-01-14,143.9722
2022-01-13,143.9721
2022-01-12,143.9813
2022-01-11,143.9784
2022-01-10,143.9793
2022-01-07,143.9794
2022-01-06,143.9795
2022-01-05,143.9790
2022-01-04,FÃ©riÃ©
2022-01-03,FÃ©riÃ©
