ï»¿Produi_Desc_FR,Produit_Desc_EN,Date_Emission,Valeur_Nominale,Devise_Nominale,Montant_CAD,Taux_Coupon,Taux_Rendement_Investisseur,Date_Echeance,Encours_Cumulatif_CAD,Prefixe,ISIN,Type_Produits_Ref,Type_Produit_Desc_FR,Type_Produit_Desc_EN
Obligations,Debentures,2021-04-21,"1,000,000,000",USD,"1,249,800,000",1.900,1.922,2031-04-21,"1,000,000,000",RB-01,US748149AR21 ,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-04-06,"500,000,000",CAD,"538,100,000",3.100,2.731,2051-12-01,"13,000,000,000",B125-26,CA74814ZFE84,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-04-08,"600,000,000",CAD,"561,700,000",1.500,2.190,2031-09-01,"3,600,000,000",B128-06,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-04-13,"500,000,000",CAD,"538,600,000",3.100,2.727,2051-12-01,"13,500,000,000",B125-27,CA74814ZFE84,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-04-26,"500,000,000",CAD,"534,000,000",3.100,2.769,2051-12-01,"14,000,000,000",B125-28,CA74814ZFE84,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-04-28,"600,000,000",CAD,"563,200,000",1.500,2.165,2031-09-01,"4,200,000,000",B128-07,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-05-05,"500,000,000",CAD,"504,100,000",2.850,2.811,2053-12-01,"500,000,000",B129-01,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-05-07,"500,000,000",CAD,"505,400,000",2.850,2.799,2053-12-01,"1,000,000,000",B129-02,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-05-17,"600,000,000",CAD,"561,000,000",1.500,2.210,2031-09-01,"4,800,000,000",B128-08,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-05-20,"600,000,000",CAD,"561,500,000",1.500,2.201,2031-09-01,"5,400,000,000",B128-09,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-05-27,"500,000,000",CAD,"498,400,000",2.100,2.136,2031-05-27,"500,000,000",B130-01,CA74814ZFM01,5,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-05-31,"500,000,000",CAD,"506,400,000",2.850,2.790,2053-12-01,"1,500,000,000",B129-03,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-06-09,"500,000,000",CAD,"514,700,000",2.850,2.713,2053-12-01,"2,000,000,000",B129-04,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-06-17,"600,000,000",CAD,"571,200,000",1.500,2.023,2031-09-01,"6,000,000,000",B128-10,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-06-23,"500,000,000",CAD,"526,100,000",2.850,2.610,2053-12-01,"2,500,000,000",B129-05,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-07-15,"500,000,000",CAD,"533,300,000",2.850,2.547,2053-12-01,"3,000,000,000",B129-06,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-09-02,"500,000,000",CAD,"532,100,000",2.850,2.556,2053-12-01,"3,500,000,000",B129-07,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-09-13,"600,000,000",CAD,"582,100,000",1.500,1.829,2031-09-01,"6,600,000,000",B128-11,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-09-28,"500,000,000",CAD,"517,500,000",2.850,2.687,2053-12-01,"4,000,000,000",B129-08,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-10-12,"500,000,000",CAD,"512,200,000",2.850,2.735,2053-12-01,"4,500,000,000",B129-09,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-11-08,"600,000,000",CAD,"561,600,000",1.500,2.229,2031-09-01,"7,200,000,000",B128-12,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-11-18,"500,000,000",CAD,"507,800,000",2.850,2.776,2053-12-01,"5,000,000,000",B129-10,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-12-13,"600,000,000",CAD,"567,800,000",1.500,2.113,2031-09-01,"7,800,000,000",B128-13,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2021-12-16,"500,000,000",CAD,"530,600,000",2.850,2.568,2053-12-01,"5,500,000,000",B129-11,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2022-01-17,"500,000,000",CAD,"511,200,000",2.850,2.744,2053-12-01,"6,000,000,000",B129-12,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2022-02-03,"600,000,000",CAD,"552,900,000",1.500,2.423,2031-09-01,"8,400,000,000",B128-14,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2022-02-25,"500,000,000",CAD,"471,000,000",2.850,3.140,2053-12-01,"6,500,000,000",B129-13,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2022-03-15,"600,000,000",CAD,"542,400,000",1.500,2.654,2031-09-01,"9,000,000,000",B128-15,CA74814ZFH16,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© canadien,Medium Term Note - Canadian Program,2022-03-30,"500,000,000",CAD,"452,500,000",2.850,3.338,2053-12-01,"7,000,000,000",B129-14,CA74814ZFL28,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© europÃ©en,Medium Term Note - European Program,2021-05-05,"2,500,000,000",Euros,"3,672,500,000",0.250,0.275,2031-05-05,"2,500,000,000",E212-01,XS2338991941,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© europÃ©en,Medium Term Note - European Program,2021-06-18,"250,000,000",CHF,"336,900,000",0.030,0.030,2031-06-18,"250,000,000",E213-01,CH1117896477,3,Emprunts publics,Public issues
Billets Ã  moyen terme - marchÃ© europÃ©en,Medium Term Note - European Program,2022-01-25,"2,250,000,000",Euros,"3,182,400,000",0.500,0.578,2032-01-25,"2,250,000,000",E214-01,XS2435787283,3,Emprunts publics,Public issues
Produits d'Ã©pargne,Saving Products,,,,"306,100,000",,,,,,,,,
Programme des immigrants investisseurs,Immigrant Investor Program,,,,"304,300,000",,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
