ï»¿Produi_Desc_FR;Produit_Desc_EN;Date_Emission;Valeur_Nominale;Devise_Nominale;Montant_CAD;Taux_Coupon;Taux_Rendement_Investisseur;Date_Echeance;Encours_Cumulatif_CAD;Prefixe;ISIN;Type_Produits_Ref;Type_Produit_Desc_FR;Type_Produit_Desc_EN
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-04-07;500 000 000;CAD;458 100 000;2,850;3,277;2053-12-01;7 500 000 000;B129-15;CA74814ZFL28;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-04-11;600 000 000;CAD;599 900 000;3,250;3,251;2032-09-01;600 000 000;B131-01;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-04-12;600 000 000;CAD;596 700 000;3,250;3,313;2032-09-01;1 200 000 000;B131-02;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-04-28;500 000 000;CAD;424 900 000;2,850;3,656;2053-12-01;8 000 000 000;B129-16;CA74814ZFL28;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-05-05;600 000 000;CAD;578 400 000;3,250;3,671;2032-09-01;1 800 000 000;B131-03;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-05-13;600 000 000;CAD;572 800 000;3,250;3,785;2032-09-01;2 400 000 000;B131-04;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-05-20;1 000 000 000;CAD;999 900 000;3,650;3,651;2032-05-20;1 000 000 000;B132-01;CA74814ZFP32;5;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-05-27;500 000 000;CAD;418 900 000;2,850;3,729;2053-12-01;8 500 000 000;B129-17;CA74814ZFL28;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-06-06;500 000 000;CAD;414 600 000;2,850;3,783;2053-12-01;9 000 000 000;B129-18;CA74814ZFL28;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-06-10;600 000 000;CAD;564 600 000;3,250;3,957;2032-09-01;3 000 000 000;B131-05;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-06-27;500 000 000;CAD;377 400 000;2,850;4,276;2053-12-01;9 500 000 000;B129-19;CA74814ZFL28;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-07-19;500 000 000;CAD;396 900 000;2,850;4,011;2053-12-01;10 000 000 000;B129-20;CA74814ZFL28;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-07-22;600 000 000;CAD;572 900 000;3,250;3,791;2032-09-01;3 600 000 000;B131-06;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-08-25;600 000 000;CAD;574 000 000;3,250;3,773;2032-09-01;4 200 000 000;B131-07;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-09-01;500 000 000;CAD;399 600 000;2,850;3,978;2053-12-01;10 500 000 000;B129-21;CA74814ZFL28;3;Emprunts publics;Public issues
