Identifiant_unique;Nom_ministere_organisme;Nombre_sites;Nom_site;Adresse;Description_localisation;Longitude;Latitude;Probabilite_contamination;Activite_site;Eaux_souterraines_contaminants;Eaux_surface_contaminants;Sols_contaminants;Sediments_contaminants;Cote_classification_risques_exp;Cote_planif_intervention_exp;Etat_caract;Etat_rehab;Etat_post_rehab;Etat_avancement_global;Niveau_avancement;Annee_rehabilitation;Couts_encourus_caract;Couts_encourus_rehab;Couts_encourus_post_rehab;Couts_encourus_total_cumul;URL
0052-2000-001;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Pointe-Opémican;-;Le site est situé dans le secteur principal du parc national d'Opémican. Il est accessible par le chemin Opémican via la route 101.;-79,19138889;46,83166667;Certaine;Autre;Respect des critères;Non appréhendée;"Hydrocarbures aromatiques polycycliques; Métaux et métalloïdes; Paramètres intégrateurs (HP C10 - C50)";"Hydrocarbures aromatiques polycycliques; Métaux et métalloïdes; Paramètres intégrateurs (HP C10 - C50)";Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Na pas commencé;Réhabilitation;En cours;À venir;0;0;0;2671724;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2000-001B;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Baie de la Pointe-Opémican;-;Le site est situé dans le secteur principal du parc national d'Opémican. Il est accessible par le chemin Opémican via la route 101.;-79,19055556;46,83111111;Certaine;Autre;Non appréhendée;Non appréhendée;Non appréhendée;"Hydrocarbures aromatiques polycycliques; Métaux et métalloïdes";Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Na pas commencé;Réhabilitation;En cours;À venir;0;171556;0;619910;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-004;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Pourvoirie Mirage, campement du lac Pluto;-;Le site est situé sur une pointe située au sud-ouest du lac Pluto.;-71,32805556;52,19444444;Probable;Commerciale;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;9642;0;0;9642;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-010;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Camping Albanel;-;Le site est situé au camping du lac Albanel et est accessible par la route 167.;-73,02205556;51,06886111;Probable;Autre;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;9642;0;0;11983;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-011;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Camps Vieux-Poste;-;Situé en bordure du lac Mistassini.;-73,15966667;51,14919444;Probable;Autre;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;9642;0;0;9642;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-012;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Nibiischii - Camps Shikapio;-;Le site est situé près du lac Shikapio dans le secteur des monts Otish.;-70,55510618;52,42267884;Probable;Autre;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;9642;0;0;13898;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-013;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;2;Parc national des Iles-de-Bourcherville et île Charron;-;Le site correspond à la portion nord de l'ile Charron et à l'ancien canal Molson ayant été remblayé.;-73,483544;45,589522;Certaine;Autre;"Métaux et métalloïdes; Autres composés inorganiques";Non appréhendée;"Hydrocarbures aromatiques polycycliques; Paramètres intégrateurs (HP C10 - C50); Hydrocarbures aromatiques monocycliques; Métaux et métalloïdes";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Na pas commencé;Réhabilitation;En cours;À venir;0;380443;0;709431;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-015;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Secteur Vauréal;-;Le site est situé près de l'embouchure de la rivière Vauréal, sur l'ile d'Anticosti.;-62,61734167;49,61476944;Probable;Autre;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;0;0;0;100;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-016;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Parc national du Mont Orford - École de ski;4380, chemin du Parc, Orford J1X7N9;-;-72,221226;45,318334;Certaine;Commerciale;Paramètres intégrateurs (HP C10 - C50);Non appréhendée;"Paramètres intégrateurs (HP C10 - C50); Hydrocarbures aromatiques polycycliques; Hydrocarbures aromatiques monocycliques";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Non applicable;Réhabilitation;En cours;À venir;0;144088;0;185017;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-017;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Parc national du Mont Orford, site du garage du terrain de golf ;3074, chemin du Parc, Orford J1X 7N9;-;-72,18663523;45,3193508;Certaine;Autre;"Hydrocarbures aromatiques monocycliques; Métaux et métalloïdes";Non appréhendée;Métaux et métalloïdes;Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;En cours;À venir;0;0;0;100;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
