ï»¿sexe,continent ,"region 
de naissance",  n_2017,  %_2017,  n_2018,  %_2018,  n_2019,  %_2019,  n_2020,  %_2020,  n_2021,  %_2021
Total,Afrique,Afrique occidentale,3 007,5.7,3 672,7.2,3 532,8.7,2 334,9.3,3 706,7.4
Total,Afrique,Afrique orientale,1 695,3.2,1 315,2.6,1 597,3.9,981,3.9,1 652,3.3
Total,Afrique,Afrique du Nord,6 581,12.6,7 071,13.8,5 968,14.7,4 673,18.5,7 682,15.3
Total,Afrique,Afrique centrale,3 074,5.9,3 031,5.9,3 323,8.2,1 622,6.4,3 055,6.1
Total,Afrique,Afrique mÃ©ridionale,60,0.1,63,0.1,56,0.1,32,0.1,68,0.1
Total,AmÃ©rique ,AmÃ©rique du Nord,834,1.6,1 022,2,589,1.5,595,2.4,1 150,2.3
Total,AmÃ©rique ,AmÃ©rique centrale,982,1.9,991,1.9,584,1.4,565,2.2,1 216,2.4
Total,AmÃ©rique ,AmÃ©rique du Sud,2 160,4.1,2 309,4.5,1 499,3.7,1 242,4.9,3 751,7.5
Total,AmÃ©rique ,Antilles,2 892,5.5,2 598,5.1,1 627,4,1 172,4.6,3 487,6.9
Total,Asie,Moyen-Orient,5 721,10.9,5 320,10.4,4 485,11.1,2 294,9.1,2 551,5.1
Total,Asie,Asie occidentale et centrale,3 245,6.2,2 557,5,2 209,5.4,1 019,4,2 527,5
Total,Asie,Asie orientale,5 698,10.9,5 888,11.5,4 423,10.9,1 807,7.2,3 686,7.3
Total,Asie,Asie mÃ©ridionale,5 072,9.7,5 492,10.7,4 122,10.2,1 631,6.5,2 392,4.8
Total,Asie,Asie du Sud-Est,3 017,5.8,2 937,5.7,2 180,5.4,1 015,4,1 306,2.6
Total,Europe,Europe occidentale,4 985,9.5,4 399,8.6,2 962,7.3,3 236,12.8,10 167,20.2
Total,Europe,Europe septentrionale,249,0.5,279,0.5,191,0.5,142,0.6,345,0.7
Total,Europe,Europe orientale,2 418,4.6,1 520,3,770,1.9,500,2,772,1.5
Total,Europe,Europe mÃ©ridionale,612,1.2,537,1.1,335,0.8,280,1.1,550,1.1
Total,OcÃ©anie,OcÃ©anie,96,0.2,115,0.2,111,0.3,86,0.3,187,0.4
Total,Pays non dÃ©terminÃ©,Pays non dÃ©terminÃ©,2,0,7,0,2,0,1,0,3,0
Femmes,Afrique,Afrique occidentale,1 480,5.6,1 820,7,1 719,8.4,1 141,8.9,1 937,7.7
Femmes,Afrique,Afrique orientale,833,3.2,682,2.6,838,4.1,500,3.9,876,3.5
Femmes,Afrique,Afrique du Nord,3 158,12,3 552,13.7,3 064,14.9,2 400,18.7,3 630,14.4
Femmes,Afrique,Afrique centrale,1 571,6,1 536,5.9,1 685,8.2,849,6.6,1 654,6.5
