ï»¿sexe,langue_maternelle,2016,2017,2018,2019,n_2020,%_2020
Total,FranÃ§ais,9 596,9 090,8 684,7 128,5 792,23
Total,Anglais,1 376,1 474,1 604,1 104,816,3.2
Total,Autres langues,42 275,41 836,40 835,32 333,18 615,73.8
Total,Arabe,11 968,10 175,10 600,8 873,5 991,23.8
Total,Autres chinoises,3 426,3 981,4 205,3 119,1 255,5
Total,Espagnol,3 861,3 406,3 514,2 078,1 775,7
Total,Langues crÃ©oles,2 411,2 101,1 660,1 316,867,3.4
Total,Persan,2 616,1 937,1 480,1 337,609,2.4
Total,Tagalog,1 423,1 622,1 642,1 079,439,1.7
Total,Langues nigÃ©ro-congolaises,1 002,1 140,1 193,1 303,742,2.9
Total,Malayalam,396,1 503,1 714,1 220,415,1.6
Total,BerbÃ¨re,1 149,979,1 157,1 133,707,2.8
Total,Mandarin,1 167,1 179,1 225,937,329,1.3
Total,Penjabi,620,1 066,1 262,999,418,1.7
Total,Russe,1 531,1 220,778,411,229,0.9
Total,Dari,455,860,814,607,201,0.8
Total,Portugais,468,489,531,381,381,1.5
Total,Roumain,1 055,573,350,170,92,0.4
Total,Autres langues,8 727,9 605,8 710,7 370,4 165,16.5
Femme,FranÃ§ais,4 688,4 326,4 212,3 402,2 759,21.5
Femme,Anglais,661,649,733,517,376,2.9
Femme,Autres langues,21 696,21 369,20 892,16 660,9 720,75.6
Femme,Arabe,5 942,4 866,5 162,4 377,2 999,23.3
Femme,Autres chinoises,1 837,2 093,2 196,1 642,684,5.3
Femme,Espagnol,1 989,1 811,1 843,1 122,927,7.2
Femme,Langues crÃ©oles,1 185,1 029,868,670,447,3.5
Femme,Persan,1 332,978,740,679,327,2.5
Femme,Tagalog,805,980,973,627,242,1.9
Femme,Langues nigÃ©ro-congolaises,517,586,608,670,395,3.1
Femme,Malayalam,194,744,853,609,213,1.7
Femme,BerbÃ¨re,564,500,591,557,373,2.9
Femme,Mandarin,595,625,624,479,186,1.4
Femme,Russe,821,697,471,264,167,1.3
Femme,Penjabi,318,528,596,517,185,1.4
Femme,Dari,220,428,402,306,106,0.8
Femme,Roumain,551,331,208,98,62,0.5
Femme,Portugais,258,250,292,208,211,1.6
Femme,Autres langues,4 568,4 923,4 465,3 835,2 196,17.1
Homme,FranÃ§ais,4 908,4 764,4 472,3 725,3 033,24.5
Homme,Anglais,715,825,871,587,440,3.6
Homme,Autres langues,20 579,20 467,19 943,15 673,8 895,71.9
Homme,Arabe,6 026,5 309,5 438,4 496,2 992,24.2
Homme,Autres chinoises,1 589,1 888,2 009,1 477,571,4.6
Homme,Espagnol,1 872,1 595,1 671,956,848,6.9
Homme,Langues crÃ©oles,1 226,1 072,792,646,420,3.4
Homme,Persan,1 284,959,740,658,282,2.3
Homme,Malayalam,202,759,861,611,202,1.6
Homme,Langues nigÃ©ro-congolaises,485,554,585,633,347,2.8
Homme,Tagalog,618,642,669,452,197,1.6
Homme,BerbÃ¨re,585,479,566,576,334,2.7
Homme,Mandarin,572,554,601,458,143,1.2
Homme,Penjabi,302,538,666,482,233,1.9
Homme,Russe,710,523,307,147,62,0.5
Homme,Dari,235,432,412,301,95,0.8
Homme,Ourdou,366,267,196,169,89,0.7
Homme,Portugais,210,239,239,173,170,1.4
Homme,Autres langues,4 297,4 657,4 191,3 438,1 910,15.4
