ï»¿NOM_MUN_COMPO,CODE_POSTAL_COMPO,PLACE_TOTAL,CODE_REGION_COMPO,TYPE_FINANCEMENT_COMPO,INTERNET,NOM,TYPE,REGION,ADRESSE,SUBV,telephone1,TELECOPIEUR1,NOM_TERR,NOMBRE_DE_RSG_RECONNUES
La PocatiÃ¨re,G0R 1Z0,223,1,BC-MF,cpe@farandole.ca,LES SERVICES DE GARDE LA FARANDOLE,BC,1 - Bas-Saint-Laurent,"400, 3e Rue Fraser",CR,(418) 856-1154,(418) 856-1155,MRC Kamouraska,39
Matane,G4W 2X7,230,1,BC-MF,cpematanedirection1@gmail.com,LE CENTRE DE LA PETITE ENFANCE DE MATANE,BC,1 - Bas-Saint-Laurent,"210, avenue d'Amours",CR,(418) 562-9379,(418) 562-9410,MRC La Matanie,39
Rimouski,G5L 6J9,896,1,BC-MF,da.bc@cpeauroreboreale.com,CENTRE DE LA PETITE ENFANCE L'AURORE BORÃALE,BC,1 - Bas-Saint-Laurent,"418, rue Rouer",CR,(418) 725-7270,(418) 725-4706,MRC Rimouski-Neigette,115
RiviÃ¨re-du-Loup,G5R 1H6,360,1,BC-MF,cperdl@cperdl.com,CENTRE DE LA PETITE ENFANCE DE RIVIÃRE-DU-LOUP INC.,BC,1 - Bas-Saint-Laurent,"57, rue Beaubien",CR,"(418) 862-7553, poste 102",(418) 862-1730,MRC  RiviÃ¨re-du-Loup,63
Saint-MoÃ¯se,G0J 2Z0,290,1,BC-MF,cpelenfantjoue@globetrotter.net,SERVICES DE GARDE L'ENFANT JOUE,BC,1 - Bas-Saint-Laurent,"55, rue Principale",CR,(418) 776-2903,(418) 776-5412,MRC La MatapÃ©dia,48
Sainte-Luce-Luceville,G0K 1P0,357,1,BC-MF,directiongenerale@cpelespinsons.com,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,BC,1 - Bas-Saint-Laurent,"20, rue des Coquillages",CR,(418) 739-5080,(418) 739-5109,MRC La Mitis,57
Trois-Pistoles,G0L 4K0,193,1,BC-MF,direction@baleinebricoleuse.ca,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,BC,1 - Bas-Saint-Laurent,"566, rue Jean Rioux",CR,(418) 851-2795,(418) 851-4385,MRC Les Basques,33
TÃ©miscouata-sur-le-Lac,G0L 1E0,344,1,BC-MF,cpe@cpebccalinours.ca,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",BC,1 - Bas-Saint-Laurent,"795, rue Commerciale Nord",CR,"(418) 854-0255, poste 520",(418) 854-6151,MRC TÃ©miscouata,53
Alma,G8B 5S5,748,2,BC-MF,info@cpelabambinerie.com,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,BC,2 - Saguenay - Lac-Saint-Jean,"200, avenue McNaughton",CR,(418) 662-3649,(418) 662-2379,MRC Lac-Saint-Jean-Est,112
Chicoutimi,G7J 1G2,1923,2,BC-MF,info@cpebcdeslutins.com,BUREAU COORDONNATEUR DE LA PETITE ENFANCE,BC,2 - Saguenay - Lac-Saint-Jean,"72, rue Jacques Cartier Ouest, 2e Ã©tage",CR,(418) 678-1919,(418) 678-3343,VILLE DE SAGUENAY - CSSS DE JONQUIÃRE (CARREFOUR DE SANTÃ JONQUIÃRE) - CSSS DE CHICOUTIMI,248
