Date,Moyen,Site,Nombre,Montant
2019-02-01,"CINP","à Boucherville, à 200 m de la bretelle du boulevard de Mortagne sur l'autoroute 20 Ouest",162779,15380814
2019-02-01,"CINP","À Brossard, à l'intersection du boulevard Taschereau et de l'avenue Panama, sur le boulevard Taschereau en direction sud",14838,1679970
2019-02-01,"CINP","À Charlemagne, à 150 m de l'autoroute 640 sur l'autoroute 40 Est",16627,2844585
2019-02-01,"CINP","À Gatineau, à l'intersection du boulevard Maisonneuve et du boulevard Sacré-Coeur, sur le boulevard Maisonneuve en direction nord",17991,1827436
2019-02-01,"CINP","À L'Ange-Gardien, à l'intersection de la route 138 et de la rue Casgrain, sur la route 138 en direction nord-est",12190,1242287
2019-02-01,"CINP","À Laval, à 210 m du boulevard Ste-Rose sur l'autoroute 15 Nord",9885,1770259
2019-02-01,"CINP","À Laval, sur le boulevard Saint-Martin, à l'intersection de la route 335, dénommée boulevard des Laurentides, en direction sud-ouest",507,53143
2019-02-01,"CINP","à Lévis, à 1 km de la sortie pour le pont Pierre Laporte sur le collecteur de l'autoroute 20",54691,6369371
2019-02-01,"CINP","À Mirabel, à 320 m du chemin de la Côte Nord sur l'autoroute 15 Sud",33291,5753797
2019-02-01,"CINP","à Montréal, à 300 m de la sortie Atwater sur l'autoroute 15 Sud",139798,25220311
2019-02-01,"CINP","À Montréal, à 350 m de la rue Airlie sur le route 138 Est",7012,1226667
2019-02-01,"CINP","À Montréal, à l'intersection de la rue Berri et du boulevard Henri-Bourassa Est, sur la rue Berri",1857,236195
2019-02-01,"CINP","à Montréal, entre Le Boulevard et l'avenue Cedar sur le chemin McDougall",7510,758436
2019-02-01,"CINP","à Pincourt, à 350 m à l'ouest du boulevard de l'Île sur l'autoroute 20 Est",80481,8592251
2019-02-01,"CINP","À Québec, à 330 m de l'avenue D'Estimauville sur l'autoroute 40 Ouest",5949,1045221
2019-02-01,"CINP","À Québec, à 450 m du boulevard Hochelaga sur l'autoroute 73 Nord",8714,1299113
2019-02-01,"CINP","À Québec, à l'intersection de l'autoroute 573 et de l'avenue Industrielle, sur l'autoroute 573 en direction nord-ouest",398,40053
2019-02-01,"CINP","À Québec, à l'intersection du boulevard Charest ouest et de l'avenue Saint-Sacrement, sur le boulevard Charest en direction nord-est",9957,1741403
2019-02-01,"CINP","À Saint-Esprit, à l'intersection de la route 158 et de la route 125, sur la route 158 en direction nord",2091,241604
2019-02-01,"CINP","à Saint-Georges, à la hauteur de l'intersection de la 114e Rue sur le boulevard Lacroix (route 173)",32079,2720449
2019-02-01,"CINP","À Saint-Hyacinthe, à l'intersection du boulevard Laframboise et du boulevard Casavant ouest, sur le boulevard Laframboise en direction sud-est",3871,375108
2019-02-01,"CINP","À Salaberry-de-Valleyfield, à l'intersection de la route 201 et de l'avenue de Grande-Île, sur la route 201 en direction sud-ouest",7322,756471
2019-02-01,"MOBL","A-15 nord / Pont Médéric-Martin",5582,1479214
2019-02-01,"MOBL","A-20 Beloeil",4867,927684
2019-02-01,"MOBL","A-20 Drummondville, 80km/h (Mobile)",336,84725
2019-02-01,"MOBL","A-20 Drummondville, 90km/h (Mobile)",59,13117
2019-02-01,"MOBL","A-20 ouest / Dorval",387,93025
2019-02-01,"MOBL","A-20 ouest / Lachine",360,85970
2019-02-01,"MOBL","A-30 Boucherville",3954,758269
2019-02-01,"MOBL","A-35 St-Jean-sur-Richelieu",1406,261631
2019-02-01,"MOBL","A-40, L'Assomption OUEST",464,72261
2019-02-01,"MOBL","A-40 Montréal",17094,3057861
2019-02-01,"MOBL","A-40 St-Augustin",7416,1390487
2019-02-01,"MOBL","A-640 / Boisbriand",21043,4445328
2019-02-01,"MOBL","A-73 SUD , Lévis",2588,522550
2019-02-01,"MOBL","Acton Vale, rte 139",45,5615
2019-02-01,"MOBL","Aut.20",1187,249489
2019-02-01,"MOBL","Aut.30 ouest",6345,1174695
2019-02-01,"MOBL","Baie-St-Paul, rte138",52,4894
2019-02-01,"MOBL","Beauceville (Mobile)",7105,622072
2019-02-01,"MOBL","Beaulac-Garthby, école St-Nom de Jésus",27,2335
2019-02-01,"MOBL","Boischatel (Mobile)",5123,1347651
2019-02-01,"MOBL","Brossard, Taschereau",149,12876
2019-02-01,"MOBL","Cap-Santé, rte 138",188,17841
2019-02-01,"MOBL","Carignan (Mobile)",2548,695131
2019-02-01,"MOBL","Crabtree, rte 158",29,2447
2019-02-01,"MOBL","Felix-Leclerc/Ouest",457,77857
2019-02-01,"MOBL","Gatineau, Allumettières(Vanier/W.Lavigne)",3976,387088
2019-02-01,"MOBL","Gatineau, Aylmer/Principale",2156,191078
2019-02-01,"MOBL","Gatineau, Boul. maloney est à notre-dame -70",114,12101
2019-02-01,"MOBL","Gatineau, Buckingham",745,70713
2019-02-01,"MOBL","Gatineau, Carrière",2134,188459
2019-02-01,"MOBL","Gatineau, Chemin d'Aylmer",1138,108715
2019-02-01,"MOBL","Gatineau, école Académique de l'Outaouais",1641,158157
2019-02-01,"MOBL","Gatineau, école Buckingham Elem. School",220,20172
2019-02-01,"MOBL","Gatineau, école Côte-du-Nord",581,51275
2019-02-01,"MOBL","Gatineau, école de l'Envolée",7,550
2019-02-01,"MOBL","Gatineau, école de L'Odyssé (Saint-René Goupil)",889,76451
2019-02-01,"MOBL","Gatineau, école des Rapides-Deschênes",31,2751
2019-02-01,"MOBL","Gatineau, école des Tournesols",2,156
2019-02-01,"MOBL","Gatineau, école du Boisée",18,1448
2019-02-01,"MOBL","Gatineau, école du Bois Joli",152,14844
2019-02-01,"MOBL","Gatineau, école du Marais",201,20792
2019-02-01,"MOBL","Gatineau, école du Vallon",35,3421
2019-02-01,"MOBL","Gatineau, école du Versant",109,9622
2019-02-01,"MOBL","Gatineau, école du Vieux Verger",552,55262
2019-02-01,"MOBL","Gatineau, école Jean-de-Brébeuf",979,113436
2019-02-01,"MOBL","Gatineau, école Lac des Fées",2,146
2019-02-01,"MOBL","Gatineau, école La Source",1,78
2019-02-01,"MOBL","Gatineau, école Montessori",443,47999
2019-02-01,"MOBL","Gatineau, école Saint-Jean-Bosco",54,4971
2019-02-01,"MOBL","Gatineau, école Saint-Jean-de-Brébeuf",665,62634
