MODE_GEST,NO_ID_MGE,NM_ID_MGE,DT_CRE,STATUT,DTMAJ_STA,NO_GES_MGE
36,1-001,AKULIVIK,2019-10-31,A,,253
06,923,LAC-CABITUQUIMATS,2003-11-19,A,,050
06,924,REBOUL,2003-11-19,A,,050
06,925,NEILSON,2003-11-19,A,,050
06,926,LEVASSEUR,2003-11-19,A,,050
06,927,LAC-VEILLEUX,2003-11-19,A,,050
06,928,LAC-JOSSELIN,2003-11-19,A,,050
06,929,CHAUVIN,2003-11-19,A,,050
06,931,BERGERONNES,2003-11-19,A,,050
06,937,ROQUEMONT,2003-11-19,A,,050
06,947,DESAULNIERS 'B',2003-11-19,A,,050
06,949,BOIS 'B',2003-11-19,A,,050
06,951,GEOFFRION,2003-11-19,A,,050
06,952,LAURIER,2003-11-19,A,,050
36,1-002,AUPALUK,2019-10-31,A,,253
06,954,PAYMENT,2003-11-19,A,,050
06,955,LESCARBOT,2003-11-19,A,,050
06,956,FLANDRE,2003-11-19,A,,050
06,958,SAINTES,2003-11-19,A,,050
36,1-003,INUKJUAK,2019-10-31,A,,253
06,979,MALHERBE 'A',2003-11-19,A,,050
06,983,NOUVELLE 'C',2003-11-19,A,,050
06,984,REBOUL 'A',2003-11-19,A,,050
06,985,RIVIÈRE-AUX-ROSIERS,2003-11-19,A,,050
50,4863,SERPENTINE-DE-COLERAINE (DE LA),2003-11-26,A,2016-09-30,053
36,1-004,IVUJIVIK,2019-10-31,A,,253
50,4875,FORÊT-LA-BLANCHE (DE LA),2003-11-26,A,2016-09-30,053
06,930,LAC-MACLEOD,2003-12-07,A,,050
06,935,LAC-BELLE-TRUITE,2003-12-07,A,,050
06,936,CHAUVEAU 'N',2003-12-07,A,,050
06,944,CHAUVEAU 'O',2003-12-07,A,,050
06,996,MADAWASKA 'J' ,2004-03-24,A,,050
97,003,DU-CANAL-DE-CARILLON,2006-01-18,A,,150
97,004,DU-CANAL-DE-CHAMBLY,2006-01-18,A,,150
97,005,DU-CANAL-DE-LACHINE,2006-01-18,A,,150
97,006,DU-CANAL-DE-SAINT-OURS,2006-01-18,A,,150
97,007,DU-CANAL-DE-SAINTE-ANNE-DE-BELLEVUE,2006-01-18,A,,150
97,008,DE-CARTIER-BRÉBEUF,2006-01-18,A,,150
97,009,DE-LA-CASERNE-DE-CARILLON,2006-01-18,A,,150
97,010,DE-COTEAU-DU-LAC,2006-01-18,A,,150
97,011,DES-FORGES-DU-SAINT-MAURICE,2006-01-18,A,,150
97,012,DE-FORT-CHAMBLY,2006-01-18,A,,150
97,013,DE-FORT-NUMÉRO-UN-DE-LA-POINTE-DE-LÉVY,2006-01-18,A,,150
97,014,DE-FORT-TÉMISCAMINGUE,2006-01-18,A,,150
97,015,DES-FORTIFICATIONS-DE-QUÉBEC,2006-01-18,A,,150
97,016,DE-GRANDE-GRAVE,2006-01-18,A,,150
97,017,DE-LOUIS-S.-ST-LAURENT,2006-01-18,A,,150
97,018,DE-LA-MAISON-MAILLOU,2006-01-18,A,,150
97,021,DU-MANOIR-PAPINEAU,2006-01-18,A,,150
97,022,DU-PARC-DE-L'ARTILLERIE,2006-01-18,A,,150
97,023,DU-PHARE-DE-POINTE-AU-PÈRE,2006-01-18,A,,150
97,024,DE-SIR-GEORGE-ÉTIENNE-CARTIER,2006-01-18,A,,150
97,025,DE-SIR-WILFRID-LAURIER,2006-01-18,A,,150
36,1-005,KANGIQSUALUJJUAQ,2019-10-31,A,,253
92,034,LOT DE GRÈVE CT GENDREAU (LAC TÉMISCAMINGUE),2005-07-11,A,,100
36,1-006,KANGIQSUJUAQ,2019-10-31,A,,253
36,1-007,KANGIRSUK,2019-10-31,A,,253
36,1-008,KIGGALUK,2019-10-31,A,,253
36,1-009,KILLINIQ,2019-10-31,A,,253
36,1-010,KUUJJUAQ,2019-10-31,A,,253
36,1-011,KUUJJUARAPIK,2019-10-31,A,,253
36,1-012,PUVIRNITUQ,2019-10-31,A,,253
36,1-013,QUAQTAQ,2019-10-31,A,,253
36,1-014,SALLUIT,2019-10-31,A,,253
36,1-015,TASIUJAQ,2019-10-31,A,,253
36,1-016,UMIUJAQ,2019-10-31,A,,253
02,007,LIGNE DE TRANSMISSION D'ÉNERGIE,2019-11-22,A,,050
10,081009,,2022-02-13,A,,051
10,081023,,2022-02-13,A,,051
10,081075,,2022-02-13,A,,051
10,081077,,2022-02-13,A,,051
10,081078,,2022-02-13,A,,051
10,081082,,2022-02-13,A,,051
10,081085,,2022-02-13,A,,051
10,081086,,2022-02-13,A,,051
10,081087,,2022-02-13,A,,051
10,081088,,2022-02-13,A,,051
10,081091,,2022-02-13,A,,051
10,081092,,2022-02-13,A,,051
10,081093,,2022-02-13,A,,051
10,081094,,2022-02-13,A,,051
10,081095,,2022-02-13,A,,051
10,081096,,2022-02-13,A,,051
10,081097,,2022-02-13,A,,051
10,081100,,2022-02-13,A,,051
10,081101,,2022-02-13,A,,051
10,081102,,2022-02-13,A,,051
10,081103,,2022-02-13,A,,051
10,081104,,2022-02-13,A,,051
10,081106,,2022-02-13,A,,051
10,081107,,2022-02-13,A,,051
10,081108,,2022-02-13,A,,051
10,081110,,2022-02-13,A,,051
10,081111,,2022-02-13,A,,051
10,081112,,2022-02-13,A,,051
10,081114,,2022-02-13,A,,051
10,081115,,2022-02-13,A,,051
10,081116,,2022-02-13,A,,051
10,081117,,2022-02-13,A,,051
10,081118,,2022-02-13,A,,051
10,081119,,2022-02-13,A,,051
10,081120,,2022-02-13,A,,051
10,081121,,2022-02-13,A,,051
10,081122,,2022-02-13,A,,051
10,081123,,2022-02-13,A,,051
10,081124,,2022-02-13,A,,051
