code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"101",Mouvement de terrain,"52062",Saint-Cuthbert,Très précise,Glissement de terrain,Menace faible ou non-existante à la vie ou la propriété,2020-04-14,2020-04-14,Non,,2021-11-22,-73.204362,46.142482
"101",Mouvement de terrain,"52062",Saint-Cuthbert,Très précise,Présence de fissures aux côtés d’un bâtiment agricole situé en sommet de talus,Menace faible ou non-existante à la vie ou la propriété,2021-10-06,2021-09-27,Non,,2022-12-14,-73.21537,46.15788
"8",Inondation,"52062",Saint-Cuthbert,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-26,2021-03-26,Non,,2021-10-26,-73.220159,46.150972
"8",Inondation,"52062",Saint-Cuthbert,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2023-05-02,2023-05-02,Non,,2023-05-05,-73.220159,46.150972
"25",Panne d'électricité,"52062",Saint-Cuthbert,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2024-02-29,2024-02-29,Non,,2024-03-06,-73.220159,46.150972
"101",Mouvement de terrain,"52062",Saint-Cuthbert,Très précise,"Glissement de terrain survenu à l'automne 2023, selon la municipalité.",Menace faible ou non-existante à la vie ou la propriété,2024-04-04,,Oui,"Selon la municipalité, le glissement serait survenu à l'automne 2023.",2024-07-30,-73.208177,46.143922
"101",Mouvement de terrain,"52062",Saint-Cuthbert,Très précise,Signes précurseurs d'amorce de glissement,Menace possible à la vie ou à la propriété,2024-04-04,2024-03-27,Non,,,-73.182348,46.133303
"101",Mouvement de terrain,"52062",Saint-Cuthbert,Très précise,,Menace importante à la vie ou à la propriété,2024-08-10,2024-08-10,Non,,,-73.230321,46.17016
"158",Fermeture de route,"52062",Saint-Cuthbert,Imprécise,,Menace possible à la vie ou à la propriété,2024-08-10,2024-08-10,Non,,,-73.220159,46.150972
"25",Panne d'électricité,"69037",Ormstown,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2023-04-07,2023-04-07,Non,,2023-06-26,-73.993049,45.121848
"101",Mouvement de terrain,"94230",Sainte-Rose-du-Nord,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-10-01,,Oui,Plusieurs glissements anciens,2022-10-28,-70.572082,48.392159
"101",Mouvement de terrain,"63055",Saint-Calixte,Très précise,Suffosion,Menace faible ou non-existante à la vie ou la propriété,2020-05-04,,Oui,La durée de l'inondation est inconnue et le propriétaire ne peut être certain de la date exacte.,2021-01-26,-73.844644,45.935023
"101",Mouvement de terrain,"63055",Saint-Calixte,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2020-05-04,2020-04-14,Non,,2021-03-23,-73.813296,45.907359
"8",Inondation,"63055",Saint-Calixte,Imprécise,,Menace importante à la vie ou à la propriété,2020-04-14,2020-04-13,Non,,2021-01-26,-73.841484,45.946918
"138",Orage violent,"63055",Saint-Calixte,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-24,2022-05-21,Non,,,-73.841484,45.946918
"8",Inondation,"63055",Saint-Calixte,Précise,,Menace possible à la vie ou à la propriété,2023-04-17,2023-04-17,Non,,2023-08-31,-73.842353,45.935095
