Region,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,Soutien_aux_familles_de_personnes_handicapees_-_Allocations,Nutrition_a_domicile,Intervention_communautaire_-_Services_de_maintien_a_domicile,Ergotherapie_a_domicile,Physiotherapie_a_domicile,Pret_d'equipement_aux_usagers_des_services_a_domicile,Inhalotherapie_a_domicile,Nutrition_parenterale_totale_a_domicile,Hemodialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,Activites_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,9 986 969,6 782 982,3 062 230,3 381 406,551 816,59 024,33 970,1 810 717,1 414 345,316 203,369 374,,,2 173 104,29 942 140,6 059 614,3 039 882,39 041 636
RSS 02  Saguenay--Lac-Saint-Jean,12 501 605,6 085 185,3 744 869,7 029 215,992 260,718 326,,2 316 423,2 503 284,45 158,194 973,,56 739,2 066 515,38 254 552,7 934 442,2 962 941,49 151 935
RSS 03  Capitale Nationale,26 575 065,15 489 198,8 727 874,15 738 476,8 668 002,886 979,597 323,6 067 648,3 009 750,,,1 361 745,362 400,8 032 658,95 517 118,18 481 949,3 260 558,117 259 625
RSS 04  Mauricie et Centre-du-Québec,19 637 910,14 013 082,9 244 488,9 793 027,2 414 421,699 002,187 803,3 980 009,2 737 936,423 079,1 942 914,,177 949,4 418 499,69 670 119,14 038 291,1 722 982,85 431 392
RSS 05  Estrie,12 931 824,11 788 662,2 394 293,9 387 600,823 318,443 162,638 538,2 887 712,1 816 509,564 292,1 722 060,36 501,373 816,3 365 784,49 174 070,11 423 216,2 624 854,63 222 140
RSS 06  Montréal,80 801 636,71 185 460,17 604 197,29 441 396,9 448 217,1 669 846,2 059 215,13 985 284,8 835 268,1 952 195,679 921,4 158 776,1 102 930,21 424 804,264 349 145,55 883 319,12 001 380,332 233 844
RSS 07  Outaouais,10 455 304,6 858 460,3 838 024,5 860 762,1 168 783,317 966,14 112,2 725 281,1 394 363,97 589,668 435,,210 714,3 135 056,36 744 849,7 156 543,2 991 561,46 892 953
RSS 08  Abitibi-Témiscamingue,5 490 699,5 043 592,1 611 471,4 385 581,634 229,75 538,241 630,677 014,363 017,,339 029,,,1 620 557,20 482 357,4 273 847,377 657,25 133 861
RSS 09  Côte-Nord,4 137 610,2 230 942,2 499 158,2 758 111,1 159 986,140 452,248 048,653 675,351 383,,351 976,,,704 177,15 235 518,2 845 586,871 424,18 952 528
RSS 10  Nord-du-Québec,846 783,816 632,137 942,457 944,44 331,6 433,66 854,114 529,75 884,34 272,58 062,,,72 966,2 732 632,676 796,21 188,3 430 616
RSS 11  Gaspésie--Îles-de-la-Madeleine,6 204 904,4 610 437,4 579 908,2 092 551,481 140,,,845 514,782 701,78 204,282 009,,,1 235 312,21 192 680,3 755 494,1 053 457,26 001 631
RSS 12  Chaudière-Appalaches,13 664 265,9 867 376,729 787,10 392 658,1 776 457,441 870,250 533,3 643 921,2 632 782,95 282,1 356 731,,,2 616 348,47 468 010,10 539 039,2 440 840,60 447 889
RSS 13  Laval,15 281 239,12 653 619,2 031 749,8 930 606,1 387 209,335 395,1 586 844,3 092 803,1 354 954,485 689,984 538,,218 465,2 773 099,51 116 209,10 640 630,2 849 238,64 606 077
RSS 14  Lanaudière,12 981 660,9 555 972,7 540 644,5 185 116,1 463 624,326 245,189 239,2 819 623,2 166 734,842 875,1 497 763,,,3 212 309,47 781 804,8 863 247,344 603,56 989 654
RSS 15  Laurentides,18 599 868,11 026 934,6 706 741,8 476 529,1 991 434,831 342,650 746,3 915 768,3 197 777,474 643,2 570 777,,145 433,4 376 789,62 964 781,12 324 272,2 154 142,77 443 195
RSS 16  Montérégie,46 145 956,27 285 779,12 723 185,19 341 246,4 537 197,2 082 512,1 958 418,11 042 966,7 637 559,1 504 515,6 543 390,,148 375,10 605 647,151 556 745,30 482 876,5 254 749,187 294 370
RSS 17  Nunavik,1 661 405,1 668 399,,,44 344,,735 203,88 720,168 712,,,,,264 834,4 631 617,1 132 157,,5 763 774
RSS 18  Terres-Cries-de-la-Baie-James,,4 163 487,,,,,,,,,,,,,4 163 487,990 722,,5 154 209
TOTAL QUÉBEC,297 904 702,221 126 198,87 176 560,142 652 224,37 586 768,9 034 092,9 458 476,60 667 607,40 442 958,6 913 996,19 561 952,5 557 022,2 796 821,72 098 458,1 012 977 833,207 502 040,43 971 456,1 264 451 330
