Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,6 073 399,4 999 919,158 672,17 004,22 727 628,799 743,9 325 030,44 101 395
RSS 02  Saguenay--Lac-Saint-Jean,4 447 287,6 479 113,178 845,495,26 980 547,2 606 361,12 757 356,53 450 005
RSS 03  Capitale Nationale,14 105 889,15 036 221,435 375,103,56 370 188,6 669 675,30 424 760,123 042 212
RSS 04  Mauricie et Centre-du-Québec,6 058 848,9 787 127,315 393,170 357,52 629 808,3 441 502,18 153 033,90 556 067
RSS 05  Estrie,6 134 230,7 978 459,365 613,101 332,53 808 239,4 294 779,15 202 350,87 885 003
RSS 06  Montréal,23 410 110,37 827 872,4 215 203,14 837,213 691 990,15 809 308,56 413 212,351 382 532
RSS 07  Outaouais,3 641 785,5 663 139,90 594,1 741,23 004 243,2 347 897,11 851 827,46 601 226
RSS 08  Abitibi-Témiscamingue,1 075 557,1 614 799,215 657,,17 331 122,1 277 799,6 502 634,28 017 568
RSS 09  Côte-Nord,906 116,1 657 224,243 746,859,10 169 159,1 369 157,4 990 902,19 337 163
RSS 10  Nord-du-Québec,295 048,688 989,31 642,,1 732 876,198 939,475 043,3 422 538
RSS 11  Gaspésie--Îles-de-la-Madeleine,1 556 131,3 338 216,57 430,,13 983 757,1 452 173,6 396 951,26 784 659
RSS 12  Chaudière-Appalaches,7 415 729,8 903 834,196 340,23 462,33 075 179,5 700 093,8 891 606,64 206 241
RSS 13  Laval,5 717 870,3 546 655,122 781,13 074,42 096 858,4 627 006,8 837 046,64 961 290
RSS 14  Lanaudière,5 593 766,5 658 759,486 533,115 640,40 234 363,2 235 349,11 729 935,66 054 346
RSS 15  Laurentides,5 917 224,8 419 101,415 146,118,49 167 748,2 943 771,15 724 330,82 587 439
RSS 16  Montérégie,13 885 371,20 113 609,389 396,2 250,95 301 691,11 088 073,31 861 879,172 642 270
RSS 17  Nunavik,114 992,2 665 890,331 702,,2 155 749,100 096,209 876,5 578 305
RSS 18  Terres-Cries-de-la-Baie-James,58 331,142 862,29 660,,3 763 877,68 219,880 413,4 943 362
TOTAL QUÉBEC,106 407 683,144 521 789,8 279 729,461 273,758 225 023,67 029 938,250 628 185,1 335 553 621
