Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL,
RSS 01  Bas-Saint-Laurent,5 778 660,6 167 532,64 314,,28 187 985,892 686,13 174 567,54 265 744,
RSS 02  Saguenay--Lac-Saint-Jean,5 126 817,8 225 058,187 240,,33 705 036,3 123 645,14 766 099,65 133 895,
RSS 03  Capitale Nationale,16 824 138,12 930 493,810 059,,68 011 936,9 832 392,42 583 447,150 992 465,
RSS 04  Mauricie et Centre-du-Québec,7 883 293,15 076 828,442 399,,63 535 943,3 700 936,19 076 489,109 715 889,
RSS 05  Estrie,6 040 302,9 000 373,237 781,,57 324 773,5 992 642,20 482 837,99 078 708,
RSS 06  Montréal,27 117 481,43 739 482,2 834 077,,281 575 005,14 394 674,64 506 543,434 167 261,
RSS 07  Outaouais,4 565 329,7 860 007,58 304,,32 397 101,5 603 902,14 954 933,65 439 576,
RSS 08  Abitibi-Témiscamingue,1 069 186,1 765 111,206 398,,24 859 725,1 523 882,8 008 810,37 433 112,
RSS 09  Côte-Nord,1 090 930,2 425 179,145 021,,14 394 547,1 183 608,5 597 740,24 837 026,
RSS 10  Nord-du-Québec,264 271,671 354,31 021,,2 107 609,83 487,622 357,3 780 099,
RSS 11  Gaspésie--Îles-de-la-Madeleine,2 133 425,3 776 668,84 674,,19 502 586,2 388 779,6 518 501,34 404 635,
RSS 12  Chaudière-Appalaches,8 553 647,9 357 298,151 678,,50 109 763,6 117 428,10 062 922,84 352 736,
RSS 13  Laval,4 895 811,4 115 348,70 773,,54 082 083,5 573 312,9 694 231,78 431 557,
RSS 14  Lanaudière,6 895 088,5 284 399,396 381,,57 996 649,3 163 887,10 910 102,84 646 505,
RSS 15  Laurentides,7 687 364,9 735 482,1 669 240,,61 557 833,4 816 215,19 346 550,104 812 684,
RSS 16  Montérégie,14 440 112,25 474 789,497 253,,137 595 814,14 705 050,45 525 309,238 238 328,
RSS 17  Nunavik,1 193 378,1 921 226,1 600 692,,1 744 395,91 299,198 829,6 749 819,
RSS 18  Terres-Cries-de-la-Baie-James,52 550,128 704,26 721,,3 390 831,61 457,793 153,4 453 416,
TOTAL QUÉBEC,121 611 782,167 655 331,9 514 028,,992 079 615,83 249 281,306 823 418,1 680 933 454,
