ï»¿Region ,Soins_infirmiers_a_domicile ,Aide_a_domicile_(CLSC) ,Aide_a_domicile_(Allocations) ,Services_psychosociaux_a_domicile , ,Soutien_aux_familles_de_personnes_handicapees_Allocations ,Nutrition_a_domicile ,Intervention_communautaire ,Ergotherapie_a_domicile ,Physiotherapie_a_domicile ,Pret_d'equipement_aux_usagers_des_services_a_domicile ,Inhalotherapie_a_domicile ,Nutrition_parenterale_totale_a_domicile ,Hemodialyse_a_domicile ,Gestion_et_soutien_des_services_de_maintien_a_domicile ,SOUS_TOTAL ,Activites_de_soutien ,Organismes_communautaires_a_domicile ,TOTAL , , , ,
 ,c/a 6170 ,c/a 6530 ,c/a 6530 ,c/a 6561 ,c/a 6864 ,c/a 7080 ,c/a 7111 ,c/a 7120 ,c/a 7161 ,c/a 7162 ,c/a 7163 ,c/a 6351 ,c/a 6250 ,c/a 6793 ,c/a 7151 ,TOTAL
RSS 01  Bas-Saint-Laurent ,21 614 614 ,16 222 244 ,8 534 964 ,11 800 251 , ,864 857 ,275 397 ,49 000 ,2 735 520 ,2 993 706 ,1 584 796 ,799 589 , , ,5 718 477 ,73 193 415 ,11 353 248 ,456 122 ,85 002 785
RSS 02  Saguenay-Lac-Saint-Jean ,17 227 610 ,17 315 773 ,192 957 ,10 967 561 , ,1 247 307 ,1 178 290 , ,3 959 933 ,5 040 093 ,576 939 ,911 736 , ,251 425 ,2 674 155 ,61 543 779 ,10 836 075 ,4 036 982 ,76 416 836
RSS 03  Capitale-Nationale ,51 007 004 ,18 562 013 ,52 981 410 ,37 689 596 , ,2 527 267 ,1 521 626 ,259 662 ,11 114 442 ,6 347 114 , , ,779 112 ,515 185 ,12 618 242 ,195 922 673 ,26 190 850 ,4 635 410 ,226 748 933
RSS 04  Mauricie-et-Centre-du-Quebec ,33 179 582 ,33 950 558 ,18 097 433 ,17 275 429 , ,3 641 473 ,1 365 255 ,200 451 ,7 827 787 ,6 291 071 ,1 745 650 ,2 856 341 , ,238 761 ,11 111 942 ,137 781 733 ,20 654 324 ,2 914 138 ,161 350 195
RSS 05  Estrie ,27 279 140 ,29 581 624 ,15 095 476 ,23 667 837 , ,1 619 791 ,1 564 789 ,91 983 ,8 885 005 ,6 758 715 ,1 885 050 ,3 149 672 ,179 278 ,656 979 ,7 409 287 ,127 824 626 ,20 343 579 ,4 855 328 ,153 023 533
RSS 06  Montreal ,121 915 692 ,152 775 307 ,65 115 177 ,46 339 884 , ,13 220 546 ,2 517 671 ,312 234 ,19 269 306 ,14 821 611 ,5 955 606 ,5 683 302 ,8 230 103 ,1 822 312 ,28 678 057 ,486 656 808 ,76 532 632 ,14 936 228 ,578 125 668
RSS 07  Outaouais ,15 875 539 ,19 911 470 ,16 728 900 ,13 850 979 , ,1 533 418 ,695 901 , ,4 219 791 ,3 001 263 ,2 513 948 ,1 281 366 , ,395 314 ,4 022 187 ,84 030 076 ,12 405 531 ,3 931 378 ,100 366 985
RSS 08  Abitibi-Temiscamingue ,9 152 820 ,13 518 662 ,3 938 434 ,6 613 692 , ,572 805 ,246 072 ,314 101 ,913 449 ,951 418 ,167 941 ,345 797 , ,13 639 ,2 984 652 ,39 733 482 ,6 333 195 ,1 049 854 ,47 116 531
RSS 09  Cote-Nord ,8 005 758 ,7 879 557 ,7 324 779 ,5 662 224 , ,766 053 ,68 590 ,78 387 ,688 190 ,947 575 ,175 839 ,599 122 , , ,1 478 674 ,33 674 748 ,4 851 329 ,1 195 789 ,39 721 866
RSS 10  Nord-du-Quebec ,1 356 245 ,1 347 641 ,243 494 ,515 013 , ,34 976 ,7 979 ,74 724 ,105 005 ,79 518 , ,44 885 , , ,147 612 ,3 957 092 ,730 500 ,111 423 ,4 799 015
