ï»¿Region ,Soins_infirmiers_a_domicile ,Aide_a_domicile_(CLSC) ,Aide_a_domicile_(Allocations) ,Services_psychosociaux_a_domicile , ,Soutien_aux_familles_de_personnes_handicapees_Allocations ,Nutrition_a_domicile ,Intervention_communautaire ,Ergotherapie_a_domicile ,Physiotherapie_a_domicile ,Pret_d'equipement_aux_usagers_des_services_a_domicile ,Inhalotherapie_a_domicile ,Nutrition_parenterale_totale_a_domicile ,Hemodialyse_a_domicile ,Gestion_et_soutien_des_services_de_maintien_a_domicile ,SOUS_TOTAL ,Activites_de_soutien ,Organismes_communautaires_a_domicile ,TOTAL 
 ,c/a 6170 ,c/a 6530 ,c/a 6530 ,c/a 6561 ,c/a 6864 ,c/a 7080 ,c/a 7111 ,c/a 7120 ,c/a 7161 ,c/a 7162 ,c/a 7163 ,c/a 6351 ,c/a 6250 ,c/a 6793 ,c/a 7151 ,TOTAL
RSS 01  Bas-Saint-Laurent ,26 144 412,19 164 198,8 969 796,12 013 444,,798 292,250 674,49 000,3 107 527,3 699 603,1 921 920,1 006 492,,,7 306 462,84 431 820,15 184 931,522 287,100 139 038
RSS 02  Saguenay-Lac-Saint-Jean ,20 752 517,20 925 966,209 852,12 398 250,,1 636 629,1 317 839,,4 020 614,5 471 258,518 696,1 059 023,,284 803,3 249 279,71 844 726,14 986 161,5 386 038,92 216 925
RSS 03  Capitale-Nationale ,61 198 831,27 130 941,65 608 023,41 724 753,,2 567 953,1 812 822,70 116,12 142 717,7 243 464,,,761 211,529 677,15 097 172,235 887 680,35 144 143,4 988 701,276 020 524
RSS 04  Mauricie-et-Centre-du-Quebec ,39 317 709,45 936 389,19 179 928,18 700 469,,3 641 458,1 445 728,345 843,8 150 596,6 607 254,2 030 113,3 670 590,,233 709,13 425 221,162 685 007,28 460 856,3 849 402,194 995 265
RSS 05  Estrie ,31 663 689,43 277 280,12 802 499,27 548 814,,1 639 804,1 641 073,728 451,9 501 042,7 272 333,2 433 862,3 712 845,108 785,945 943,9 205 005,152 481 425,29 052 198,5 160 115,186 693 738
RSS 06  Montreal ,153 729 658,191 819 054,68 846 782,50 138 864,,12 283 801,3 032 877,264 067,19 740 117,16 200 492,6 456 927,6 416 528,9 510 609,2 200 381,35 668 073,576 308 230,106 812 941,16 030 764,699 151 935
RSS 07  Outaouais ,17 398 858,30 577 852,20 965 143,14 065 168,,1 387 674,740 108,,4 601 186,2 511 371,2 839 463,1 448 130,,527 595,4 944 019,102 006 567,16 993 954,4 358 959,123 359 480
RSS 08  Abitibi-Temiscamingue ,10 510 174,17 244 381,3 391 449,7 606 470,,694 315,294 144,396 037,1 032 804,1 035 973,219 920,492 321,,36 136,3 429 273,46 383 397,8 689 992,1 278 565,56 351 954
RSS 09  Cote-Nord ,10 555 230,11 562 996,5 954 573,6 286 084,,835 718,266 519,100 211,598 483,1 318 671,234 840,846 962,,,1 893 125,40 453 412,7 197 348,1 230 895,48 881 655
RSS 10  Nord-du-Quebec ,1 518 683,1 740 826,176 599,665 119,,29 723,11 060,79 719,131 914,122 842,,74 590,,,306 860,4 857 935,1 048 205,113 354,6 019 494
RSS 11  Gaspesie  Iles-de-la-Madeleine ,13 280 427,21 181 216,8 182 874,4 378 366,,705 296,7 913,,1 116 068,1 446 077,342 132,393 706,,,1 747 489,52 781 564,9 550 259,1 370 605,63 702 428
RSS 12  Chaudiere-Appalaches ,24 687 998,37 108 136,4 734 132,20 416 333,,1 900 447,1 245 348,329 466,7 076 881,5 437 512,1 368 681,2 249 991,,,4 488 540,111 043 465,22 552 815,3 504 333,137 100 613
RSS 13  Laval ,30 994 560,32 522 465,11 256 343,20 405 703,,2 355 108,822 169,164 480,4 627 890,3 963 495,1 364 690,2 225 140,,580 950,6 345 121,117 628 114,20 984 881,2 584 551,141 197 546
RSS 14  Lanaudiere ,28 763 411,40 357 457,12 129 766,11 676 861,,2 638 088,701 079,,4 000 102,5 012 697,2 047 527,2 138 187,,306 670,7 628 284,117 400 129,21 314 972,1 800 596,140 515 697
RSS 15  Laurentides ,36 365 072,22 118 241,24 230 458,17 725 974,,3 493 299,1 870 606,1 698 115,6 029 271,6 755 631,1 286 359,4 132 898,,332 745,13 856 903,139 895 572,22 049 219,2 823 046,164 767 837
RSS 16  Monteregie ,82 196 439,121 413 609,63 295 244,41 292 161,,7 376 749,3 765 210,2 537 878,15 004 783,13 364 571,4 344 104,10 415 750,,246 060,12 055 412,377 307 970,65 868 401,5 525 994,448 702 364
RSS 17  Nunavik ,2 704 566,1 105 268,,220 054,,33 218,,1 523 014,321 935,389 446,,755 104,,,5 848 664,12 901 269,1 658 613,0,14 559 882
RSS 18  Terres-Cries-de-la-Baie-James ,,4 972 570,,,,,,,,,,,,,,4 972 570,1 280 981,0,6 253 551
TOTAL QUEBEC ,591 782 234,690 158 845,329 933 461,307 262 887,,44 017 572,19 225 169,8 286 397,101 203 930,87 852 690,27 409 234,41 038 257,10 380 605,6 224 669,146 494 902,2 411 270 852,428 830 869,60 528 205,2 900 629 925
