ï»¿RÃ©gion,Services_gÃ©nÃ©raux,SantÃ©_physique,SantÃ©_mentale,SantÃ©_publique,Soutien_a_l'autonomie_des_PA,DÃ©ficience_intellectuelle_et_TSA,DÃ©ficience_physique,GRAND_TOTAL,
RSS 01  Bas-Saint-Laurent,13 888 395,8 424 523,81 288,,34 372 584,2 427 099,15 904 516,75 098 406,
RSS 02  Saguenay--Lac-Saint-Jean,6 289 758,10 245 355,68 034,,36 753 592,3 526 851,16 069 905,72 953 496,
RSS 03  Capitale Nationale,21 685 895,16 504 530,480 960,,75 791 053,24 756 036,52 806 745,192 025 219,
RSS 04  Mauricie et Centre-du-QuÃ©bec,12 543 688,17 106 743,480 656,,84 045 728,5 979 835,22 104 588,142 261 240,
RSS 05  Estrie,9 179 120,12 367 350,244 112,,75 708 744,8 829 369,27 110 664,133 439 359,
RSS 06  MontrÃ©al,35 600 753,47 238 921,4 177 728,,329 243 113,18 067 537,74 340 089,508 668 141,
RSS 07  Outaouais,5 938 513,9 893 509,44 309,,41 891 303,5 078 288,17 954 863,80 800 786,
RSS 08  Abitibi-TÃ©miscamingue,1 607 640,2 525 926,118 414,,27 692 008,1 654 005,8 860 273,42 458 266,
RSS 09  CÃ´te-Nord,2 195 790,4 037 556,203 158,,21 059 690,1 225 103,6 027 579,34 748 874,
RSS 10  Nord-du-QuÃ©bec,430 717,776 741,52 706,,2 876 992,127 153,560 426,4 824 735,
RSS 11  GaspÃ©sie--Ãles-de-la-Madeleine,3 290 540,5 213 296,129 678,,25 051 500,3 005 568,8 090 214,44 780 795,
RSS 12  ChaudiÃ¨re-Appalaches,11 799 853,11 281 955,178 765,,60 809 560,6 692 166,12 975 172,103 737 471,
RSS 13  Laval,7 305 787,4 639 870,347 536,,66 480 813,6 906 008,12 032 925,97 712 939,
RSS 14  LanaudiÃ¨re,8 554 834,6 471 623,188 875,,69 506 274,5 055 552,10 683 109,100 460 269,
RSS 15  Laurentides,10 115 616,12 970 709,1 415 873,,69 613 095,6 608 238,24 182 898,124 906 429,
RSS 16  MontÃ©rÃ©gie,18 260 529,29 785 745,622 300,,181 071 415,22 549 459,49 698 121,301 987 569,
RSS 17  Nunavik,757 726,1 648 339,4 822 678,,1 534 556,30 039,33 443,8 826 781,
RSS 18  Terres-Cries-de-la-Baie-James,50 947,124 777,25 905,,3 287 375,59 582,768 954,4 317 540,
TOTAL QUÃBEC,169 496 104,201 257 468,13 682 976,,1 206 789 395,122 577 890,360 204 483,2 074 008 315,
Pourcentage,8.17%,9.70%,0.66%,,58.19%,5.91%,17.37%,100.00%,
"TOTAL rÃ©gions 10, 17 et 18",1 239 391,2 549 857,4 901 289,,7 698 922,216 774,1 362 823,17 969 056,
"TOTAL moins rÃ©gions 10, 17 et 18",168 256 713,198 707 611,8 781 687,,1 199 090 473,122 361 116,358 841 660,2 056 039 259,
