Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,25 849 075,205 611 726,31 983 996,10 306 711,101 125 449,31 940 549,19 347 997,2 297 798,32 572 382,37 223 372,44 565 657,42 403 893,585 228 605
RSS 02  Saguenay--Lac-Saint-Jean,30 292 724,263 491 404,44 179 467,14 625 527,105 793 184,45 720 918,26 202 645,5 219 958,47 194 104,45 744 737,58 023 844,52 652 287,739 140 797
RSS 03  Capitale-Nationale,74 424 114,941 997 601,158 689 607,26 839 580,293 770 943,94 617 392,80 113 498,10 949 796,92 268 436,140 058 395,188 268 109,195 702 303,2 297 699 774
RSS 04  Mauricie et Centre-du-Québec,51 040 257,384 234 886,70 106 706,26 220 075,241 270 606,69 131 993,40 441 742,9 697 120,78 657 884,75 447 938,94 452 435,88 644 576,1 229 346 217
RSS 05  Estrie,35 061 183,344 053 426,44 051 038,15 104 391,138 308 548,33 543 423,27 354 575,3 437 599,50 926 261,67 566 271,69 755 523,73 385 061,902 547 297
RSS 06  Montréal,166 698 934,2 804 585 905,472 046 473,77 087 796,919 365 413,246 361 492,151 020 472,31 525 465,291 271 625,450 658 174,587 901 469,588 181 847,6 786 705 066
RSS 07  Outaouais,28 742 351,263 684 736,47 981 909,14 379 144,108 087 846,34 381 560,27 050 499,4 865 297,47 718 758,43 337 286,57 120 935,52 672 318,730 022 639
RSS 08  Abitibi-Témiscamingue,19 007 037,133 516 008,22 008 541,8 883 148,66 536 578,24 692 453,14 907 917,3 720 654,29 371 626,31 134 758,35 143 870,30 705 653,419 628 244
RSS 09  Côte-Nord,18 526 251,111 422 012,13 229 961,7 160 881,41 828 248,15 493 748,8 791 145,2 693 896,22 233 862,22 865 557,26 736 534,27 729 353,318 711 448
RSS 10  Nord-du-Québec,5 086 382,24 873 173,2 045 040,2 666 354,5 503 974,559 314,689 205,362 415,1 808 517,6 659 081,4 852 209,4 583 404,59 689 068
RSS 11  Gaspésie--Îles-de-la-Madeleine,18 422 683,108 878 323,16 076 574,8 501 807,53 277 548,18 163 647,11 727 346,3 222 401,17 613 341,21 827 529,28 013 790,24 753 419,330 478 407
RSS 12  Chaudière-Appalaches,40 077 744,256 804 636,51 997 035,16 120 578,159 491 209,60 504 883,27 882 509,7 019 662,52 456 520,54 177 861,67 301 961,61 732 757,855 567 354
RSS 13  Laval,24 093 158,215 442 802,31 972 842,14 207 223,125 881 395,42 167 521,23 730 931,4 398 126,56 040 583,38 314 577,51 769 831,40 786 617,668 805 606
RSS 14  Lanaudière,34 034 967,238 910 876,52 421 879,15 654 076,163 167 441,44 371 339,25 186 476,4 438 168,63 225 038,42 393 971,59 404 891,66 320 203,809 529 324
RSS 15  Laurentides,38 531 184,331 908 302,60 523 058,18 241 180,173 853 728,58 604 935,34 039 724,5 309 724,77 806 154,63 579 248,76 106 410,63 862 920,1 002 366 567
RSS 16  Montérégie,99 209 310,832 573 556,142 487 961,49 318 187,483 161 256,151 274 576,77 434 696,13 954 933,165 526 246,144 809 599,184 803 220,186 741 875,2 531 295 414
RSS 17  Nunavik,26 408 383,57 117 775,86 666,3 972 970,10 088 314,4 480 441,589 469,,30 652 726,14 267 710,9 891 511,23 292 217,180 848 182
RSS 18  Terres-Cries-de-la-Baie-James,5 060 215,102 672 323,1 131 678,1 414 881,3 157 760,57 726,6 768 006,,13 495 421,16 649 998,7 779 148,7 812 199,165 999 354
TOTAL QUÉBEC,740 565 952,7 621 779 469,1 263 020 430,330 704 509,3 193 669 439,976 067 909,603 278 852,113 113 011,1 170 839 482,1 316 716 062,1 651 891 347,1 631 962 902,20 613 609 363
