NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,  NOMBRE_DEPARTS  ,  JOURS_HOSPIT_TOTAL  ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Touriste,80, 139    , 2 282    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
2,Soins physiques et psychiatriques de courte durée,Touriste,81, 114    , 1 343    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
3,Soins physiques et psychiatriques de courte durée,Touriste,82, 8    , 23    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
4,Soins physiques et psychiatriques de courte durée,Touriste,83, 42    , 364    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
5,Soins physiques et psychiatriques de courte durée,Touriste,84, 1 133    , 6 621    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
6,Soins physiques et psychiatriques de courte durée,Touriste,85, 63    , 615    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
7,Soins physiques et psychiatriques de courte durée,Touriste,86, 1 117    , 9 029    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
8,Soins physiques et psychiatriques de courte durée,Touriste,87, 26    , 130    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
9,Soins physiques et psychiatriques de courte durée,Touriste,88, 65    , 335    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
10,Soins physiques et psychiatriques de courte durée,Touriste,91, 191    , 999    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
11,Soins physiques et psychiatriques de courte durée,Touriste,92, 2 377    , 9 815    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
12,Soins physiques et psychiatriques de courte durée,Touriste,93, 40    , 203    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
13,Soins physiques et psychiatriques de courte durée,Touriste,Autres, 5    , 24    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
