NUMEROTATION,TYPE_DE_SOINS,GROUPE_AGE,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM ,SEJ_MOY-MASC ,SEJ_MOY-TOT ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
1,"Soins physiques et psychiatriques de courte durée","NOUVEAU-NÉ",39128,41017,80145,106252,115008,221260,2.7,2.8,2.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
2,"Soins physiques et psychiatriques de courte durée","00-04 ANS",15804,21067,36872,59422,77852,137275,3.8,3.7,3.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
3,"Soins physiques et psychiatriques de courte durée","05-09 ANS",3817,4575,8392,12916,17459,30375,3.4,3.8,3.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
4,"Soins physiques et psychiatriques de courte durée","10-14 ANS",4064,3951,8015,24480,21108,45588,6.0,5.3,5.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
5,"Soins physiques et psychiatriques de courte durée","15-19 ANS",8162,5539,13701,47958,43779,91737,5.9,7.9,6.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
6,"Soins physiques et psychiatriques de courte durée","20-24 ANS",16881,6403,23284,70728,70632,141360,4.2,11.0,6.1,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
7,"Soins physiques et psychiatriques de courte durée","25-29 ANS",36560,7253,43813,116442,96667,213109,3.2,13.3,4.9,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
8,"Soins physiques et psychiatriques de courte durée","30-34 ANS",38512,7666,46179,125769,82256,208026,3.3,10.7,4.5,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
9,"Soins physiques et psychiatriques de courte durée","35-39 ANS",26311,9331,35642,104648,107093,211741,4.0,11.5,5.9,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
10,"Soins physiques et psychiatriques de courte durée","40-44 ANS",14744,9737,24481,77522,84745,162267,5.3,8.7,6.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
