NUMEROTATION,TYPE_DE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,"Soins physiques et psychiatriques de courte durée","Certaines maladies infectieuses et parasitaires (A00-B99)",7341,7260,14601,53360,56732,110092,7.3,7.8,7.5,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
2,"Soins physiques et psychiatriques de courte durée","Tumeurs (C00-D48)",26055,23337,49392,215189,222088,437277,8.3,9.5,8.9,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
3,"Soins physiques et psychiatriques de courte durée","Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89)",2903,2735,5638,20710,19155,39865,7.1,7.0,7.1,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
4,"Soins physiques et psychiatriques de courte durée","Maladies endocriniennes, nutritionnelles et métaboliques (E00-E90)",7398,5896,13294,46336,44476,90812,6.3,7.5,6.8,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
5,"Soins physiques et psychiatriques de courte durée","Troubles mentaux et du comportement (F00-F99)",24304,27061,51365,529289,701554,1230843,21.8,25.9,24.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
6,"Soins physiques et psychiatriques de courte durée","Maladies du système nerveux (G00-G99)",7580,7721,15301,131752,131223,262975,17.4,17.0,17.2,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
7,"Soins physiques et psychiatriques de courte durée","Maladies de l'oeil et de ses annexes (H00-H59)",489,575,1064,2250,2231,4481,4.6,3.9,4.2,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
8,"Soins physiques et psychiatriques de courte durée","Maladies de l'oreille et de l'apophyse mastoïde (H60-H95)",1414,1230,2644,5431,3619,9050,3.8,2.9,3.4,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
9,"Soins physiques et psychiatriques de courte durée","Maladies de l'appareil circulatoire (I00-I99)",39694,55691,95385,358662,423298,781960,9.0,7.6,8.2,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
10,"Soins physiques et psychiatriques de courte durée","Maladies de l'appareil respiratoire (J00-J99)",32386,33628,66015,226127,225012,451157,7.0,6.7,6.8,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
11,"Soins physiques et psychiatriques de courte durée","Maladies de l'appareil digestif (K00-K93)",31112,30573,61685,175961,170622,346583,5.7,5.6,5.6,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
12,"Soins physiques et psychiatriques de courte durée","Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99)",3185,3735,6920,30467,34324,64791,9.6,9.2,9.4,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
13,"Soins physiques et psychiatriques de courte durée","Maladies du système ostéo-articulaire, des muscles et du tissu conjonctif (M00-M99)",19421,16751,36172,156869,132425,289294,8.1,7.9,8.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
14,"Soins physiques et psychiatriques de courte durée","Maladies de l'appareil génito-urinaire (N00-N99)",15583,14286,29869,85773,82790,168563,5.5,5.8,5.6,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
