NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,11097029,HOPITAL JUIF DE READAPTATION,707,0,0,707,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
2,12431656,INSTITUT DE CARDIOLOGIE DE MONTREAL,8237,16,0,8253,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
3,12452645,HOPITAL MARIE CLARAC,1975,0,0,1975,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
4,12475976,HOPITAL DU SACRE-COEUR DE MONTREAL,21257,3200,46,24503,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
5,12599213,HOPITAL GENERAL DE MONTREAL,9002,6004,0,15006,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
6,12685608,HOPITAL GENERAL JUIF,23415,6597,0,30012,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
7,12730628,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,1266,138,0,1404,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
8,12745725,CENTRE HOSPITALIER DE ST. MARY,14823,8955,0,23778,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
9,12797577,INSTITUT PHILIPPE-PINEL DE MONTREAL,621,0,0,621,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
10,12934659,PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX,26787,14351,7,41145,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
11,13469796,HOPITAL MONT-SINAI,682,0,0,682,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
12,14628986,CSSS DE L'HEMATITE,300,0,0,300,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
