NUMERATEUR,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE,POURC_OBSTETRIQUE,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01       Bas-Saint-Laurent,14528,79.57,792,4.34,2937,16.09,18257,83.29,1677,7.65,1985,9.06,21919,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
2,Soins physiques et psychiatriques de courte durée,02       Saguenay - Lac-Saint-Jean,19530,73.56,1017,3.83,6003,22.61,26550,82.51,2769,8.61,2859,8.88,32178,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
3,Soins physiques et psychiatriques de courte durée,03       Capitale-Nationale,49498,69.38,4867,6.82,16982,23.80,71347,79.64,8661,9.67,9581,10.69,89589,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
4,Soins physiques et psychiatriques de courte durée,04       Mauricie et Centre-du- Québec,33375,81.20,321,0.78,7407,18.02,41103,81.59,4467,8.87,4807,9.54,50377,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
5,Soins physiques et psychiatriques de courte durée,05       Estrie,22284,76.15,1064,3.64,5915,20.21,29263,82.13,3024,8.49,3343,9.38,35630,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
6,Soins physiques et psychiatriques de courte durée,06       Montréal,125833,67.48,14509,7.78,46127,24.74,186469,75.85,28045,11.41,31325,12.74,245839,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
7,Soins physiques et psychiatriques de courte durée,07       Outaouais,15838,81.20,498,2.55,3170,16.25,19506,78.62,2485,10.02,2820,11.37,24811,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
8,Soins physiques et psychiatriques de courte durée,08       Abitibi-Témiscamingue,10362,83.04,123,0.99,1994,15.98,12479,75.60,1904,11.54,2123,12.86,16506,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
9,Soins physiques et psychiatriques de courte durée,09       Côte-Nord,5755,84.06,182,2.66,909,13.28,6846,79.21,876,10.14,921,10.66,8643,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
10,Soins physiques et psychiatriques de courte durée,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,3748,93.05,7,0.17,273,6.78,4028,85.23,339,7.17,359,7.60,4726,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
11,Soins physiques et psychiatriques de courte durée,11        Gaspésie - Îles-de-la- Madeleine,7176,79.86,430,4.79,1380,15.36,8986,87.66,598,5.83,667,6.51,10251,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
12,Soins physiques et psychiatriques de courte durée,12        Chaudière-Appalaches,20291,80.11,1092,4.31,3946,15.58,25329,79.18,3237,10.12,3425,10.71,31991,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
13,Soins physiques et psychiatriques de courte durée,13        Laval,15619,76.85,1462,7.19,3243,15.96,20324,69.76,4167,14.30,4642,15.93,29133,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
14,Soins physiques et psychiatriques de courte durée,14        Lanaudière,18665,77.28,699,2.89,4788,19.82,24152,73.56,4270,13.01,4410,13.43,32832,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
15,Soins physiques et psychiatriques de courte durée,15        Laurentides,27089,79.70,1980,5.83,4919,14.47,33988,79.87,4159,9.77,4409,10.36,42556,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
16,Soins physiques et psychiatriques de courte durée,16        Montérégie,72066,83.15,3379,3.90,11228,12.95,86673,76.88,12638,11.21,13433,11.91,112744,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
17,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,461657,75.03,32422,5.27,121221,19.70,615300,77.91,83316,10.55,91109,11.54,789725,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
18,Soins en chirurgie d'un jour ,01       Bas-Saint-Laurent,0,0.00,0,0.00,11716,100.00,11716,100.00,0,0.00,0,0.00,11716,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
19,Soins en chirurgie d'un jour ,02       Saguenay - Lac-Saint-Jean,708,3.91,153,0.85,17243,95.24,18104,99.99,0,0.00,1,0.01,18105,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
