NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,20573,8,2969,13,20,122,3,1,20,0,26,173,6,5,8,22,0,0,23969,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,9,30941,1615,27,26,253,2,7,20,4,7,27,2,7,5,29,0,0,32981,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,55,102,67651,210,63,313,15,3,40,1,28,781,12,12,27,49,0,0,69362,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,19,533,2056,50104,1872,2318,5,5,8,3,11,236,14,90,27,498,0,0,57799,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
5,Soins physiques et psychiatriques de courte durée,05--Estrie,15,27,184,641,45277,1369,7,2,5,0,10,459,23,12,20,707,0,0,48758,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
6,Soins physiques et psychiatriques de courte durée,06--Montréal,22,59,139,114,192,171629,34,10,7,3,20,31,2020,1725,442,1406,2,14,177869,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,7,6,65,26,27,1367,26542,26,2,0,9,16,17,5,393,74,0,0,28582,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,3,2,39,8,15,1694,57,15027,1,23,2,2,3,5,46,41,1,3,16972,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,110,360,2225,16,14,106,7,3,9159,0,14,43,5,4,9,17,0,0,12092,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,3,237,128,3,2,1615,27,1209,2,1652,1,1,1,1,10,8,2619,768,8287,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,772,5,2202,8,26,142,2,3,9,0,9714,52,4,12,8,16,0,0,12975,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,180,22,8659,155,340,198,2,3,16,0,12,30877,6,14,8,39,0,0,40531,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
13,Soins physiques et psychiatriques de courte durée,13--Laval,7,13,21,19,26,16414,8,7,0,0,5,9,20840,255,1296,126,0,0,39046,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,16,25,80,414,48,9217,7,7,6,1,12,13,2572,33147,2349,233,0,1,48148,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,15,35,45,48,65,10485,142,21,6,1,3,11,4204,619,40004,217,0,0,55921,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
