NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,136283,67,18521,106,123,4267,7,21,79,0,115,1025,6,42,10,124,0,0,160796,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,14,251221,11472,219,79,4945,5,12,96,6,11,87,3,13,29,217,0,2,268431,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,298,697,641317,657,167,4203,115,25,145,2,82,3355,26,18,74,128,0,1,651310,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,67,2070,13193,355291,10664,24560,34,8,84,4,64,1272,44,375,181,3053,0,0,410964,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
5,Soins physiques et psychiatriques de courte durée,05--Estrie,27,84,1163,1944,241389,4197,18,10,23,94,3,2375,2,53,85,1946,0,0,253413,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
6,Soins physiques et psychiatriques de courte durée,06--Montréal,153,438,1102,364,492,1911946,259,52,81,2,109,228,14022,9114,1889,7468,0,0,1947719,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,13,91,799,89,183,10847,235295,137,7,9,8,73,70,109,1369,208,0,1,249308,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,1,61,551,12,72,14699,254,120969,6,43,0,3,10,3,114,228,0,1,137027,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,645,2329,15716,174,155,1797,30,2,71845,1,53,126,3,73,20,42,0,0,93011,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,0,1361,827,75,104,14808,51,4547,0,8740,5,21,14,17,10,67,6572,2319,39538,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,3672,20,14986,55,153,1692,0,1,33,0,68677,427,14,36,24,170,0,0,89960,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
