NUMEROTATION,TYPE_SOINS,REGION,NBR_ACCOUCH_ET_CESARIEN,NBR_CESARIENNES,NBR_NAISS_VIVANT,NBR_MORTINAISSANC,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1 
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,1791,437,1813,9,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,2787,588,2816,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,8542,2242,8657,47,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,4686,960,4732,7,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
5,Soins physiques et psychiatriques de courte durée,05--Estrie,2952,675,3008,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
6,Soins physiques et psychiatriques de courte durée,06--Montréal,28436,7419,28732,191,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,2657,641,2676,12,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,1887,441,1901,4,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,846,172,855,3,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,346,54,347,0,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,603,169,606,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,3260,847,3272,10,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
13,Soins physiques et psychiatriques de courte durée,13--Laval,4388,886,4430,9,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,4086,779,4132,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,4210,895,4243,5,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,12799,2816,12901,30,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
17,Soins physiques et psychiatriques de courte durée,TOTAL PROVINCIAL,84276,20021,85121,348,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
