NUMEROTATION,JRS_HOSPIT,SOINS_CD-FEM,SOINS_CD-MASC,SOINS_CD-TOT,SOINS_CD-FEM_LD,SOINS_CD-MASC_LD,SOINS_CD-TOT_LD,SOINS_CH1JR-FEM,SOINS_CH1JR-MASC,SOINS_CH1JR-TOT,SOINS_PMORT-FEM,SOINS_PMORT-MASC,SOINS_PMORT-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
1,"MOINS DE 1",16005,16067,32073,0,2,2,185181,169789,354970,8,6,14,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
2,"1-2 JOURS",191148,134518,325666,1208,972,2180,0,0,0,17,29,46,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
3,"3-5 JOURS",87136,73515,160652,1330,967,2297,0,0,0,19,32,51,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
4,"6-9 JOURS",42716,43006,85722,1677,1171,2848,0,0,0,1,2,3,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
5,"10-15 JOURS",28770,27963,56733,1264,920,2184,0,0,0,0,0,0,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
6,"16-30 JOURS",27860,25582,53443,1341,1084,2425,0,0,0,0,1,1,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
7,"31-60 JOURS",14724,13154,27878,878,843,1721,0,0,0,0,0,0,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
8,"61-90 JOURS",3472,3487,6959,226,277,503,0,0,0,0,0,0,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
9,"91-200 JOURS",2017,2191,4208,205,246,451,0,0,0,0,0,0,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
10,"201-365 JOURS",220,317,537,30,52,82,0,0,0,0,0,0,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
11,"366 ET +",73,168,241,15,30,45,0,0,0,0,0,0,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
12,"TOTAL",414141,339968,754112,8174,6564,14738,185181,169789,354970,45,70,115,"Titre du rapport « S17  Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
