NUMEROTATION,JRS_HOSPIT,SOINS_CD-FEM,SOINS_CD-MASC,SOINS_CD-TOT,SOINS_CD-FEM_SP,SOINS_CD-MASC_SP,SOINS_CD-TOT_SP,SOINS_CH1JR-FEM,SOINS_CH1JR-MASC,SOINS_CH1JR-TOT,SOINS_PMORT-FEM,SOINS_PMORT-MASC,SOINS_PMORT-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1
1,MOINS DE 1,15933,14007,29942,2,3,5,199547,173532,373079,8,18,26,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,1-2 JOURS,173541,122203,295745,261,176,437,0,0,0,33,39,72,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,3-5 JOURS,114673,81001,195674,331,226,557,0,0,0,1,0,1,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,6-9 JOURS,48184,45322,93506,614,399,1013,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,10-15 JOURS,30383,28465,58848,783,495,1278,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,16-30 JOURS,28584,24710,53294,1232,808,2040,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,31-60 JOURS,16588,12993,29581,1157,760,1917,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,61-90 JOURS,4607,3721,8328,343,312,655,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,91-200 JOURS,2719,2655,5374,350,349,699,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,201-365 JOURS,352,427,779,66,104,170,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,366 ET +,87,174,261,16,36,52,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,TOTAL,435651,335678,771332,5155,3668,8823,199547,173532,373079,42,57,99,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
