NUMEROTATION,CATEGORIE_SOUS-CATEGORIE_PERSONNEL,2018-2019_SALAIRE_DE_BASE_MOYEN,2018-2019_REMUNERATION_TOTALE,2018-2019_TEMPS_SUPPLEMENTAIRES,2018-2019_PRIMES_TOTALES,2017-2018_SALAIRE_DE_BASE_MOYEN,2017-2018_REMUNERATION_TOTALE,2017-2018_TEMPS_SUPPLEMENTAIRES,2017-2018_PRIMES_TOTALES,2016-2017_SALAIRE_DE_BASE_MOYEN,2016-2017_REMUNERATION_TOTALE,2016-2017_TEMPS_SUPPLEMENTAIRES,2016-2017_PRIMES_TOTALES,2015-2016_SALAIRE_DE_BASE_MOYEN,2015-2016_REMUNERATION_TOTALE,2015-2016_TEMPS_SUPPLEMENTAIRES,2015-2016_PRIMES_TOTALES,2014-2015_SALAIRE_DE_BASE_MOYEN,2014-2015_REMUNERATION_TOTALE,2014-2015_TEMPS_SUPPLEMENTAIRES,2014-2015_PRIMES_TOTALES,2013-2014_SALAIRE_DE_BASE_MOYEN,2013-2014_REMUNERATION_TOTALE,2013-2014_TEMPS_SUPPLEMENTAIRES,2013-2014_PRIMES_TOTALES,2012-2013_SALAIRE_DE_BASE_MOYEN,2012-2013_REMUNERATION_TOTALE,2012-2013_TEMPS_SUPPLEMENTAIRES,2012-2013_PRIMES_TOTALES,2011-2012_SALAIRE_DE_BASE_MOYEN,2011-2012_REMUNERATION_TOTALE,2011-2012_TEMPS_SUPPLEMENTAIRES,2011-2012_PRIMES_TOTALES,2010-2011_SALAIRE_DE_BASE_MOYEN,2010-2011_REMUNERATION_TOTALE,2010-2011_TEMPS_SUPPLEMENTAIRES,2010-2011_PRIMES_TOTALES,2009-2010_SALAIRE_DE_BASE_MOYEN,2009-2010_REMUNERATION_TOTALE,2009-2010_TEMPS_SUPPLEMENTAIRES,2009-2010_PRIMES_TOTALES,2008-2009_SALAIRE_DE_BASE_MOYEN,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
1,11 - Infirmière,67 181,1 666 203 060,139 665 703,148 714 410,64236.9175,1 633 386 759,122 860 965,146 130 118,63219.15369,1644633134,106554355.6,146024336,62227.49261,1684090486,100388486.4,141591960.8,62128.76419,1685370564,105412560.3,140785097.8,60229.61396,1705832622,112531190.4,137222629.3,59247.98642,1687115264,120713583.8,144250598.3,58360.82394,1670942147,117826076,138171794.6,56686.03079,1624594574,117549701.1,109245523.1,55808.30974,1656926695,119310838.2,106619412.3,54735.5481,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
2,12 - Infirmière clinicienne et praticienne,76 859,1 759 411 550,103 419 178,133 073 259,75198.4624,1 613 716 802,84 443 447,120 046 810,73854.03624,1486087188,65099071.91,108288273.4,72747.81432,1364223029,53117239.59,93189537.92,72830.32394,1292279983,53073364.74,87734415.4,70919.33831,1150602116,50511407.69,72729976.3,69807.22031,1062038288,49292518.1,70781142.67,68605.44762,1004712333,47740183.21,63716232.96,66920.31683,919093210.5,40797865.17,42236077.17,66139.76304,881429116.8,40287790.28,38236989.15,64812.81739,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
3,13 - Inhalothérapeute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
4,14 - Perfusionniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
5,15 - Infirmière auxiliaire,51 556,765 514 081,62 654 347,52 732 979,49629.5118,725 327 860,50 481 471,49 937 227,48679.5825,694021025.2,39233080.55,49435491.08,46944.18427,682450996.9,31896821.57,49002379.55,46658.40016,683318578.2,34942200.33,49590736.32,44976.96232,664066098.7,33666990.37,46792611.7,44053.50503,637063231.3,36763019.87,48052042.56,43352.92397,603422869.8,35240497.62,43857313.17,41392.08986,552986648.6,31916867.4,24280799.53,41309.81219,534620761.1,30441511.77,22515315.67,40800.36715,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
6,16 - Externe en soins infirmiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
7,17 - Externe en inhalothérapie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
8,10 - Personnel en soins infirmiers et cardio-respiratoires,66 746,4 387 586 770,320 906 009,356 795 733,64296.4756,4 158 126 076,270 216 095,336 658 920,63032.53513,4003170899,222022590.5,322533816.9,61542.81133,3904564529,195420885.1,299732864.3,61238.37679,3831824714,203515426.5,293575226.7,59087.79243,3684060066,206515783.6,271014798.6,57960.40523,3544960074,216878309.3,277335711.2,57027.59766,3431481938,210130902.5,258611278,55267.85305,3239450876,199772407.8,183791272,54643.36133,3 211 671 662,200144675.5,175239410.4,53717.485,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
9,21 - Préposé aux bénéficiaires,40 551,1 289 681 224,102 751 863,110 681 587,39777.2302,1 261 943 449,80306688.14,107 930 120,39145.49054,1207199218,58401159.05,104457546.8,38553.89833,1188134750,46800098.88,92835209.7,38528.45898,1182165109,48957661.51,97026004.86,37364.47329,1158721535,49256353.66,92601356.9,36681.61457,1107256124,53689503.8,84914182.95,34838.40266,1064281714,50652474.46,77958050.27,34507.46137,1035764156,45963821.36,47084172.03,34329.62812,1013639308,46261880.36,45674582.68,33661.72889,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
10,22 - Auxiliaire familiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
11,23 - Autres paratechniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
12,24 - Services auxiliaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
13,25 - Métiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
14,20 - Personnel paratechnique  services auxiliaires et métiers,40 307,2 681 984 099,155 771 623,179 905 448,39518.9934,2 603 184 341,121562830.1,174 155 324,38874.11768,2508876420,90797682.66,167054296,38287.80009,2470269733,74605873.13,148156882.7,38271.40391,2465904006,77512147.38,153270247.9,37123.15653,2411233611,77051509.9,145862285.9,36453.93248,2330820721,80579477.26,136149123.1,35233.85192,2261221243,76916959.24,126080578.6,34764.67503,2195428979,69177744.85,90940738.92,34581.45163,2155396946,68820685.01,87761176.6,33898.85078,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
15,30 - Personnel de bureau  techniciens et professionnels de l'administration,45 090,1 600 704 330,33 895 703,36 929 810,44249.2759,1 525 289 002,32412273.77,35 225 916,43417.02588,1443876433,25707079.94,33786663.01,42610.44953,1409863170,20634327.13,30920245.45,42456.16336,1426487641,20861986.3,32753708.36,40926.85324,1381866570,21792826.29,31110211.82,39988.15215,1339303235,22351261.32,30312376.94,39145.87653,1302757174,22006136.39,28020789.83,38727.91487,1281396389,20826341.38,25810703.44,38396.86925,1256921634,23031169.74,24854815.24,37610.784,Données relatives à la rémunération selon les catégories et certaines sous-catégories de personnel,19-déc,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
