# accreditation;Nom_employeur;Adresse_employeur;Nom_association;Syndicat;Statut_arret_de_travail;Secteur_Prive_Public;Secteur_activite_economique;Code_activite_economique;Region_administrative;Nombre_de_travailleurs_touches;Nombre_de_jours_personnes_perdus_dans_annee;Debut_du_conflit;Date_de_fin;Date_expiration_derniere_convention_collective;Nombre_ jours_personnes_perdus_depuis_debut_du_conflit;Duree_jours_ouvrables_depuis_debut 
AQ20021608;Societe quebecoise du cannabis (SQDC);7500. rue Tellier.  Montreal H1N3W5;Syndicat canadien de la fonction publique. section locale 5454;FTQ;Greve;Public;Autres commerces de detail;6599;Saguenay--Lac-Saint-Jean;6;869;2022-04-28;;2021-12-22;3830;670.3
AM20011161;Centre de communication sante Estrie;1335. rue King Ouest.  Sherbrooke J1J2B8;Syndicat des RMU de l'Estrie - CSN;CSN;Greve;Prive;Services de sante et services sociaux;8689;Estrie;0;0;2022-06-17;;2020-03-31;0;695
AM20016121;SOS violence conjugale;1245. boulevard Saint-Joseph Est.  Montreal H2J1L7;Syndicat du personnel des organismes communautaires (SPOC-CSQ);CSQ;Greve;Prive;Services de sante et services sociaux;8648;Montreal;9;0;2022-07-23;2024-02-09;2020-03-31;9;1
AM20015148;Centre de communication sante de l'Outaouais CCSO;505. boulevard des Affaires.  Gatineau J8R0B2;Federation des employes du prehospitalier du Quebec (FPHQ);IND LOC;Greve;Prive;Services aux entreprises;7799;Outaouais;0;0;2023-01-26;;2022-03-31;0;492
AQ20011454;Centre de communication sante de la Mauricie et du Centre-du-Quebec;edifice 525. rue Barkoff. bureau 302 Cap-de-la-Madeleine (Quebec)  G8T 2A5  ;Fraternite des repartiteurs medicaux d'urgence du Centre de communication sante Mauricie-Coeur du Quebec;IND PRO;Greve;Prive;Services aux entreprises;7799;Mauricie;37;4070;2023-01-26;;2022-03-31;13024;352
AM10024104;Ferme St-Zotique inc.;200. chemin Saint-Thomas.  Saint-Zotique J0P1Z0;Syndicat des chauffeurs de camion de la Ferme St-Zotique - CSN;CSN;Greve;Prive;Commerces de gros de produits alimentaires. de boissons. de medicaments et de tabac;5214;Monteregie;29;0;2023-05-26;2024-02-26;2020-04-19;114;4
AM20014534;Corporation des partenaires pour les communications sante des Laurentides et Lanaudiere;1280. boulevard du Cure-Labelle.  Blainville J7C2N8;Federation des employes du prehospitalier du Quebec (FPHQ);IND LOC;Greve;Prive;Services des administrations locales;8361;Laurentides;41;4510;2023-01-26;;2022-03-31;14391;351
AM20017502;Groupe Alerte Sante inc.;440. boulevard Sainte-Foy.  Longueuil J4J5G5;Federation des employes du prehospitalier du Quebec (FPHQ);IND LOC;Greve;Prive;Services aux entreprises;7799;Monteregie;51;5067;2023-01-26;;2022-03-31;17409;343
AQ20021928;Brandt Tractor Ltd.;Hwy #1 East Case postale 3856 Regina (Saskatchewan)  S4P 3R8 ;Syndicat national des employes de garage du Quebec inc.;CSD;Greve;Prive;Commerces de gros de machines. materiel et fournitures;5721;Saguenay--Lac-Saint-Jean;11;1012;2023-05-25;;2020-12-31;2739;249
AQ10036614;Loblaws inc.. faisant affaires sous Provigo;400. avenue Sainte-Croix.  Montreal H4N3L4;Syndicat des travailleurs et travailleuses  de Presto Libre-Service de la region de Quebec (CSN);CSN;Greve et lock-out;Prive;Commerces de detail des aliments. boissons. medicaments et tabac;6011;Capitale-Nationale;24;2640;2023-06-09;;2022-10-20;6144;256
AC30000661;Les Autobus Transco (1988) inc.;8201. rue Elmslie.  Montreal H8N2W6;Syndicat des travailleuses et travailleurs de Transco - CSN;CSN;Greve;Prive;Transports;4573;Montreal;329;16121;2023-10-31;2024-03-07;2022-06-30;30197;93
AR10051627;Comite patronal de negociation des commissions  scolaires anglophones (CPNCA);1410 rue Stanley bureau 900 Montreal;Federation des employees et employes de services publics - (FEESP - CSN);CSN;Greve;Public;Services d'enseignement;8511;Montreal;2938;0;2023-11-05;2024-02-23;2023-03-31;9989;8
AC30002625;Centre d'hebergement et de soins de longue duree Cote-Jardin inc.;880.  avenue Painchaud.  Quebec G1S0A3;Syndicat quebecois des employees et employes de service. section locale 298 (FTQ);FTQ;Greve;Public;Services de sante et services sociaux;8628;Capitale-Nationale;0;0;2023-11-06;2024-02-23;;0;1
AM10013959;ecole de technologie superieure;1100. rue Notre-Dame Ouest.  Montreal H3C1K3;Association des professeurs de l'ecole de technologie superieure;CSQ;Greve;Public;Services d'enseignement;8531;Montreal;158;0;2023-11-06;2024-02-23;2019-05-31;79;1
AM10013983;College Saint-Paul;235. rue Sainte-Anne.  Varennes J3X1R6;Syndicat canadien de la fonction publique. section locale 1707;FTQ;Greve;Prive;Services d'enseignement;8511;Monteregie;45;0;2023-11-06;2024-02-23;2021-08-23;22;1
AM10014009;College Saint-Sacrement inc.;901. rue Saint-Louis.  Terrebonne J6W1K1;Syndicat des enseignantes et enseignants du College Saint-Sacrement (FNEEQ-CSN);CSN;Greve;Prive;Services d'enseignement;8511;Lanaudiere;120;0;2023-11-06;2024-02-20;2024-06-30;60;1
AM10014146;Commission scolaire Crie Crie school board;203. Main Street.  Mistissini G0W1C0;Association des employes du Nord quebecois (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Nord-du-Quebec;556;0;2023-11-06;2024-02-16;2023-03-31;4670;8
AM10014148;Commission scolaire Crie Crie school board;203. Main Street.  Mistissini G0W1C0;Syndicat des professionnelles et professionnels en milieu scolaire du Nord-Ouest (SPPMSNO-CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Nord-du-Quebec;64;0;2023-11-06;2024-02-23;2023-03-31;537;8
AM10014156;Commission scolaire Kativik;9800. boulevard Cavendish. bureau 400.  Montreal H4M2V9;Association des employes du Nord quebecois (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Montreal;565;0;2023-11-06;2024-02-23;2023-03-31;4746;8
AM10022296;Commission scolaire Crie Crie school board;203. Main Street.  Mistissini G0W1C0;Association des employes du Nord quebecois (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Nord-du-Quebec;549;0;2023-11-06;2024-02-23;2023-03-31;4611;8
AM10023226;Commission scolaire Kativik;9800. boulevard Cavendish. bureau 400.  Montreal H4M2V9;Syndicat du personnel professionnel de l'education du Nunavik et de l'Ouest de Montreal;CSQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;144;0;2023-11-06;2024-02-23;2023-03-31;1209;8
AM10028651;Placements M.G.O. inc.;5855. rue Boulard.  Laval H7B1A3;Syndicat quebecois des employees et employes de service. section locale 298 (FTQ);FTQ;Greve;Prive;Services de sante et services sociaux;8628;Laval;1;0;2023-11-06;2024-02-23;2020-03-31;4;1
AM10030250;Eastern Townships School Board;340. rue Saint-Jean-Bosco.  Magog J1X1K9;Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ);CSQ;Greve;Public;Transports;4573;Estrie;80;0;2023-11-06;2024-02-16;2023-03-31;672;8
AM10030251;Eastern Townships School Board;340. rue Saint-Jean-Bosco.  Magog J1X1K9;Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Estrie;447;0;2023-11-06;2024-02-16;2023-03-31;3754;8
AM10052233;Prodimax inc.;1050. 15e Avenue.  Laval H7R4N9;Syndicat quebecois des employees et employes de service. section locale 298 (FTQ);FTQ;Greve;Prive;Services de sante et services sociaux;8614;Laval;5;0;2023-11-06;2024-02-23;2022-12-31;5;1
AM10053678;Centre de services scolaire des Patriotes;1740. RUE Roberval.  Saint-Bruno-de-Montarville J3V3R3;Syndicat de Champlain (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Monteregie;29;0;2023-11-06;2024-02-23;;243;8
