 NO_DOSSIER,NEQ,NOM_OFFICIEL_ENTREPRISE,NOM_COMMUN_ENTREPRISE,NO_CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,BUREAU,MUNICIPALITE,PROVINCE,CODE_POSTAL
6639 0592,1166390592,9219-1568 Qu̩bec inc.,Services Aylo,7777,boulevard,,D̩carie,,bureau 600,Montr̩al,Qu̩bec,H4P 2H2
7250 4749,1172504749,Connecteurs ̩lectriques Weco inc.,,18050,route,,Transcanadienne,,,Kirkland,Qu̩bec,H9J 4A1
4605 5679,1146055679,Fabrications Fermos inc.,,6650,chemin,de la,C̫te-de-Liesse,,,Saint-Laurent,Qu̩bec,H4T 1E3
6949 7170,1169497170,Gestion Michael Kors (Canada),Michael Kors (Canada) Holding Ltd.,4600,rue,,Cousens,,,Saint-Laurent,Qu̩bec,H4S 1X3
6375 7314,1163757314,Industries Lela inc.,,8484,avenue,,de l'Esplanade,,,Montr̩al,Qu̩bec,"H2P 2R7 "
4333 4473,1143334473,Industries Lynx inc.,,175,rue,,Upper Edison,,,Saint-Lambert,Qu̩bec,J4R 2R3
4211 9594,1142119594,Les d̩veloppements Rekern inc.,,333,boulevard,,D̩carie,,5e ̩tage,Saint-Laurent,Qu̩bec,H4N 3M9
79326831,1179326831,Literie Primo inc.,,7000,rue,,Hochelaga,,,Montr̩al,Qu̩bec,H1N 1Y7
4458 5057,1144585057,M̩tal Leetwo inc.,,18025,route,,Transcanadienne,,,Kirkland,Qu̩bec,H9J 3Z4
40154056,1140154056,Produits de fils de fer Laurentian lt̩e,,10500,rue,,S̩cant,,,Saint-L̩onard,Qu̩bec,H1J 1S3
7118 4824,1171184824,Laboratoires C.O.P. inc.,,15,rue,,Jos-Montferrand,,,Gatineau,Qu̩bec,J8X 0C2
