"Annee_imposition","Genre","Age","Region_administrative","Nombre_de_particuliers","Credit_moyen"
2020,"Féminin","Moins de 40 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",30,1500.00
2020,"Féminin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",17,1323.53
2020,"Féminin","Moins de 40 ans","03 - Capitale-Nationale",32,1448.26
2020,"Féminin","Moins de 40 ans","04+17 - Mauricie + Centre-du-Québec",33,1358.27
2020,"Féminin","Moins de 40 ans","05 - Estrie",28,1517.86
2020,"Féminin","Moins de 40 ans","06 - Montréal",417,1391.88
2020,"Féminin","Moins de 40 ans","07 - Outaouais",25,1267.56
2020,"Féminin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",35,1375.00
2020,"Féminin","Moins de 40 ans","12 - Chaudière-Appalaches",19,1513.16
2020,"Féminin","Moins de 40 ans","13 - Laval",137,1439.59
2020,"Féminin","Moins de 40 ans","14 - Lanaudière",69,1340.58
2020,"Féminin","Moins de 40 ans","15 - Laurentides",62,1330.65
2020,"Féminin","Moins de 40 ans","16 - Montérégie",172,1406.84
2020,"Féminin","40 à 54 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",256,1437.99
2020,"Féminin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",126,1398.81
2020,"Féminin","40 à 54 ans","03 - Capitale-Nationale",339,1397.79
2020,"Féminin","40 à 54 ans","04+17 - Mauricie + Centre-du-Québec",256,1405.47
2020,"Féminin","40 à 54 ans","05 - Estrie",191,1377.62
2020,"Féminin","40 à 54 ans","06 - Montréal",2125,1484.82
2020,"Féminin","40 à 54 ans","07 - Outaouais",289,1420.85
2020,"Féminin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",180,1465.28
2020,"Féminin","40 à 54 ans","12 - Chaudière-Appalaches",153,1433.42
2020,"Féminin","40 à 54 ans","13 - Laval",776,1441.54
2020,"Féminin","40 à 54 ans","14 - Lanaudière",581,1417.81
2020,"Féminin","40 à 54 ans","15 - Laurentides",462,1398.96
2020,"Féminin","40 à 54 ans","16 - Montérégie",1201,1486.79
2020,"Féminin","55 à 64 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",246,1392.28
2020,"Féminin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",145,1312.15
2020,"Féminin","55 à 64 ans","03 - Capitale-Nationale",284,1335.83
2020,"Féminin","55 à 64 ans","04+17 - Mauricie + Centre-du-Québec",264,1377.84
2020,"Féminin","55 à 64 ans","05 - Estrie",223,1314.46
2020,"Féminin","55 à 64 ans","06 - Montréal",1315,1381.07
2020,"Féminin","55 à 64 ans","07 - Outaouais",230,1364.93
2020,"Féminin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",164,1297.91
2020,"Féminin","55 à 64 ans","12 - Chaudière-Appalaches",162,1346.45
2020,"Féminin","55 à 64 ans","13 - Laval",431,1367.46
2020,"Féminin","55 à 64 ans","14 - Lanaudière",404,1323.90
2020,"Féminin","55 à 64 ans","15 - Laurentides",393,1317.85
2020,"Féminin","55 à 64 ans","16 - Montérégie",828,1357.01
2020,"Féminin","65 ans et plus","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",69,1286.23
2020,"Féminin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",46,1304.35
2020,"Féminin","65 ans et plus","03 - Capitale-Nationale",84,1351.40
2020,"Féminin","65 ans et plus","04+17 - Mauricie + Centre-du-Québec",99,1287.88
2020,"Féminin","65 ans et plus","05 - Estrie",62,1310.48
2020,"Féminin","65 ans et plus","06 - Montréal",481,1273.40
2020,"Féminin","65 ans et plus","07 - Outaouais",59,1271.19
2020,"Féminin","65 ans et plus","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",42,1250.00
2020,"Féminin","65 ans et plus","12 - Chaudière-Appalaches",36,1232.64
2020,"Féminin","65 ans et plus","13 - Laval",124,1280.24
2020,"Féminin","65 ans et plus","14 - Lanaudière",103,1286.41
2020,"Féminin","65 ans et plus","15 - Laurentides",122,1308.06
2020,"Féminin","65 ans et plus","16 - Montérégie",243,1310.38
2020,"Masculin","Moins de 40 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",51,1409.31
