ï»¿Annee,Montant_mensuel_SEH,Montant_annuel_SEH,Montant_mensuel_SEHNSE_palier_1,Montant_annuel_SEHNSE_palier_1,Montant_mensuel_SEHNSE_palier_2,Montant_annuel_SEHNSE_palier_2
2005,121,1452,,,,
2006,161.5,1938,,,,
2007,165,1980,,,,
2008,167,2004,,,,
2009,171,2052,,,,
2010,172,2064,,,,
2011,174,2088,,,,
2012,179,2148,,,,
2013,183,2196,,,,
2014,185,2220,,,,
2015,187,2244,,,,
2016,189,2268,947,11364,,
2017,190,2280,954,11448,,
2018,192,2304,962,11544,,
2019,195,2340,978,11736,,
2020,198,2376,995,11940,663,7956
2021,200,2400,1008,12096,671,8052
