ï»¿Annee,Nombre_de_garcons_AF,Nombre_de_filles_AF,Nombre_denfants_AF,Nombre_moyen_denfants_AF,Nombre_de_garcon_SEH,Nombre_de_filles_SEH,Nombre_denfants_SEH,Nombre_moyen_denfants_SEH
1974,1024419,960890,1985309,2.2,,,,
1975,1017820,954700,1972520,2.1,,,,
1980,914603,851040,1765643,1.8,2791,2175,4966,1.0
1985,848949,784812,1633761,1.7,8113,6095,14208,1.0
1990,847997,794211,1642208,1.7,15886,11171,27057,1.1
1995,855685,808334,1664019,1.7,15289,10717,26006,1.0
1996,848004,917639,1765643,1.8,14469,-9503,4966,1.0
1997,616668,583594,1200262,1.8,14224,9800,24024,1.0
1998,605822,574125,1179947,1.8,14543,9864,24407,1.0
1999,577624,548361,1125985,1.8,15203,10098,25301,1.1
2000,537651,510048,1047699,1.8,15832,10266,26098,1.1
2001,506378,482642,989020,1.8,16344,10350,26694,1.1
2002,491360,467953,959313,1.8,16880,10456,27336,1.1
2003,471130,447340,918470,1.8,17905,10681,28586,1.1
2004,458208,435072,893280,1.8,19053,10921,29974,1.1
2005,764144,730422,1494566,1.7,20306,11235,31541,1.1
2006,763584,731077,1494661,1.7,21408,11475,32883,1.1
2007,759428,727570,1486998,1.7,22100,11531,33631,1.1
2008,759749,727850,1487599,1.7,22971,11731,34702,1.1
2009,753473,721865,1475338,1.7,23708,11946,35654,1.0
2010,752431,721244,1473675,1.7,24230,12066,36296,1.0
2011,752597,721914,1474511,1.7,25127,12408,37535,1.0
2012,753704,722033,1475737,1.7,25521,12515,38036,1.0
2013,755504,722912,1478416,1.7,25846,12806,38652,1.0
2014,758287,725850,1484138,1.7,26066,12724,38790,1.0
2015,759955,726578,1486533,1.7,26622,12918,39540,1.0
2016,767711,732804,1500514,1.7,27029,13194,40223,1.0
2017,774316,738643,1512959,1.7,27934,13569,41503,1.0
2018,782455,747639,1530094,1.7,28858,14042,42900,1.0
2019,785119,750185,1535304,1.7,29116,14334,43450,1.0
2020,788549,753462,1542011,1.7,28998,15092,44090,1.0
