ï»¿Annee,Maximum_supplement_monoparental,Maximum_annuel_1er_enfant,Maximum_annuel_2e_enfant,Maximum_annuel_3e_enfant,Maximum_annuel_4e_enfant,Minimum_supplement_monoparental,Minimum_annuel_1er_enfant,Minimum_annuel_2e_enfant,Seuil_de_reduction_famille_biparentale,Seuil_de_reduction_famille_monoparentale,Taux_de_reduction
2005,700,2000,1000,1000,1500,280,561,517,42800,31600,4
2006,717,2049,1024,1024,1536,287,575,530,43094,31680,4
2007,732,2091,1045,1045,1567,293,587,541,43437,31832,4
2008,741,2116,1058,1058,1586,297,594,548,43654,31984,4
2009,758,2166,1083,1083,1623,304,608,561,44599,32696,4
2010,762,2176,1088,1088,1631,305,611,564,44788,32856,4
2011,772,2204,1102,1102,1652,309,619,571,44788,32856,4
2012,793,2263,1131,1131,1696,317,635,586,45152,32856,4
2013,813,2319,1159,1159,1738,325,651,601,46251,33608,4
2014,821,2341,1170,1170,1755,328,657,607,46699,33944,4
2015,830,2366,1182,1182,1774,331,664,613,47196,34280,4
2016,839,2392,1195,1195,1793,335,671,620,47665,34656,4
2017,845,2410,1204,1204,1806,337,676,625,47868,34824,4
2018,852,2430,1214,1214,1821,340,682,630,48246,35096,4
2019,867,2 472,1 735,1 735,1 852,346,694,641,49 044,35 680,4
2020,882,2 515,2 515,2 515,2 515,352,1 000,1 000,49 842,36 256,4
2021,893,2 547,2 547,2 547,2 547,356,1 013,1 013,50 521,36 728,4
