ï»¿Revenu_familial,Montant_allocation_famille_biparentale_dun_enfant,Montant_allocation_famille_biparentale_de_2_enfants,Montant_allocation_famille_biparentale_de_3_enfants,Montant_allocation_famille_biparentale_de_4_enfants,Montant_allocation_famille_monoparentale_dun_enfant,Montant_allocation_famille_monoparentale_de_2_enfants,Montant_allocation_famille_monoparentale_de_3_enfants,Montant_allocation_famille_monoparentale_de_4_enfants
30 000$_et_moins,2515,5030,7545,10060,3397,5912,8427,10942
30000,2515,5030,7545,10060,3397,5912,8427,10942
40000,2515,5030,7545,10060,3247,5762,8277,10792
50000,2509,5024,7539,10054,2847,5362,7877,10392
60000,2109,4624,7139,9654,2447,4962,7477,9992
70000,1709,4224,6739,9254,2047,4562,7077,9592
80000,1309,3824,6339,8854,1647,4162,6677,9192
90000,1000,3424,5939,8454,1352,3762,6277,8792
100000,1000,3024,5539,8054,1352,3362,5877,8392
125000,1000,2024,4539,7054,1352,2362,4877,7392
150000,1000,2000,3539,6054,1352,2352,3877,6392
175000,1000,2000,3000,5054,1352,2352,3352,5392
