ï»¿Sexe,Annees,Nombre_de_beneficiaires_de_la_rente_de_retraite,Nombre_de_beneficiaires_de_la_rente_de_conjoint_survivant,Nombre_de_beneficiaires_de_la_rente_dorphelin,Nombre_de_beneficiaires_de_la_rente_dinvalidite,Nombre_de_beneficiaires_de_la_rente_denfant_de_personne_invalide,Nombre_de_beneficiaires_de_la_rente_de_retraite_et_de_la_rente_de_conjoint_survivant ,Nombre_de_beneficiaires_de_la_rente_dinvalidite_et_de_la_rente_de_conjoint_survivant,Nombre_de_beneficiaires_dune_rente_du_RRQ_et_du_RPC,Nombre de beneficiaires
H,1968,8579,,1630,s.o.,s.o.,,s.o.,,10209
H,1969,19604,,4368,s.o.,s.o.,,s.o.,,23972
H,1970,36073,3,7452,396,245,,-1,,44168
H,1971,47227,8,10724,1729,889,,-2,,60575
H,1972,54556,6,13017,2899,1360,,-1,,71837
H,1973,65793,14,15402,4795,2022,,-7,,88019
H,1974,75884,19,17428,6737,2577,-2,-11,,102632
H,1975,86674,1240,19334,8410,3141,-214,-19,,118566
H,1976,107907,2001,20847,10640,3709,-404,-34,,144666
H,1977,131665,2668,21931,13317,4420,-650,-56,,173295
H,1978,145306,3295,22474,14662,4652,-868,-62,,189459
H,1979,157982,4033,22441,16276,4781,-1102,-75,,204336
H,1980,169523,4851,22524,17534,4731,-1390,-85,-22,217710
H,1981,180269,5739,22254,19252,4918,-1701,-103,-28,230656
H,1982,190899,6707,21861,21737,5266,-2067,-135,-36,244304
H,1983,201240,7633,21336,23644,5486,-2465,-171,-45,256748
H,1984,232437,8718,20659,27645,5915,-3267,-146,-58,292019
H,1985,254618,9851,20033,30272,6047,-3943,-191,-81,316768
H,1986,273472,11051,19287,31464,5968,-4715,-227,-95,336395
H,1987,289781,12240,18362,32345,5783,-5505,-249,-131,352888
H,1988,305032,13580,17688,32216,5444,-6398,-274,-151,367439
H,1989,318998,15076,17169,31509,5037,-7231,-308,-169,380419
H,1990,335811,16167,16940,31207,4854,8188,333,179,396637
H,1991,351416,17492,16912,30905,4870,9166,336,205,412298
H,1992,367743,18966,16828,30211,4702,10215,362,223,428096
H,1993,382258,20535,16766,30009,4639,11309,384,243,442757
H,1994,398343,22154,16380,30232,4651,12391,446,266,459189
H,1995,420015,23319,15668,30526,4566,13500,465,279,480408
H,1996,438396,25443,15159,31315,4476,14485,486,304,500122
H,1997,451476,27119,14476,31293,4371,16005,520,323,512533
H,1998,461885,28633,13766,31819,4222,17088,543,332,523026
H,1999,472548,30420,13131,32001,4097,18330,571,364,533660
H,2000,484637,32286,12477,32672,4049,19717,580,392,546216
H,2001,497845,34048,10260,33421,3629,21072,582,423,557972
H,2002,512340,36139,10123,33807,3676,22650,631,426,573230
H,2003,528812,38175,9944,34653,3743,24213,660,434,590888
H,2004,546405,40231,9743,35603,3907,25927,699,467,609730
H,2005,565258,42045,9637,35999,3951,27577,691,498,629120
H,2006,588212,44019,9436,36784,4062,29537,679,524,652821
H,2007,611760,45866,9202,36452,4061,31408,691,546,675788
H,2008,635749,47700,8891,36570,4034,33271,666,565,699572
H,2009,661823,49638,8538,36507,4011,35279,669,585,725154
H,2010,687064,51889,8119,36525,3941,37574,676,618,749906
H,2011,712168,54038,7743,36028,3784,39790,708,639,773902
H,2012,736648,56345,7338,35690,3747,42307,714,657,797404
H,2013,758352,58539,7031,34403,3639,44672,706,673,817259
H,2014,801655,60721,6721,32649,3381,47366,670,714,857805
H,2015,831634,63019,6576,32250,3368,50049,640,741,886899
H,2016,858774,65237,6380,31491,3406,52527,604,784,912 941
H,2017,884639,67495,6345,30694,3439,55071,558,794,937 777
H,2018,905103,69872,6326,29958,3402,57683,522,816,957 272
H,2019,925741,72092,6210,28873,3396,60119,476,832,976 549
H,2020,940911,74544,6197,27567,3 334,62650,467,846,990 282
F,1968,1826,2022,1438,s.o.,s.o.,-1,s.o.,,5285
F,1969,4411,6186,3965,s.o.,s.o.,-6,s.o.,,14556
F,1970,8481,11765,6689,49,194,-38,,,27140
F,1971,12019,18200,9591,234,770,-90,-5,,40719
F,1972,15104,24495,11658,428,1182,-192,-15,,52660
F,1973,19630,32229,13956,773,1795,-376,-25,,67982
F,1974,24082,40216,15920,1214,2405,-690,-40,,83107
F,1975,28920,48413,17904,1694,2891,-1057,-75,,98690
F,1976,36594,57742,19440,2315,3408,-1737,-120,,117642
F,1977,45524,67015,20355,3003,3986,-2798,-179,,136906
F,1978,52714,76427,20712,3407,4159,-3888,-226,,153305
F,1979,59951,85723,20828,3951,4388,-5256,-282,,169303
F,1980,67516,95404,20850,4503,4383,-6967,-349,-221,185561
F,1981,75303,105324,20612,5120,4627,-8950,-420,-280,201896
F,1982,83295,115267,20120,6028,4962,-11230,-495,-342,218289
F,1983,91715,125179,19755,6776,5162,-13731,-586,-419,234689
F,1984,120286,135554,19483,8136,5618,-19414,-447,-498,269714
F,1985,140316,146256,18934,9304,5882,-24584,-534,-613,296187
F,1986,159809,156712,18552,10241,5857,-30054,-622,-734,321229
F,1987,175693,166622,17950,10917,5639,-35222,-666,-970,341903
F,1988,191279,176794,17555,11173,5322,-40491,-713,-1139,362058
F,1989,207880,186685,17204,11552,4965,-46994,-766,-1273,381799
F,1990,226607,196243,16977,11879,4791,53603,836,1457,403515
F,1991,248710,205298,16886,12373,4857,64158,843,1622,424745
F,1992,266569,214439,16943,12534,4782,70261,870,1752,445888
F,1993,283405,222878,16935,13105,4668,76095,922,1877,465851
F,1994,306867,232058,16420,13895,4690,83302,1053,2003,491578
F,1995,334724,239339,15739,14850,4492,90926,1163,2128,519183
F,1996,365315,247311,15219,15921,4389,98088,1250,2260,551077
F,1997,389153,254326,14571,16930,4258,105283,1326,2367,574996
F,1998,409242,260788,13815,18048,4153,111753,1375,2477,595395
F,1999,429729,266724,13270,19002,3989,118105,1382,2576,615803
F,2000,451106,271690,12573,20543,3932,124043,1433,2665,637033
