ï»¿Annee,Rente_de_retraite_payable_65a,Rente_invd_part_unif,Rente_invd_total,Rente_conj_surv_av_55a_n_invd_av_45_a_sans_enf_part_unif,Rente_conj_surv_av_55a_n_invd_av_45a_sans_enf_total,Rente_conj_surv_av_55a_n_invd_av_45a_av_enf_part_unif,Rente_conj_surv_av_55a_n_invd_av_45a_av_enf_total,Rente_conj_surv_av_55a_n_invd_45_54a_part_unif,Rente_conj_surv_av_55a_n_invd_45_54a_total,Rente_conj_surv_av_55a_invd_part_unif,Rente_conj_surv_av_55a_invd_total,Rente_conj_surv_55_64a_part_unif,Rente_conj_surv_55_64a_total,Rente_conj_surv_a_partir_65a,Rente_orphelin,Rente_enfant_de_personne_invalide,Prestation_deces
1967,19.97,,,,,,,,,,,,,,,,
1968,30.58,,,25.5,64.82,25.5,64.82,25.5,64.82,25.5,64.82,25.5,64.82,62.92,25.5,25.5,510
1969,41.62,,,26.01,65.85,26.01,65.85,26.01,65.85,26.01,65.85,26.01,65.85,63.75,26.01,26.01,520
1970,53.26,26.53,106.43,26.53,67.15,26.53,67.15,26.53,67.15,26.53,67.15,26.53,67.15,65,26.53,26.53,530
1971,65.33,27.06,109.88,27.06,68.47,27.06,68.47,27.06,68.47,27.06,68.47,27.06,68.47,66.25,27.06,27.06,540
1972,77.81,27.6,111.98,27.6,69.79,27.6,69.79,27.6,69.79,27.6,69.79,27.6,69.79,67.5,27.6,27.6,550
1973,92.36,80,167.5,80,123.75,80,123.75,80,123.75,80,123.75,80,123.75,70,28.43,28.43,590
1974,111.46,86.56,180.31,86.56,133.44,86.56,133.44,86.56,133.44,86.56,133.44,86.56,133.44,75,29,29,660
1975,137.04,95.56,199.2,95.56,147.38,95.56,147.38,95.56,147.38,95.56,147.38,95.56,147.38,82.91,29,29,740
1976,154.86,106.26,222.41,106.26,164.33,106.26,164.33,106.26,164.33,106.26,164.33,106.26,164.33,92.92,29,29,830
1977,173.61,114.96,245.17,114.96,180.06,114.96,180.06,114.96,180.06,114.96,180.06,114.96,180.06,104.17,29,29,930
1978,194.44,123.56,269.39,123.56,196.48,123.56,196.48,123.56,196.48,123.56,196.48,123.56,196.48,116.66,29,29,1040
1979,218.06,134.64,298.19,134.64,216.41,134.64,216.41,134.64,216.41,134.64,216.41,134.64,216.41,130.84,29,29,1170
1980,244.44,146.78,330.11,146.78,238.45,146.78,238.45,146.78,238.45,146.78,238.45,146.78,238.45,146.66,29,29,1310
1981,274.31,161.31,367.04,161.31,264.18,161.31,264.18,161.31,264.18,161.31,264.18,161.31,264.18,164.59,29,29,1470
