ï»¿Sexe,Annee,Rente_mens_moy_versee_nouv_benef_rente_de_retraite,Rente_mens_moy_versee_nouv_benef_conjoint_survivant,Rente_mens_moy_versee_nouv_benef_rente_invalidite,Rente_mens_moy_versee_nouv_benef_rente_retr_et_conjt_surv,Rente_mens_moy_versee_nouv_benef_rente_invd_et_conjt_surv
H,1968,13.78,s.o.,s.o.,,s.o.
H,1969,21.39,27,s.o.,37.87,s.o.
H,1970,31.62,46.48,88.62,,104.74
H,1971,39.38,46.73,95.54,,113.21
H,1972,44.63,33.53,97.01,,112.5
H,1973,57.14,76.56,147.36,,151.49
H,1974,70.58,58.57,160.27,25.47,179.82
H,1975,89.64,96.29,176.95,90.35,180.67
H,1976,116.72,102.22,197.1,116.19,199.71
H,1977,137.65,112.75,218.74,136.09,216.31
H,1978,150.54,117.11,243.98,152.15,242.17
H,1979,170.81,130.92,271.64,177.55,266.17
H,1980,191.69,144.15,300.41,193.47,301.11
H,1981,216.3,163.29,333.38,224.63,322.71
H,1982,242.76,175.26,377.14,253.19,375.38
H,1983,273.29,189.76,417.5,286.63,428.15
H,1984,284.92,224.07,448.19,437.31,473.75
H,1985,302.02,233.05,485.81,434.55,547.76
H,1986,347.99,243.15,522.23,471.8,595.48
H,1987,379.02,258.51,560.92,516.96,634.63
H,1988,392.47,266.15,588.49,534.25,673.59
H,1989,392.93,262.06,613.4,550.89,699.78
H,1990,386.41,264.73,635.75,567.98,760.61
H,1991,418.23,273.69,661.53,595.97,774.56
H,1992,435.13,258.6,699.59,642.28,810.45
H,1993,454.98,253.89,704.19,646.5,831.97
H,1994,448.82,290.93,714.16,668.37,921.85
H,1995,411.74,285.44,718.48,687.54,926.39
H,1996,435.38,290.78,716.31,690.79,937.33
H,1997,458.08,278.22,748.3,693.74,959.97
H,1998,460.14,275.8,753.88,708.96,957.23
H,1999,456.71,281.56,754.66,711.61,982.24
H,2000,459.04,279.13,758.14,722.89,960.91
H,2001,465.38,270.42,767.92,722.33,962.88
H,2002,469.92,279.21,785.05,750.22,986.06
H,2003,475.44,284.42,783.74,754.54,1032.81
H,2004,475.22,274.18,789.17,771.08,1005.28
H,2005,479.36,271.23,793.14,778.8,1038.34
H,2006,485.829,268.07,811.69,797.5,1054.13
H,2007,497.03,266.22,828.4,809.87,1050.82
H,2008,507.54,279.84,841.56,819.68,1070.97
H,2009,519.21,269.95,863.48,833.21,1092.38
H,2010,530.25,272.01,867.9,836,1104.41
H,2011,544.76,270.21,881.87,848.32,1139.86
H,2012,548.8,250.97,897.82,864.49,1148.21
H,2013,563.03,260.61,918.95,870.92,1182.08
H,2014,572.4906669,268.37,929.91,906.53,1145.61
H,2015,565.89,266.6,947.93,907.62,1193.27
H,2016,560.86,266.23,946.83,914.25,1191.58
H,2017,568.48,265.62,964.52,917.07,1208.75
H,2018,572.28,258.25,980.6,921.38,1232.77
H,2019,587.65,261.93,1004.88,932.57,1226.59
H,2020,609.31,248.84,1034.03,934.07,1303.21
F,1968,11.75,58.64,s.o.,,s.o.
F,1969,17.01,58.49,s.o.,60.36,s.o.
F,1970,23.86,57.9,77.71,62.93,
F,1971,29.78,58.65,86.14,67.3,107.46
F,1972,33.01,58.8,86.49,66.37,113.89
F,1973,41.6,102.9,136.87,72.59,136.67
F,1974,51.81,109.26,145.42,81.21,141.89
F,1975,62.64,119.32,158.95,93.47,159.19
F,1976,84.04,130.34,178.25,115.09,180.72
F,1977,97.49,139.4,195.97,127.09,194.9
F,1978,103.24,150.42,217.61,137.52,217.57
F,1979,113.54,162.73,241.74,155.47,236.65
F,1980,124.08,175.95,268.29,171,266.28
F,1981,137.34,191.93,294.48,191.03,291.75
F,1982,150.81,211.67,331.58,213.41,333.56
F,1983,166.99,231.65,368.15,241.61,372.01
F,1984,155.35,267.43,390.65,414.56,440.81
F,1985,159.03,277.58,426.88,404.15,510.95
F,1986,170.4,287.66,452.46,414.1,555.09
F,1987,203.44,299.92,482.99,450.09,592.52
F,1988,214.01,310.18,503.15,475.86,634.25
F,1989,201.84,318.35,528.12,453.73,677.27
F,1990,196.09,328.82,551.75,478.35,712.7
F,1991,185.74,341.66,575.84,423.31,745.03
F,1992,229.66,335.47,605.6,564.59,763.45
F,1993,240.42,341.54,613.09,570.47,784.39
F,1994,237.8,364.37,610.91,546.6,865.68
F,1995,218.29,362.42,617.07,529.91,870.63
F,1996,212.91,366.95,623.5,578.35,883.1
F,1997,251.32,369.19,641.19,587.9,877.4
F,1998,255.01,373.48,643.13,597.8,895.77
F,1999,256.53,374.95,645.86,601.56,925.3
F,2000,261.04,381.94,648.57,609.92,928.91
F,2001,270.74,387.94,664.11,619.22,908.74
F,2002,280.6,393.54,681.81,646.49,935.59
F,2003,290.74,395.92,677.24,653.02,948.73
F,2004,296.54,406.33,702.04,664.89,969.79
F,2005,308.16,405.33,705.42,666.69,960.35
F,2006,316.742,409.86,721.12,687.64,986.36
F,2007,328.72,412.62,740.29,693.14,986.98
F,2008,345.5,423.03,755.03,704.38,987.2
F,2009,358.93,430.4,770.46,715.1,1013.03
F,2010,372.96,429.48,780.61,720.79,1027.63
F,2011,389.24,435.34,797.27,730.86,1043.06
F,2012,401.05,440.54,823.07,749.19,1058.97
F,2013,414.46,447.35,836.84,754.45,1073.85
F,2014,437.8805968,449.253601,851.7572974,788.94,1106.883112
F,2015,439.18,449.14,873.23,787.95,1129.03
F,2016,439.18,450.57,881.55,791.09,1136.63
F,2017,450.37,448.62,891.21,801.21,1142.46
F,2018,458.77,452.23,910.48,810.76,1199.28
F,2019,471.44,451.22,933.08,819.92,1218.2
F,2020,486.21,454.26,967.06,830.53,1242.65
