ï»¿Annee,Nombre_de_nouveaux_cotisants_ages_de_18_ans,Nombre_de_nouveaux_cotisants_ages_de_19_ans,Nombre_de_nouveaux_cotisants_ages_de_20_ans,Nombre_de_nouveaux_cotisants_ages_de_21_ans,Nombre_de_nouveaux_cotisants_ages_de_22_ans,Nombre_de_nouveaux_cotisants_ages_de_23_ans,Nombre_de_nouveaux_cotisants_ages_de_24_ans,Nombre_de_nouveaux_cotisants_ages_de_25_ans_et_plus,Nombre_de_nouveaux_cotisants
1966,57113,72541,78451,75280,73700,69859,65092,1456491,1948527
1967,58404,24843,19217,15243,10922,9268,8130,121840,267867
1968,53265,20598,12441,9783,7198,5500,5188,75781,189754
1969,53453,24803,14213,9671,6690,5223,4163,64163,182379
1970,52763,23534,14834,9625,6092,4603,3787,54601,169839
1971,56500,27162,16063,10450,6128,4111,3460,50002,173876
1972,68556,32441,19149,11966,7361,4910,3833,56811,205027
1973,74653,30000,16704,10665,7113,5152,4029,56177,204493
1974,80272,29876,15544,9870,6883,4970,3820,55586,206821
1975,83532,27504,11860,8110,5590,4495,3577,54136,198804
1976,81228,27633,10628,6540,4635,3717,3211,46416,184008
1977,77915,27247,10500,5583,3763,2893,2347,37393,167641
1978,77903,29466,11348,6214,3728,2748,2195,35768,169370
1979,75475,27632,11664,6109,3566,2575,1957,31010,159988
1980,68869,25121,10920,6301,3766,2696,1975,31612,151260
1981,66288,26291,12139,6428,4252,2996,2294,32760,153448
1982,48414,16764,8760,4756,2866,2069,1609,21547,106785
1983,43671,23810,13613,7505,4035,2630,1949,20021,117234
1984,43313,24240,18918,10617,5844,3355,2299,22060,130646
1985,41861,20233,16538,11582,6614,4001,2656,21981,125466
1986,43187,18840,15115,11298,7885,5046,3312,25909,130592
1987,48279,20310,15736,11873,8706,6521,4604,33550,149579
1988,50398,19552,13620,9964,7490,5723,4607,33161,144515
1989,50145,18277,11804,8336,6039,4818,4037,36086,139542
1990,44073,15874,9593,6556,4706,3753,3253,32764,120572
1991,39115,13755,7729,5023,3753,2986,2391,27791,102543
1992,35248,14221,8149,5048,3640,2871,2292,25030,96499
1993,33880,15024,9808,5853,3944,3075,2361,24178,98123
1994,34265,17549,12107,7815,4824,3461,2615,24702,107338
1995,33529,17451,13156,8724,5553,3903,2877,24826,110019
1996,31448,17020,12658,8680,5875,3991,2875,24287,106834
1997,34695,19633,14677,10208,7027,5002,3492,27416,122150
1998,41167,23654,17654,12403,8425,6036,4427,32604,146370
1999,45945,22885,17811,11788,8055,5797,4404,33181,149866
2000,47190,22061,15842,10925,7375,5593,4306,37059,150351
2001,48111,21046,13399,8819,6362,4932,3984,37491,144144
2002,50201,20009,11409,7590,5610,4485,3734,43129,146167
2003,50047,19465,10143,6596,4847,4014,3386,40632,139130
2004,49757,19052,9551,6104,4483,3657,3327,42241,138172
2005,50152,18796,9543,5974,4193,3789,3303,42791,138541
2006,52703,18968,9352,5978,4254,3705,3351,45726,144037
2007,56615,19769,8781,5724,4386,3751,3353,44988,147367
2008,61238,21162,8651,5370,4339,3766,3484,47471,155481
2009,57933,19228,7303,4484,3539,3228,3166,43669,142550
2010,57842,21203,8957,5107,3905,3598,3420,48449,152481
2011,55848,21032,9446,5697,4337,3863,3672,50529,154424
2012,54124,19859,8828,5885,4592,3912,3712,51035,151947
2013,52525,19272,8332,5479,4371,3927,3599,49335,146840
2014,51902,17842,8476,5356,4415,3794,3708,46939,142432
2015,50499,16432,8457,5683,4565,4013,3788,45868,139305
2016,50952,15514,9203,6281,4959,4330,4099,49863,145201
2017,53194,15843,9668,6868,5699,5089,4815,60931,162107
2018,55683,14855,9339,7068,5956,5924,5583,74347,178755
