PERIODE,MO,NTLP,NHPLP,NHRT,NHAT,NPALP
2011,"Affaires municipales, Régions et Occupation du territoire",2,203,1058406,"713,75",3
2011,"Agriculture, Pêcheries et Alimentation",29,"4301,32",2663362,"588,25",34
2011,Assemblée nationale,10,488,1004343,0,6
2011,Bureau d'audiences publiques sur l'environnement,0,0,61506,0,0
2011,Centre de services partagés du Québec,12,2044,3042534,"2070,88",19
2011,Commissaire au lobbyisme,0,0,43194,0,0
2011,Commission administrative des régimes de retraite et d'assurances,1,"12,15",1162117,70,2
2011,Commission d'accès à l'information,1,0,88278,0,0
2011,Commission de la fonction publique,1,"76,25",52959,0,1
2011,Commission de l'équité salariale,0,0,102344,0,0
2011,Commission de protection du territoire agricole du Québec,0,0,136743,0,1
2011,Commission des droits de la personne et des droits de la jeunesse,2,1372,230671,108,1
2011,Commission des lésions professionnelles,3,19,467201,0,2
2011,Commission des normes du travail,0,0,718628,0,0
2011,Commission des relations du travail,0,0,119053,0,0
2011,Commission des transports du Québec,0,0,182772,0,0
2011,Conseil de gestion de l'assurance parentale,0,0,19492,0,0
2011,Conseil du statut de la femme,0,0,59228,0,1
2011,Conseil exécutif,4,1512,795982,0,1
2011,Conseil supérieur de la langue française,0,0,15905,0,0
2011,Culture et Communications,3,21,752366,0,2
2011,Curateur public,4,287,976819,0,3
2011,"Développement durable, Environnement, Faune et Parcs",20,2190,2729789,2135,64
2011,Directeur des poursuites criminelles et pénales,4,"1585,5",421411,"1172,5",8
2011,Directeur général des élections,3,1194,356880,0,3
2011,"Éducation, Loisir et Sport",5,"776,08",2172738,0,5
2011,Emploi et Solidarité sociale,46,14438,9640449,1036,64
2011,"Enseignement supérieur, Recherche, Science et Technologie",3,182,1212831,0,0
2011,Famille,2,1544,637619,0,2
2011,Finances et Économie,3,0,1409510,0,4
2011,Immigration et Communautés culturelles,9,1551,1779769,0,6
2011,Institut de la statistique du Québec,3,1624,554704,0,3
2011,Institut de tourisme et d'hôtellerie du Québec,0,"1356,25",411125,"74,5",3
2011,Justice,19,"4821,68",4425733,"505,7",27
2011,La Financière agricole du Québec,4,"570,3",980912,0,8
2011,Office de la protection du consommateur,0,0,154569,0,0
2011,Office des personnes handicapées du Québec,1,56,195647,0,1
2011,Office des professions du Québec,0,0,74581,0,0
2011,Office québécois de la langue française,0,0,304882,0,0
2011,Protecteur du citoyen,1,11,220898,0,1
2011,Régie de l'assurance maladie du Québec,0,0,2338427,0,3
2011,Régie des rentes du Québec,1,0,1722685,126,7
2011,Régie du bâtiment du Québec,4,"1844,5",669044,945,7
2011,"Relations internationales, Francophonie et Commerce extérieur",1,7,542252,0,0
2011,Ressources naturelles,93,"7809,17",6647863,"11247,3",82
2011,Santé et Services sociaux,2,147,1043169,0,1
2011,Secrétariat du Conseil du trésor,1,"277,5",1066045,0,1
2011,Sécurité publique,244,53288,8437493,37712,284
2011,Société de l'assurance automobile du Québec,51,12293,"5811517,44",1900,67
2011,Société d'habitation du Québec,1,2009,567846,84,3
2011,Sûreté du Québec,331,"64953,5","14928492,65",11658,395
2011,Transports,206,23433,10042182,12824,242
2011,Travail,0,0,207017,0,0
2011,Tribunal administratif du Québec,0,0,258265,0,0
2011,Vérificateur général,0,0,367593,0,0
2012,"Affaires municipales, Régions et Occupation du territoire",5,707,1043809,0,4
2012,"Agriculture, Pêcheries et Alimentation",24,"4140,68",2642755,968,31
2012,Assemblée nationale,12,"841,66",986383,84,7
2012,Bureau d'audiences publiques sur l'environnement,0,0,62931,0,1
2012,Centre de services partagés du Québec,24,"3426,23",3138071,1986,35
2012,Commissaire au lobbyisme,0,0,45239,0,0
2012,Commission administrative des régimes de retraite et d'assurances,2,"23,05",1268263,0,0
2012,Commission d'accès à l'information,0,0,88859,0,0
2012,Commission de la fonction publique,1,0,54226,0,2
2012,Commission de l'équité salariale,1,210,130803,0,1
2012,Commission de protection du territoire agricole du Québec,0,0,131020,0,0
2012,Commission des droits de la personne et des droits de la jeunesse,2,1407,223165,420,2
2012,Commission des lésions professionnelles,1,14,486318,0,2
2012,Commission des normes du travail,3,"193,5",764862,0,6
2012,Commission des relations du travail,0,0,128726,0,0
2012,Commission des transports du Québec,0,0,183476,0,0
2012,Conseil de gestion de l'assurance parentale,0,0,15748,0,0
2012,Conseil du statut de la femme,1,"5,5",60458,0,1
