SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_TYPE,BEN_NOM,BEN_ADRESSE,BEN_ADRESSE2,BEN_MUNICIPALITE,BEN_CODE_POSTAL,BEN_RADM,SUB_NOM,SUB_VOLET,SUB_SOUS-VOLET,SUB_DATE,SUB_TYPE,SUB_DESCRIPTION,SUB_DOMAINE,SUB_SOUS-DOMAINE,SUB_VALEUR
SUB_SODEC_MA,539.00,SODEC,Public,Entreprise,1001 pots inc.,"2435, rue de l'Église",,Val-David,J0T2N0,Laurentides,Artisans et entreprises des métiers d'art 2023,"Projets collectifs, événements commercialisation 2023",,2022-06-09,Subvention,1001 pots 2022,Métiers d'art et marché de l'art,Diffusion,40 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9016-1191 Québec inc. (Quai des Brumes),"4479, rue Saint-Denis",,Montréal,H2J2L2,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Quai des Brumes,Musique et variétés,Diffusion - Salles,48 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Corporation culturelle de Brome-Missisquoi,"331, chemin Brosseau",,Cowansville,J2K0B4,Montérégie,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Théâtre des Tournesols,Musique et variétés,Diffusion - Salles,25 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Resto Bière au Menu inc. (Le BAM),"71, montée Gagnon",,Bois-des-Filion,J6Z4H3,Laurentides,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Bière au Menu,Musique et variétés,Diffusion - Salles,39 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Rendez-Vous M.O.S. Montréal,"6524, rue Saint-Hubert",,Montréal,H2S2M3,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Ausgang Plaza,Musique et variétés,Diffusion - Salles,30 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,La Petite Boîte Noire,"58, rue Meadow",,Sherbrooke,J1H1M8,Estrie,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,La Petite Boîte Noire,Musique et variétés,Diffusion - Salles,20 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9180-8923 Québec inc. (Le Balcon),"463, rue Sainte-Catherine Ouest",,Montréal,H3B1B1,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Balcon,Musique et variétés,Diffusion - Salles,75 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Création Le Pantoum,"76, rue Saint-Vallier Ouest",bureau 1,Québec,G1K1J6,Capitale-Nationale,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Création Le Pantoum,Musique et variétés,Diffusion - Salles,100 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Gestion Rosylan inc. (Le Calypso),"3812, rue d'Auteuil",,Saguenay,G7X0C2,Saguenay-Lac-Saint-Jean,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Calypso,Musique et variétés,Diffusion - Salles,70 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Club grands espaces Gaspésie inc. (Sea Shack),"292, boulevard Perron Est",,Sainte-Anne-des-Monts,G4V2A7,Gaspésie-Îles-de-la-Madeleine,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Sea Shack,Musique et variétés,Diffusion - Salles,28 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Brasserie À la Source de la Martinière inc.,"201, rue De Lanaudière",,Québec,G1L4H2,Capitale-Nationale,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Brasserie À la Source de la Martiniere inc.,Musique et variétés,Diffusion - Salles,75 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Coopérative de solidarité Paradis,"274, rue Michaud",,Rimouski,G5L6A2,Bas-Saint-Laurent,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Coopérative de solidarité Paradis,Musique et variétés,Diffusion - Salles,60 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Coopérative des travailleurs et travailleuses du Café-Campus,"57, rue Prince-Arthur Est",,Montréal,H2X1B4,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Petit Campus,Musique et variétés,Diffusion - Salles,55 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Corporation du Théâtre Saint-Eustache inc. (Le Zénith),"305, avenue Mathers",,Saint-Eustache,J7P4C1,Laurentides,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Zénith Promutuel Assurance,Musique et variétés,Diffusion - Salles,70 000
