Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,5117,2418,23746,91409,136416,20429,58140,46.286368924,195.28455174
Situation familiale,Couples sans enfants,1487,1052,3552,9576,9546,355,4886,53.445873863,213.58273193
Situation familiale,Familles monoparentales,1292,899,6479,27478,3552,2832,11758,37.845439897,119.1489204
Situation familiale,Couples avec enfants,3017,2395,7433,10810,10762,1057,8513,40.854348229,112.92193584
Situation familiale,Conjoint d'étudiant,3,146,134,229,142,33,211,37.859838275,53.735849057
Sexe,Hommes,5768,2741,19555,0,160418,13404,45661,45.419965341,178.40854518
Sexe,Femmes,5148,4169,21789,139502,0,11302,37847,45.524107181,187.15121647
Âge,Moins de 20 ans,287,153,225,1986,2429,4415,4296,18.61608154,11.959682899
Âge,De 20 à 24 ans,971,577,1303,9316,10975,20291,8709,22.163717904,37.676802523
Âge,De 25 à 29 ans,1488,618,1912,11836,13074,0,10296,27.033962264,65.069650743
Âge,De 30 à 34 ans,2021,904,2740,12088,13478,0,10209,32.044942502,91.857154033
Âge,De 35 à 39 ans,2077,1022,3710,13246,15570,0,10239,37.046050805,124.5259925
Âge,De 40 à 44 ans,1444,847,4346,13272,15252,0,8742,41.975985135,160.55335858
Âge,De 45 à 49 ans,904,535,5330,13659,16159,0,7550,47.093098129,198.60943055
Âge,De 50 à 54 ans,584,400,6080,17689,21112,0,7875,52.149222958,239.72340919
Âge,55 ans et plus,1140,1854,15698,46410,52369,0,15592,59.929610545,268.7787384
Âge,35 ans et moins,5218,2475,6867,37769,42921,24706,35589,27.480121452,66.847911761
Âge,36 ans et plus,5698,4435,34477,101733,117497,0,47919,52.089189436,225.0328559
Scolarité,Primaire,79,995,4269,10370,11708,2487,4521,46.638508923,222.24304738
Scolarité,Secondaire I à IV,99,700,8980,49737,62592,11060,28929,44.060714508,199.25287326
Scolarité,Secondaire V,172,725,8687,29594,32291,2333,18408,47.655635453,177.13979155
