Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,142396,154709,61479,216188,105757579.22,91714,48874,1808,0,0
Programme,Programme de solidarité sociale,122835,129184,7876,137060,125228465.55,0,0,0,120512,2323
Situation familiale,Personnes seules,218070,218070,0,218070,185921259.04,70928,34073,0,110746,2323
Situation familiale,Couples sans enfants,8997,17994,0,17994,10730465.198,2037,991,1317,4652,0
Situation familiale,Familles monoparentales,28263,28263,47515,75778,23043059.757,12297,12573,0,3393,0
Situation familiale,Couples avec enfants,9665,19330,21840,41170,11228859.859,6279,1198,491,1697,0
Situation familiale,Conjoint d'étudiant,236,236,0,236,62400.919996,173,39,0,24,0
Type de résidence,Locataire,112596,125152,44775,169927,97056513.585,41720,25116,1132,44628,0
Type de résidence,Locataire HLM ou coopérative,33543,36579,15366,51945,29593044.285,8504,8053,296,16690,0
Type de résidence,Chambreur ou pensionnaire,104200,105872,7051,112923,92371605.959,36718,13177,206,54099,0
Type de résidence,Temporairement sans adresse,3398,3408,11,3419,2725945.6297,2149,451,0,798,0
Type de résidence,Propriété,8106,9494,2152,11646,6921408.2783,1558,2077,174,4297,0
Type de résidence,En hébergement,3388,3388,0,3388,2317527.0397,1065,0,0,0,2323
Région,01 - Bas-Saint-Laurent,6370,6786,974,7760,5739478.1891,1449,1120,29,3769,3
Région,02 - Saguenay - Lac-St-Jean,8827,9319,1433,10752,7775636.8489,2641,1684,52,4447,3
Région,03 - Capitale-Nationale,16833,17584,2937,20521,14605585.498,4907,3071,74,8767,14
Région,04 - Mauricie,12283,12973,2844,15817,10748514.019,4332,2365,65,5506,15
Région,05 - Estrie,11353,12096,2704,14800,10150771.939,3498,2052,61,5717,25
Région,06 - Île-de-Montréal,84432,92806,29112,121918,72867460.327,38112,15829,739,29727,25
Région,07 - Outaouais,12743,13545,3965,17510,10962476.409,4549,2552,73,5566,3
Région,08 - Abitibi-Témiscamingue,4102,4326,843,5169,3576986.5795,1223,763,16,2098,2
Région,09 - Côte-Nord,2158,2256,425,2681,1887260.9497,620,426,6,1105,1
Région,10 - Nord-du-Québec,988,1047,358,1405,789189.94994,516,155,1,316,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3553,3838,582,4420,3230412.2595,804,640,34,2075,0
Région,12 - Chaudières-Appalaches,8479,8890,1424,10314,7561682.6789,2087,1386,41,4960,5
Région,13 - Laval,9142,9984,2541,12525,8250578.8891,2716,1879,170,4376,1
Région,14 - Lanaudière,13632,14483,3658,18141,11772127.788,4355,2940,104,6222,11
Région,15 - Laurentides,16040,16915,3677,20592,13820168.678,5028,3414,96,7494,8
Région,16 - Montérégie,38404,40630,10018,50648,33612192.726,12144,7073,214,18947,26
Région,17 - Centre-du-Québec,8194,8634,1839,10473,7175136.4689,2726,1524,33,3901,10
Région,99 - Central,7698,7781,21,7802,6460384.5796,7,1,0,5519,2171
Clientèle supplémentée,Allocations_aide_emploi,3319,3408,2734,6142,2511031.3198,2645,166,0,503,5
Clientèle supplémentée,Allocations_soutien,2826,2826,301,3127,2906688.5197,738,26,0,2058,4
Clientèle supplémentée,Revenus_travail,11767,11849,5026,16875,8430447.6775,5257,2805,186,3516,3
Clientèle supplémentée,Prestations_assurance_emploi,484,486,146,632,271034.74995,181,172,4,127,0
Clientèle supplémentée,Contribution_parentale,92,92,0,92,43563.199998,56,36,0,0,0
Clientèle supplémentée,Pension_alimentaire,8755,8760,14550,23310,6792639.8686,3541,3650,20,1543,1
Clientèle supplémentée,RRQ_invalidite,11902,11926,602,12528,4678434.5556,0,0,0,11893,9
Clientèle supplémentée,RRQ_retraite,33089,33707,1365,35072,27430165.755,53,15620,759,16398,259
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12099,11908,1875,13783,9520238.1174,1678,1752,145,8507,17
Clientèle supplémentée,Total_distinct,76955,78310,23735,102045,58014994.117,13174,22043,928,40513,297
