Caracteristique,Valeur,Fin_prest_assurance_emploi,Perte_emp_sans_assurance_emploi,Prest_assurance_emploi_insuffi,Perte_du_conjoint,Fin_etudes_temps_complet,Revenus_insuffisants,Attente_revenus,Autres_raison
Programme,Programme d'aide sociale,759,1085,487,247,247,2587,56,735
Programme,Programme de solidarité sociale,43,47,33,20,12,258,3,161
Programme,Programme inconnu,0,1,0,1,0,0,0,0
Type d'allocation,Prestation de base (incluant les hébergés),496,868,373,122,198,2121,24,589
Type d'allocation,Alloc. pour contraintes temporaires,259,212,111,124,48,444,31,140
Type d'allocation,Alloc. mixte (2 adultes avec cont. tempo.),4,5,3,1,1,22,1,6
Type d'allocation,Alloc. de solidarité sociale,43,47,32,20,11,256,3,153
Type d'allocation,Prestations de base Hébergés,0,0,1,0,1,2,0,8
Type d'allocation,Inconnu,0,1,0,1,0,0,0,0
Situation familiale,Personnes seules,634,934,434,142,185,2042,47,778
Situation familiale,Couples sans enfants,19,17,8,1,3,121,4,22
Situation familiale,Familles monoparentales,115,148,57,125,60,384,7,46
Situation familiale,Couples avec enfants,32,33,21,0,9,293,1,40
Situation familiale,Conjoint d'étudiant,2,1,0,0,2,5,0,10
Type de résidence,Locataire,468,592,300,135,126,813,32,250
Type de résidence,Locataire HLM ou coopérative,55,52,29,10,33,85,5,32
Type de résidence,Chambreur ou pensionnaire,235,429,166,109,93,1820,19,453
Type de résidence,Temporairement sans adresse,4,10,8,3,2,52,1,72
Type de résidence,Propriété,36,40,11,9,3,55,1,18
Type de résidence,En hébergement,4,10,6,2,2,20,1,71
Région,01 - Bas-Saint-Laurent,25,41,12,4,9,32,5,21
Région,02 - Saguenay - Lac-St-Jean,27,54,15,9,22,58,3,32
Région,03 - Capitale-Nationale,53,69,29,15,19,113,5,96
Région,04 - Mauricie,32,65,20,12,17,81,2,33
Région,05 - Estrie,32,72,31,14,15,70,3,48
Région,06 - Île-de-Montréal,241,266,140,57,100,1679,13,263
Région,07 - Outaouais,45,46,44,15,8,102,1,43
Région,08 - Abitibi-Témiscamingue,15,17,13,12,3,24,0,21
Région,09 - Côte-Nord,11,17,10,5,1,17,1,13
Région,10 - Nord-du-Québec,4,8,3,0,0,15,0,8
Région,11 - Gaspésie - Îles-de-la-Madeleine,13,16,4,4,2,21,4,14
Région,12 - Chaudières-Appalaches,23,31,25,8,3,67,5,25
Région,13 - Laval,30,34,17,1,3,100,1,18
Région,14 - Lanaudière,54,68,38,16,13,87,4,43
Région,15 - Laurentides,58,92,29,31,18,60,1,78
Région,16 - Montérégie,110,183,80,52,18,235,9,102
Région,17 - Centre-du-Québec,29,52,10,13,8,39,2,19
Région,99 - Central,0,2,0,0,0,45,0,19
