Caracteristique,Valeur,Fin_prest_assurance_emploi,Perte_emp_sans_assurance_emploi,Prest_assurance_emploi_insuffi,Perte_du_conjoint,Fin_etudes_temps_complet,Revenus_insuffisants,Attente_revenus,Autres_raison
Programme,Programme d'aide sociale,824,945,478,246,267,2272,51,724
Programme,Programme de solidarité sociale,32,42,29,16,10,260,8,147
Programme,Programme inconnu,0,0,1,0,0,5,0,1
Type d'allocation,Prestation de base (incluant les hébergés),583,765,373,100,209,1874,28,556
Type d'allocation,Alloc. pour contraintes temporaires,235,173,104,145,58,385,21,161
Type d'allocation,Alloc. mixte (2 adultes avec cont. tempo.),6,7,1,1,0,13,2,7
Type d'allocation,Alloc. de solidarité sociale,32,42,29,16,9,256,8,141
Type d'allocation,Prestations de base Hébergés,0,0,0,0,1,4,0,6
Type d'allocation,Inconnu,0,0,1,0,0,5,0,1
Situation familiale,Personnes seules,693,811,406,116,197,1877,49,767
Situation familiale,Couples sans enfants,21,16,5,4,3,117,5,17
Situation familiale,Familles monoparentales,125,124,70,142,67,297,5,49
Situation familiale,Couples avec enfants,16,35,27,0,7,239,0,25
Situation familiale,Conjoint d'étudiant,1,1,0,0,3,7,0,14
Type de résidence,Locataire,505,521,270,108,167,820,27,251
Type de résidence,Locataire HLM ou coopérative,45,44,32,16,20,74,2,36
Type de résidence,Chambreur ou pensionnaire,255,375,182,131,85,1507,23,419
Type de résidence,Temporairement sans adresse,4,8,6,2,0,60,0,62
Type de résidence,Propriété,42,30,9,4,2,49,6,17
Type de résidence,En hébergement,5,9,9,1,3,27,1,87
Région,01 - Bas-Saint-Laurent,29,21,6,5,9,61,1,25
Région,02 - Saguenay - Lac-St-Jean,44,42,14,15,17,62,7,24
Région,03 - Capitale-Nationale,55,80,39,16,25,96,2,83
Région,04 - Mauricie,35,39,26,14,16,90,2,33
Région,05 - Estrie,36,59,26,10,19,74,4,28
Région,06 - Île-de-Montréal,202,261,146,43,81,1400,12,261
Région,07 - Outaouais,37,47,41,19,6,99,4,35
Région,08 - Abitibi-Témiscamingue,14,22,9,5,6,17,2,24
Région,09 - Côte-Nord,20,6,2,4,4,10,2,13
Région,10 - Nord-du-Québec,2,8,2,2,2,17,0,5
Région,11 - Gaspésie - Îles-de-la-Madeleine,21,6,4,3,2,21,1,16
Région,12 - Chaudières-Appalaches,24,25,29,14,6,63,2,34
Région,13 - Laval,28,40,13,8,10,61,2,29
Région,14 - Lanaudière,48,55,22,20,14,84,6,30
Région,15 - Laurentides,87,62,29,29,12,69,2,81
Région,16 - Montérégie,140,166,73,49,34,205,6,119
Région,17 - Centre-du-Québec,34,48,25,5,13,57,4,20
Région,99 - Central,0,0,2,1,1,51,0,12
