ï»¿Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,71677,8508,339,0,25367,1148,6250,1873,14114,38698,68341,9526,42618,45.16528555,148.57587421
Situation familiale,Couples sans enfants,4726,259,38,0,3681,62,1601,766,2156,4387,4379,253,3281,52.53559206,160.59228839
Situation familiale,Familles monoparentales,10820,1302,11630,1310,713,135,1246,819,5427,23095,2815,2602,10727,37.052335006,110.14241606
Situation familiale,Couples avec enfants,13956,326,577,467,1018,42,3288,1730,5589,8207,8179,773,7139,40.523556695,103.69406811
Situation familiale,Conjoint d'Ã©tudiant,194,8,18,12,7,0,0,95,94,161,78,15,133,37.263598326,57.426778243
Sexe,Hommes,60112,4815,876,219,17193,577,6731,1979,12386,0,83792,6163,34264,44.569648654,138.98288619
Sexe,Femmes,41261,5588,11726,1570,13593,810,5654,3304,14994,74548,0,7006,29634,42.836092182,137.25595589
Ãge,Moins de 20 ans,1013,239,349,0,0,6,414,65,51,936,671,1607,1543,18.635967642,10.397013068
Ãge,De 20 Ã  24 ans,8240,834,2438,14,0,36,1315,431,663,6070,5492,11562,6796,22.26336274,32.489621173
Ãge,De 25 Ã  29 ans,11496,1184,3470,84,0,50,1791,470,1252,8497,7787,0,9085,27.083394743,52.150454434
Ãge,De 30 Ã  34 ans,12526,1103,2834,221,0,64,2278,661,1805,8472,8276,0,8922,32.004239312,71.900823979
Ãge,De 35 Ã  39 ans,14306,1291,2062,410,0,102,2207,787,2638,8866,9305,0,8778,37.026305652,98.85141159
Ãge,De 40 Ã  44 ans,14002,1427,1091,467,0,153,1598,618,3071,8192,8948,0,7339,41.956651109,128.29556593
Ãge,De 45 Ã  49 ans,13761,1381,289,328,0,267,1038,414,3614,7186,8840,0,5937,47.046549357,163.51241732
Ãge,De 50 Ã  54 ans,15598,1756,58,218,1,409,598,320,4032,7702,10338,0,5595,52.063359202,196.26042129
Ãge,55 ans et plus,10431,1188,11,47,30785,300,1146,1517,10254,18627,24135,0,9903,60.296571723,216.91787101
Ãge,35 ans et moins,36043,3605,9572,393,0,174,6274,1803,4206,25768,24019,13169,28155,27.916926105,55.309578806
Ãge,36 ans et plus,65330,6798,3030,1396,30786,1213,6111,3480,23174,48780,59773,0,35743,51.016784428,176.17304911
ScolaritÃ©,Primaire,5630,450,596,74,2851,58,35,774,2967,4769,4890,950,2637,46.468785589,177.19091003
ScolaritÃ©,Secondaire I Ã  IV,43261,4118,5998,702,10080,649,48,515,6178,28488,36320,7235,22318,41.64490495,165.11163745
