Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,67503,9316,316,0,24584,1051,7145,1932,13454,36932,65838,9018,40472,45.184732899,149.48580325
Situation familiale,Couples sans enfants,4458,202,34,0,3640,54,1766,838,2018,4192,4196,234,3108,52.931926562,156.16618979
Situation familiale,Familles monoparentales,10166,1349,10543,1268,671,118,1294,805,5043,21533,2582,2321,9666,37.186896123,110.90064275
Situation familiale,Couples avec enfants,12949,310,460,428,962,41,3505,1552,5020,7593,7557,668,6706,40.720132013,102.78719472
Situation familiale,Conjoint d'étudiant,167,10,13,10,4,0,2,68,81,136,68,19,108,36.519607843,63.897058824
Sexe,Hommes,56528,5426,718,218,16815,536,7386,1899,11506,0,80241,5842,32788,44.648770579,139.90013833
Sexe,Femmes,38715,5761,10648,1488,13046,728,6326,3296,14110,70386,0,6418,27272,42.992754241,137.69046401
Âge,Moins de 20 ans,1188,224,328,0,0,3,454,93,78,974,769,1743,1694,18.54962708,8.1216293746
Âge,De 20 à 24 ans,7450,890,2139,7,0,31,1461,377,609,5444,5073,10517,6478,22.257678045,31.648378815
Âge,De 25 à 29 ans,10841,1227,3064,73,0,43,1966,410,1065,7858,7390,0,8425,27.09293022,53.079682581
Âge,De 30 à 34 ans,11896,1278,2650,208,0,46,2336,588,1680,8058,8020,0,8378,31.987996019,71.950740142
Âge,De 35 à 39 ans,13443,1407,1896,394,0,98,2361,775,2332,8474,8764,0,8224,37.042928414,97.951270449
Âge,De 40 à 44 ans,13493,1519,961,440,0,163,1779,624,2854,7772,8804,0,7064,41.952944015,127.58403716
Âge,De 45 à 49 ans,12855,1469,265,323,0,235,1198,396,3268,6808,8339,0,5607,47.013798112,161.87647719
Âge,De 50 à 54 ans,14209,1864,51,203,0,362,742,297,3853,7104,9585,0,4950,52.051051591,197.16418
Âge,55 ans et plus,9868,1309,12,58,29861,283,1415,1635,9877,17894,23497,0,9240,60.403517673,218.84685076
Âge,35 ans et moins,33927,3853,8613,362,0,145,6715,1612,3833,24058,22842,12260,26624,27.927974414,55.468592751
Âge,36 ans et plus,61316,7334,2753,1344,29861,1119,6997,3583,21783,46328,57399,0,33436,51.08532976,176.57631089
Scolarité,Primaire,5179,477,556,67,2665,52,34,708,2822,4405,4591,834,2483,46.524232992,177.25222321
Scolarité,Secondaire I à IV,40109,4560,5476,666,9814,584,31,488,5864,26579,34630,6428,20497,41.917087356,168.23692594
Scolarité,Secondaire V,19112,3282,2125,441,7475,317,60,481,5486,15330,17422,1212,12088,46.281051539,151.95218613
Scolarité,Collégiale,5564,1194,612,129,2096,107,24,181,2292,4687,5015,197,3914,46.926200783,131.75128839
Scolarité,Universitaire,4733,669,364,101,2242,47,79,736,3687,3729,4427,22,3414,49.344654242,114.16993624
Scolarité,Inconnue,20546,1005,2233,302,5569,157,13484,2601,5465,15656,14156,3567,17664,41.962464779,61.682342681
Diplôme maximum obtenu,Aucun diplôme,49676,5573,6393,843,14887,692,110,1441,11412,34722,43342,7566,25347,43.145982783,168.47494364
Diplôme maximum obtenu,Secondaire - DES,12589,2387,1548,289,4135,232,14,237,2649,10153,11027,922,8337,44.875306893,141.49858357
Diplôme maximum obtenu,Secondaire - DEP,3751,707,420,77,1386,62,1,21,593,2744,3659,93,2524,46.958300797,165.17647978
Diplôme maximum obtenu,Secondaire - ASP,343,50,27,9,153,6,0,1,52,209,379,5,205,48.100340136,189.61394558
Diplôme maximum obtenu,Collégial - AEC,1047,271,105,32,394,27,2,24,403,918,958,9,849,47.456823028,127.04530917
Diplôme maximum obtenu,Collégial - DEC général,777,188,62,9,327,12,0,10,265,618,757,21,530,47.746181818,134.64436364
Diplôme maximum obtenu,Collégial - DEC professionnel,1190,286,114,29,473,19,3,34,433,1056,1055,17,884,48.10516343,119.78635718
Diplôme maximum obtenu,Universitaire - Certificat,425,64,27,3,206,4,0,12,272,358,371,0,271,50.22085048,130.21536351
Diplôme maximum obtenu,Universitaire - Baccalauréat,1864,277,158,44,898,23,18,278,1453,1570,1694,7,1402,49.318321078,105.53860294
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,547,69,41,9,213,2,8,90,524,372,509,0,403,49.358683314,89.286038593
Diplôme maximum obtenu,Inconnu,23034,1315,2471,362,6789,185,13556,3047,7560,17666,16490,3620,19308,42.858794941,70.409708397
Durée cumulative,Premier mois,604,63,54,3,44,5,264,108,74,371,402,271,773,32.891332471,0.9987063389
Durée cumulative,De 2 à 5 mois,4346,603,503,6,347,20,2762,419,424,2677,3148,1666,5825,33.544206009,3.7974248927
Durée cumulative,De 6 à 11 mois,6558,985,1008,20,648,25,5415,466,542,4535,4709,2037,9244,35.452617914,8.3288619645
Durée cumulative,De 12 à 23 mois,7052,1113,1486,57,1051,30,3969,1134,947,5385,5404,2116,10789,36.495968116,17.066920011
Durée cumulative,De 24 à 47 mois,11099,1597,2327,107,2101,88,1181,2544,2532,8621,8698,3520,8194,37.527801836,35.209538657
