Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,75204,9057,369,0,25620,1205,5456,1973,14718,39925,71530,10612,45003,44.914997084,146.36000179
Situation familiale,Couples sans enfants,4974,269,40,0,3737,58,1561,708,2281,4534,4544,234,3471,52.465741353,161.84434898
Situation familiale,Familles monoparentales,12028,1396,11295,1337,729,139,1215,862,5682,23949,2975,2740,11077,37.007465458,110.0798544
Situation familiale,Couples avec enfants,15188,358,593,472,1043,54,3157,2100,5997,8867,8841,967,7762,40.183589338,101.96272871
Situation familiale,Conjoint d'étudiant,265,12,10,13,10,0,1,137,99,199,111,30,193,37.029032258,51.816129032
Sexe,Hommes,63716,5239,844,216,17368,618,6103,2238,13073,0,88001,7003,36532,44.273462802,136.43205191
Sexe,Femmes,43943,5853,11463,1606,13771,838,5287,3542,15704,77474,0,7580,30974,42.667411002,136.31707412
Âge,Moins de 20 ans,1344,236,370,0,0,4,334,96,73,1083,871,1954,1876,18.679119754,12.044524053
Âge,De 20 à 24 ans,9216,831,2527,16,0,39,1113,527,762,6497,6132,12629,7329,22.236123208,32.475809644
Âge,De 25 à 29 ans,12367,1164,3336,78,0,57,1595,538,1372,8759,8243,0,9447,27.08587225,51.925244089
Âge,De 30 à 34 ans,13286,1183,2796,241,0,62,2127,780,2001,8894,8674,0,9313,32.033754554,71.978995902
Âge,De 35 à 39 ans,15171,1393,1955,439,0,109,2139,904,2785,9202,9865,0,9230,37.026537998,98.808307547
Âge,De 40 à 44 ans,14620,1489,1007,424,0,164,1484,704,3277,8409,9295,0,7677,41.948655671,128.36839132
Âge,De 45 à 49 ans,14475,1483,258,360,0,261,918,469,3849,7512,9325,0,6276,47.049177407,161.90348637
Âge,De 50 à 54 ans,16440,1997,48,213,0,431,582,336,4211,8119,11010,0,6038,52.062313764,194.97490721
Âge,55 ans et plus,10740,1316,10,51,31139,329,1098,1426,10447,18999,24586,0,10320,60.213628542,215.07165309
Âge,35 ans et moins,39129,3667,9474,412,0,178,5601,2135,4710,27045,25815,14583,29823,27.815872115,55.052648505
Âge,36 ans et plus,68530,7425,2833,1410,31139,1278,5789,3645,24067,50429,62186,0,37683,50.893548817,174.55137415
Scolarité,Primaire,6080,459,569,72,2960,55,58,847,3087,4972,5223,1046,2861,46.218930848,174.22707209
Scolarité,Secondaire I à IV,46643,4412,5933,729,10151,676,79,629,6506,29931,38613,8421,24182,41.26140873,160.91700222
Scolarité,Secondaire V,23072,3358,2367,469,7856,386,138,627,6291,17640,19868,1678,15279,45.698117735,144.68326757
Scolarité,Collégiale,6765,1167,657,126,2158,112,42,288,2551,5322,5663,291,4798,46.292398726,125.72708239
Scolarité,Universitaire,5941,690,409,97,2489,56,156,1016,4193,4398,5284,50,4421,48.541003925,108.0650692
Scolarité,Inconnue,19158,1006,2372,329,5525,171,10917,2373,6149,15211,13350,3097,15965,42.357025314,66.764749133
Diplôme maximum obtenu,Aucun diplôme,58248,5453,6948,913,15730,806,254,1827,12783,39363,48735,9869,30343,42.546607187,161.45302958
Diplôme maximum obtenu,Secondaire - DES,14884,2408,1658,293,4345,263,20,281,2986,11475,12376,1221,10251,44.42274957,135.15248837
Diplôme maximum obtenu,Secondaire - DEP,4584,731,482,94,1342,88,3,31,651,3181,4140,186,3131,46.126212266,155.84605928
