clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assistance sociale,Région,01 - Bas-Saint-Laurent,2067,2729,3621,5237
Individu - clientèle de l`assistance sociale,Région,02 - Saguenay - Lac-St-Jean,3924,5211,7995,11087
Individu - clientèle de l`assistance sociale,Région,03 - Capitale-Nationale,6333,8376,10987,15450
Individu - clientèle de l`assistance sociale,Région,04 - Mauricie,4065,5453,7335,10408
Individu - clientèle de l`assistance sociale,Région,05 - Estrie,3838,5099,6363,9108
Individu - clientèle de l`assistance sociale,Région,06 - Île-de-Montréal,23872,31971,39688,56119
Individu - clientèle de l`assistance sociale,Région,07 - Outaouais,5097,6344,9365,12304
Individu - clientèle de l`assistance sociale,Région,08 - Abitibi-Témiscamingue,1849,2707,3005,4756
Individu - clientèle de l`assistance sociale,Région,09 - Côte-Nord,989,1324,1900,2596
Individu - clientèle de l`assistance sociale,Région,10 - Nord-du-Québec,254,314,474,609
Individu - clientèle de l`assistance sociale,Région,11 - Gaspésie - Îles-de-la-Madeleine,1566,2128,2818,4076
Individu - clientèle de l`assistance sociale,Région,12 - Chaudière-Appalaches,3334,4300,5064,7070
Individu - clientèle de l`assistance sociale,Région,13 - Laval,3811,4875,6121,8440
Individu - clientèle de l`assistance sociale,Région,14 - Lanaudière,5374,6801,8873,12041
Individu - clientèle de l`assistance sociale,Région,15 - Laurentides,7134,8727,14353,18461
Individu - clientèle de l`assistance sociale,Région,16 - Montérégie,14018,17601,21903,29180
Individu - clientèle de l`assistance sociale,Région,17 - Centre-du-Québec,2933,3879,5190,7566
Individu - clientèle de l`assistance sociale,Sexe,Femme,39104,51056,68374,96271
Individu - clientèle de l`assistance sociale,Sexe,Homme,50293,64508,86681,118237
Individu - clientèle de l`assistance sociale,Groupe d'âge,Moins de 20 ans,6097,9356,10846,16431
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 20 à 24 ans,15792,21869,28113,40771
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 25 à 29 ans,13454,17825,23081,31452
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 30 à 34 ans,12451,16628,21142,28981
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 35 à 39 ans,11164,14971,18947,26106
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 40 à 44 ans,9418,12501,15788,21542
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 45 à 49 ans,8265,11064,13495,18401
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 50 à 54 ans,8006,10377,12920,17036
Individu - clientèle de l`assistance sociale,Groupe d'âge,55 ans et plus,6626,8255,10723,13788
Individu - clientèle de l`assistance sociale,Groupe d'âge,35 ans et moins,49226,64699,87382,123432
Individu - clientèle de l`assistance sociale,Groupe d'âge,36 ans et plus,40411,51750,67673,91076
Individu - clientèle de l`assistance sociale,Famille monoparentale,Oui,12120,15670,20934,29299
Individu - clientèle de l`assistance sociale,Famille monoparentale,Non,77625,100623,134082,185142
Individu - clientèle de l`assistance sociale,Famille monoparentale,Inconnue,39,67,39,67
Individu - clientèle de l`assistance sociale,Scolarité,Primaire,4852,6565,8025,11661
Individu - clientèle de l`assistance sociale,Scolarité,Secondaire I à IV,38765,49743,66470,91747
Individu - clientèle de l`assistance sociale,Scolarité,Secondaire V,23006,29597,39578,53449
Individu - clientèle de l`assistance sociale,Scolarité,Collégial,7912,10209,13822,18674
Individu - clientèle de l`assistance sociale,Scolarité,Universitaire,9075,11873,16157,22384
Individu - clientèle de l`assistance sociale,Scolarité,Inconnue,7215,10590,11003,16593
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Aucun diplôme,48354,62396,82386,114155
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - DES,12646,16567,21798,29982
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - DEP,8217,10342,14632,19190
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - ASP,690,883,1146,1546
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - AEC,1709,2127,2983,3899
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - DEC général,1931,2536,3360,4590
