clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - ensemble de la clientèle,Région,01 - Bas-Saint-Laurent,7848,9558,11519,15277
Individu - ensemble de la clientèle,Région,02 - Saguenay - Lac-St-Jean,9773,12004,15915,21451
Individu - ensemble de la clientèle,Région,03 - Capitale-Nationale,20348,24476,36753,45536
Individu - ensemble de la clientèle,Région,04 - Mauricie,10502,12554,16116,21177
Individu - ensemble de la clientèle,Région,05 - Estrie,9616,12781,15046,22061
Individu - ensemble de la clientèle,Région,06 - Île-de-Montréal,60112,76632,84825,117304
Individu - ensemble de la clientèle,Région,07 - Outaouais,11445,13880,18400,23529
Individu - ensemble de la clientèle,Région,08 - Abitibi-Témiscamingue,5907,7361,8681,11680
Individu - ensemble de la clientèle,Région,09 - Côte-Nord,4650,5297,7927,9506
Individu - ensemble de la clientèle,Région,10 - Nord-du-Québec,757,871,1590,1916
Individu - ensemble de la clientèle,Région,11 - Gaspésie - Îles-de-la-Madeleine,6845,8021,12299,15455
Individu - ensemble de la clientèle,Région,12 - Chaudière-Appalaches,11336,13745,14949,19717
Individu - ensemble de la clientèle,Région,13 - Laval,10322,12715,14800,19724
Individu - ensemble de la clientèle,Région,14 - Lanaudière,12661,15893,18871,26314
Individu - ensemble de la clientèle,Région,15 - Laurentides,17358,20904,26565,34282
Individu - ensemble de la clientèle,Région,16 - Montérégie,34775,41916,50209,65125
Individu - ensemble de la clientèle,Région,17 - Centre-du-Québec,7889,9553,12997,17229
Individu - ensemble de la clientèle,Sexe,Femme,106453,132663,164355,222936
Individu - ensemble de la clientèle,Sexe,Homme,134000,161942,203107,264347
Individu - ensemble de la clientèle,Groupe d'âge,Moins de 20 ans,15129,19876,21635,29677
Individu - ensemble de la clientèle,Groupe d'âge,De 20 à 24 ans,28578,38441,44224,63541
Individu - ensemble de la clientèle,Groupe d'âge,De 25 à 29 ans,31601,40946,48584,67064
Individu - ensemble de la clientèle,Groupe d'âge,De 30 à 34 ans,28976,37434,44138,60057
Individu - ensemble de la clientèle,Groupe d'âge,De 35 à 39 ans,28074,36198,43109,58651
Individu - ensemble de la clientèle,Groupe d'âge,De 40 à 44 ans,24456,31121,37731,50613
Individu - ensemble de la clientèle,Groupe d'âge,De 45 à 49 ans,20213,25321,30993,40689
Individu - ensemble de la clientèle,Groupe d'âge,De 50 à 54 ans,20680,25392,31397,40262
Individu - ensemble de la clientèle,Groupe d'âge,55 ans et plus,45665,50994,65651,76729
Individu - ensemble de la clientèle,Groupe d'âge,35 ans et moins,108690,138479,167369,232334
Individu - ensemble de la clientèle,Groupe d'âge,36 ans et plus,132198,157680,200093,254949
Individu - ensemble de la clientèle,Famille monoparentale,Oui,20409,26011,32082,44545
Individu - ensemble de la clientèle,Famille monoparentale,Non,220767,269984,335376,442711
Individu - ensemble de la clientèle,Famille monoparentale,Inconnue,3,25,4,27
Individu - ensemble de la clientèle,Scolarité,Primaire,9813,12780,15219,21996
Individu - ensemble de la clientèle,Scolarité,Secondaire I à IV,73904,91805,113226,153816
Individu - ensemble de la clientèle,Scolarité,Secondaire V,65696,80193,99780,130587
Individu - ensemble de la clientèle,Scolarité,Collégial,29843,36375,45614,59224
Individu - ensemble de la clientèle,Scolarité,Universitaire,38384,47381,58547,77284
Individu - ensemble de la clientèle,Scolarité,Inconnue,25684,31272,35076,44376
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Aucun diplôme,108228,132835,162150,216592
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Secondaire - DES,27091,35070,43203,60344
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Secondaire - DEP,20139,24804,32760,43413
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Secondaire - ASP,1190,1534,1920,2700
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Collégial - AEC,4778,5932,8016,10616
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Collégial - DEC général,4860,6363,7956,11201
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Collégial - DEC professionnel,7627,9896,12610,17658
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Universitaire - Certificat,1091,1497,1766,2660
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Universitaire - Baccalauréat,6058,7991,9869,14072
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,2545,3323,4273,5962
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Inconnu,60157,71350,82939,102065
Individu - ensemble de la clientèle,Personne handicapée,Oui,26041,36679,43133,67198
Individu - ensemble de la clientèle,Personne handicapée,Non,215344,259721,324329,420085
Individu - ensemble de la clientèle,Autochtone,Oui,2455,3024,3879,5100
Individu - ensemble de la clientèle,Autochtone,Non,187401,234136,295490,401520
Individu - ensemble de la clientèle,Autochtone,Inconnu,50597,57445,68093,80663
Individu - ensemble de la clientèle,Lieu de naissance,Né au Canada,163398,201942,253872,339927
Individu - ensemble de la clientèle,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,15055,20003,25194,36757
Individu - ensemble de la clientèle,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,26173,33029,39594,54246
Individu - ensemble de la clientèle,Lieu de naissance,Inconnu,35980,40205,48802,56353
