Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1112,621,22396,50997,34409,3540,0,176,397,8666,49544,63531,9084,13149,47.666203847,245.38475348
Situation familiale,Couples sans enfants,99,53,740,1544,2821,253,3668,58,333,1154,4609,4569,71,1222,54.878295925,264.36162563
Situation familiale,Familles monoparentales,47,49,254,1282,1702,64,0,8,25,600,2895,503,41,427,44.869040612,196.15685697
Situation familiale,Couples avec enfants,56,38,202,462,958,48,1558,16,136,1229,1671,1651,70,550,45.326610476,178.70921132
Situation familiale,Conjoint d'étudiant,0,0,3,6,18,0,0,0,1,12,10,17,2,10,45.851851852,134.11111111
Sexe,Hommes,750,358,12658,31456,20463,2131,2455,145,361,6032,0,70271,6011,9238,46.874813223,233.41184842
Sexe,Femmes,564,403,10937,22835,19445,1774,2771,113,531,5629,58729,0,3257,6120,49.445197432,256.0054147
Âge,Moins de 20 ans,14,5,627,1013,257,158,4,1,20,136,671,1407,2078,2028,18.562560154,11.85466795
Âge,De 20 à 24 ans,52,46,2442,3346,1163,72,69,20,40,437,2586,4604,7190,1192,22.073574409,47.439082058
Âge,De 25 à 29 ans,57,57,2748,3346,1594,111,130,9,47,568,3037,5006,0,1041,27.007086908,94.90874052
Âge,De 30 à 34 ans,89,59,2379,3382,1535,108,222,17,44,637,2984,4790,0,950,32.02829946,138.12464626
Âge,De 35 à 39 ans,98,45,2266,4254,1947,147,353,17,48,789,3683,5427,0,1029,37.072996707,178.99791438
Âge,De 40 à 44 ans,104,71,2352,5134,2578,221,446,16,58,985,4686,6220,0,1120,42.022281313,215.33953787
Âge,De 45 à 49 ans,135,60,2198,5234,3502,276,603,23,56,1254,5705,6303,0,1209,47.122834777,251.92621586
Âge,De 50 à 54 ans,181,93,2497,7220,5753,476,866,24,67,1669,8328,8758,0,1648,52.184771158,284.71426899
Âge,55 ans et plus,584,325,6086,21362,21579,2336,2533,131,512,5186,27049,27756,0,5141,59.863315391,316.85523219
Âge,35 ans et moins,229,181,8631,11928,4888,475,492,50,162,1936,9961,16863,9268,5415,27.003914405,92.70325082
Âge,36 ans et plus,1085,580,14964,42363,35020,3430,4734,208,730,9725,48768,53408,0,9943,53.568881146,283.33810288
Scolarité,Primaire,104,106,4085,3280,3013,227,522,9,153,1091,5044,6293,1466,1455,46.495280939,264.00476316
Scolarité,Secondaire I à IV,407,273,4749,18783,14646,907,2243,5,64,2336,18664,23344,2134,4586,48.992549038,267.09407732
Scolarité,Secondaire V,271,138,911,11885,8628,672,1050,6,65,2212,11450,12105,535,2935,51.131224793,234.00802377
Scolarité,Collégiale,76,42,43,4864,2411,253,257,1,27,956,3945,4001,85,1020,51.064434936,214.99144224
Scolarité,Universitaire,64,25,11,3248,1449,135,210,4,59,1235,2498,2644,2,741,53.161804745,199.92862699
Scolarité,Inconnue,392,177,13796,12231,9761,1711,944,233,524,3831,17128,21884,5046,4621,44.322234184,230.07028607
Diplôme maximum obtenu,Aucun diplôme,599,428,9264,24856,19765,1317,3041,20,250,4582,26531,32739,3812,6799,48.747528261,263.37079467
Diplôme maximum obtenu,Secondaire - DES,162,71,367,8455,5209,415,600,1,32,1090,7491,7788,344,1935,49.971987696,224.48137967
Diplôme maximum obtenu,Secondaire - DEP,40,22,110,2200,1909,139,231,0,5,198,2264,2387,20,529,53.538808858,257.50161256
Diplôme maximum obtenu,Secondaire - ASP,5,5,14,208,173,11,16,0,0,23,170,262,0,43,53.884259259,252.11805556
Diplôme maximum obtenu,Collégial - AEC,11,4,1,656,461,45,39,0,2,115,624,593,4,159,52.472473295,199.76006574
Diplôme maximum obtenu,Collégial - DEC général,15,6,8,988,341,38,35,0,2,157,667,764,5,162,51.21802935,223.47589099
Diplôme maximum obtenu,Collégial - DEC professionnel,16,15,5,1091,512,54,48,0,2,160,939,802,7,273,51.448592763,188.1183228
Diplôme maximum obtenu,Universitaire - Certificat,5,3,1,381,186,20,22,0,4,94,329,289,0,80,53.477346278,208.07443366
Diplôme maximum obtenu,Universitaire - Baccalauréat,23,7,5,1305,535,54,76,1,23,442,1004,1001,1,322,52.803491272,182.40498753
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,8,5,0,219,114,11,16,0,5,133,187,186,0,61,54.010723861,162.85254692
Diplôme maximum obtenu,Inconnu,430,195,13820,13932,10703,1801,1102,236,567,4667,18523,23460,5075,4995,44.945382655,229.73968035
Durée cumulative,Premier mois,1,0,15,49,15,20,4,1,4,14,35,69,81,104,24.528846154,1
Durée cumulative,De 2 à 5 mois,10,9,110,306,155,76,36,11,41,64,260,442,483,702,27.229344729,3.556980057
Durée cumulative,De 6 à 11 mois,22,5,198,493,273,102,69,38,81,112,423,739,728,1162,30.185025818,8.5757314974
Durée cumulative,De 12 à 23 mois,21,21,479,1012,671,187,135,71,170,318,995,1531,1451,2526,32.235154394,17.538400633
Durée cumulative,De 24 à 47 mois,70,48,1102,2569,1906,270,345,69,501,759,2587,3723,3038,1283,35.055784469,35.88748019
Durée cumulative,De 48 à 119 mois,181,146,3486,8457,6237,838,896,44,95,2781,8327,11914,3487,2936,38.448545032,84.357640433
Durée cumulative,120 mois et plus,1009,532,18205,41405,30651,2412,3741,24,0,7613,46102,51853,0,6645,51.658424787,300.60971875
Types de diagnostics,Visuel,1314,0,0,0,0,0,0,8,31,202,564,750,66,147,49.334094368,248.71232877
Types de diagnostics,Auditif et de la parole,0,761,0,0,0,0,0,8,19,104,403,358,51,122,47.843626807,229.94218134
Types de diagnostics,Intellectuel et d'apprentissage,0,0,23595,0,0,0,0,10,70,1040,10937,12658,3069,2437,42.104428904,270.25696122
Types de diagnostics,Santé mentale,0,0,0,54291,0,0,0,45,67,4781,22835,31456,4359,6264,47.171354368,239.58153285
Types de diagnostics,Physique,0,0,0,0,39908,0,0,151,460,4127,19445,20463,1420,4230,51.79583041,240.66901373
Types de diagnostics,Autres,0,0,0,0,0,3905,0,2,8,313,1774,2131,230,1304,52.368758003,201.12035851
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,5226,34,237,1094,2771,2455,73,854,51.774014543,222.23574436
Région,01 - Bas-Saint-Laurent,26,16,816,1607,1225,89,194,0,1,24,1826,2147,221,424,49.926000503,270.2192298
Région,02 - Saguenay - Lac-St-Jean,37,24,964,1761,1602,104,205,0,0,26,2241,2456,303,470,48.286352991,267.89184586
Région,03 - Capitale-Nationale,110,52,1424,4445,2541,226,248,0,32,306,3993,5053,574,910,48.819036038,258.3342914
Région,04 - Mauricie,50,33,1020,2537,1829,113,239,0,1,103,2727,3094,322,517,48.989348909,267.43239993
Région,05 - Estrie,58,32,1167,2592,1792,149,286,0,41,240,2774,3302,391,608,48.366688611,248.4935813
Région,06 - Île-de-Montréal,377,249,3877,14636,10076,584,1417,251,392,7606,13831,17385,2064,3668,48.698968478,228.46799718
Région,07 - Outaouais,60,35,1048,2355,1927,189,282,0,38,301,2765,3131,347,555,48.054443691,233.52137042
Région,08 - Abitibi-Témiscamingue,24,13,489,779,748,58,90,0,0,12,1013,1188,139,248,48.939572921,261.24079964
Région,09 - Côte-Nord,15,8,241,415,401,22,53,0,0,11,534,621,70,107,48.8,272.604329
Région,10 - Nord-du-Québec,6,0,47,142,117,13,11,0,0,2,133,203,42,58,42.321428571,189.06547619
Région,11 - Gaspésie - Îles-de-la-Madeleine,24,12,438,748,798,68,136,0,0,12,1048,1176,121,225,49.876348921,273.55935252
Région,12 - Chaudières-Appalaches,41,25,1207,2028,1558,136,171,0,3,64,2404,2762,358,574,47.877080914,248.11033682
Région,13 - Laval,64,38,893,1782,1550,91,251,2,291,919,2231,2438,477,633,47.098736346,199.26729492
Région,14 - Lanaudière,67,35,1266,2461,2281,198,300,0,7,190,3091,3517,676,756,46.251967312,229.29903148
Région,15 - Laurentides,56,31,1432,3235,2577,217,334,0,9,209,3681,4201,715,815,46.886577011,228.55455468
Région,16 - Montérégie,221,123,3714,8219,6482,404,800,0,59,1093,9388,10575,1792,2218,46.675549767,229.66893753
Région,17 - Centre-du-Québec,51,24,728,1651,1361,133,171,0,5,62,1908,2211,263,358,48.386501578,247.53095412
Région,99 - Central,27,11,2824,2898,1043,1111,38,5,13,481,3141,4811,393,2214,48.507419517,314.13116197
