District,Bureau,Candidat1,Vote1,Candidat2,Vote2,Candidat3,Vote3,Candidat4,Vote4,Candidat5,Vote5,Rejetes
1,1,Audrey BUREAU,107,David INGLIS,7,François SYLVESTRE,37,,0,,0,3
1,2,Audrey BUREAU,113,David INGLIS,27,François SYLVESTRE,30,,0,,0,0
1,3,Audrey BUREAU,114,David INGLIS,3,François SYLVESTRE,35,,0,,0,1
1,4,Audrey BUREAU,108,David INGLIS,2,François SYLVESTRE,28,,0,,0,1
1,5,Audrey BUREAU,117,David INGLIS,5,François SYLVESTRE,22,,0,,0,2
1,6,Audrey BUREAU,89,David INGLIS,4,François SYLVESTRE,21,,0,,0,1
1,7,Audrey BUREAU,117,David INGLIS,2,François SYLVESTRE,15,,0,,0,1
1,8,Audrey BUREAU,76,David INGLIS,1,François SYLVESTRE,18,,0,,0,0
1,9,Audrey BUREAU,59,David INGLIS,5,François SYLVESTRE,16,,0,,0,0
1,BVA-01-1,Audrey BUREAU,224,David INGLIS,8,François SYLVESTRE,48,,0,,0,0
1,BVA-01-2,Audrey BUREAU,101,David INGLIS,5,François SYLVESTRE,32,,0,,0,0
1,BVA-01-3,Audrey BUREAU,117,David INGLIS,2,François SYLVESTRE,25,,0,,0,0
1,10,Audrey BUREAU,63,David INGLIS,6,François SYLVESTRE,14,,0,,0,0
1,11,Audrey BUREAU,67,David INGLIS,2,François SYLVESTRE,7,,0,,0,0
1,12,Audrey BUREAU,20,David INGLIS,3,François SYLVESTRE,8,,0,,0,2
1,13,Audrey BUREAU,67,David INGLIS,6,François SYLVESTRE,17,,0,,0,1
1,14,Audrey BUREAU,70,David INGLIS,5,François SYLVESTRE,41,,0,,0,1
1,15,Audrey BUREAU,101,David INGLIS,6,François SYLVESTRE,26,,0,,0,0
1,16,Audrey BUREAU,133,David INGLIS,8,François SYLVESTRE,26,,0,,0,3
1,17,Audrey BUREAU,71,David INGLIS,6,François SYLVESTRE,18,,0,,0,2
1,BVA-01-4,Audrey BUREAU,87,David INGLIS,2,François SYLVESTRE,18,,0,,0,1
1,BVA-01-5,Audrey BUREAU,108,David INGLIS,4,François SYLVESTRE,36,,0,,0,2
1,BVA-01-6,Audrey BUREAU,121,David INGLIS,3,François SYLVESTRE,22,,0,,0,1
1,18,Audrey BUREAU,114,David INGLIS,8,François SYLVESTRE,33,,0,,0,12
1,19,Audrey BUREAU,125,David INGLIS,8,François SYLVESTRE,32,,0,,0,3
1,20,Audrey BUREAU,101,David INGLIS,1,François SYLVESTRE,27,,0,,0,1
1,21,Audrey BUREAU,110,David INGLIS,7,François SYLVESTRE,37,,0,,0,1
1,22,Audrey BUREAU,136,David INGLIS,2,François SYLVESTRE,33,,0,,0,1
1,23,Audrey BUREAU,108,David INGLIS,0,François SYLVESTRE,47,,0,,0,0
1,24,Audrey BUREAU,123,David INGLIS,8,François SYLVESTRE,29,,0,,0,1
1,25,Audrey BUREAU,108,David INGLIS,6,François SYLVESTRE,27,,0,,0,0
1,26,Audrey BUREAU,96,David INGLIS,5,François SYLVESTRE,10,,0,,0,3
2,27,Mamadou Garanké BAH,16,Véronic BOYER,30,Gilles CHAGNON,60,Roch GIVOGUE,9,,0,1
2,28,Mamadou Garanké BAH,22,Véronic BOYER,68,Gilles CHAGNON,69,Roch GIVOGUE,17,,0,2
