"annee-mois","nombre-echantillon","chomedey","pont-viau","sainte-rose","nombre-depassement"
"2016-01-01","1","","","0,2","0"
"2016-02-01","3","0,4","0,2","0,3","0"
"2016-03-01","1","","","0,2","0"
"2016-04-01","1","","","0,2","0"
"2016-05-01","3","0,2","0,2","0,2","0"
"2016-06-01","1","","","0,1","0"
"2016-07-01","1","","","0,1","0"
"2016-08-01","3","0,2","0,2","0,2","0"
"2016-09-01","1","","","0,2","0"
"2016-10-01","1","","","0,1","0"
"2016-11-01","3","0,4","0,2","0,3","0"
"2016-12-01","1","","","0,1","0"
"2017-01-01","1","","","0,2","0"
"2017-02-01","3","0,2","0,2","0,3","0"
"2017-03-01","1","","","0,2","0"
"2017-04-01","1","","","0,1","0"
"2017-05-01","3","0,9","0,4","0,1","0"
"2017-06-01","1","","","0,16","0"
"2017-07-01","1","","","0,1","0"
