NOM,NUMERO,WKT
"Stations de métro Montmorency, Concorde et Cartier",20,POINT  ( 287500.33896484 5046521.00312500)
Berge de la Plage Idéale,23,POINT  ( 284639.28867188 5056969.39257812)
Mont Laval,18,POINT  ( 279297.62900391 5043920.96582031)
"Les trois grandes îles ",24,POINT  ( 291319.64814453 5061051.65595703)
Berge aux Quatre-Vents,16,POINT  ( 275216.97558594 5045075.42500000)
Les Îles-Laval,17,POINT  ( 277091.42031250 5041996.52255859)
"Stations de métro Montmorency, Concorde et Cartier",20,POINT  ( 290590.50000000 5046747.20000000)
"Stations de métro Montmorency, Concorde et Cartier",20,POINT  ( 288449.08281250 5046774.46289062)
Secteur du Marigot - Place Juge-Desnoyers,21,POINT  ( 291031.66992188 5047180.31269531)
Secteur de l'église Saint-Maurice-de-Duvernay,22,POINT  ( 291028.79238281 5048808.54208984)
Secteur Mattawa,19,POINT  ( 279528.96318359 5051800.65927734)
Archipel du Mitan,25,POINT  ( 301942.71074219 5060663.60576172)
