CATEG,WKT
Réseau routier métropolitain actuel,"LINESTRING  ( 282362.81532134 5049574.10590925, 283387.00084812 5048966.99729657, 283625.00609400 5048907.99159993, 283870.00591442 5048912.99208269, 284148.00725932 5048996.99019221, 284346.00815786 5049046.99501987, 284564.00298175 5049031.99357157, 284784.00214716 5048936.99439997, 284931.00368908 5048803.99155935, 285179.27809216 5048472.62956835)"
Réseau routier métropolitain actuel,"LINESTRING  ( 293087.65560688 5060954.51095474, 293131.00407538 5060493.99015818, 293088.00558822 5058759.99275119, 293157.00277699 5058338.99210612, 293284.27433976 5057713.54172266)"
Réseau routier métropolitain actuel,"LINESTRING  ( 280643.34598946 5046124.10283226, 281742.95414554 5044675.76300380)"
Réseau routier métropolitain actuel,"LINESTRING  ( 286231.33468897 5047069.07406354, 286907.47414558 5047525.94817198, 287326.76919562 5047150.80195387, 287326.76919562 5047040.46130115, 287613.65398012 5046621.17082118)"
Réseau routier métropolitain actuel,"LINESTRING  ( 280078.77923531 5045866.49173187, 280643.34598946 5046124.10283226, 283185.56864887 5047176.78446233)"
Réseau routier métropolitain actuel,"LINESTRING  ( 289369.09423132 5051718.04289343, 291626.15600490 5053138.84006282)"
Réseau routier métropolitain projeté,"LINESTRING  ( 288451.66705689 5053081.15278127, 286507.69461838 5055617.66937883, 286289.56782139 5055984.05475113, 286088.56453472 5056542.10862786, 285860.34179523 5056953.76837113, 285731.61852830 5057143.64670273, 285611.79519762 5057361.50773590, 285034.03556544 5057966.63420047)"
Réseau routier métropolitain actuel,"LINESTRING  ( 285179.27809216 5048472.62956835, 286231.33468897 5047069.07406354, 286921.00138880 5046148.99523549, 287643.00149926 5045265.99998762, 288114.00526136 5044602.99597858, 288217.29213337 5044513.82755781)"
Réseau routier métropolitain actuel,"LINESTRING  ( 291781.82967907 5048502.99115324, 291246.00747702 5049192.99911568, 291082.00614956 5049341.99350019, 290823.00068341 5049471.99605116, 290664.00608561 5049584.99696071, 290273.00276988 5050074.99426700, 289971.00706490 5050517.99703624, 289369.00349982 5051717.99288860, 289236.00760363 5051986.99885950, 289008.00756874 5052399.99873214, 288684.00534857 5052777.99522543, 288451.66705689 5053081.15278127)"
Réseau routier métropolitain actuel,"LINESTRING  ( 278445.14760471 5049035.77240737, 278703.00317036 5048700.99161533, 280643.34598946 5046124.10283226)"
Réseau routier métropolitain actuel,"LINESTRING  ( 295428.81489361 5055265.32839847, 294805.31386051 5056092.10518274, 294112.05914190 5056939.41698558, 293978.27140709 5057073.20990249, 293824.21755239 5057194.83164433, 293646.25182080 5057338.32549780, 293593.12439787 5057378.62938889, 293486.86955201 5057439.08522554, 293415.43086081 5057492.20035349, 293362.30343787 5057556.31654351, 293314.66939542 5057635.09414902, 293284.27433976 5057713.54172266)"
Réseau routier métropolitain actuel,"LINESTRING  ( 291082.00614956 5049341.99350019, 290703.21034601 5048695.54108911, 289798.41098900 5047879.03226011, 290592.87258222 5046863.91425660)"
Réseau routier métropolitain actuel,"LINESTRING  ( 293284.27433976 5057713.54172266, 293441.00064983 5056932.99636571, 293438.00651002 5056668.99087758, 293323.00019765 5056145.99038504, 292935.00751837 5055344.99305358, 292075.02952701 5053628.00728896, 291843.98586241 5053331.97870919, 291626.15600490 5053138.84006282)"
Réseau routier métropolitain actuel,"LINESTRING  ( 283185.56864887 5047176.78446233, 284120.00421618 5047580.99348626, 284346.00815786 5047735.99845106, 285179.00589763 5048472.99960408)"
Réseau routier métropolitain projeté,"LINESTRING  ( 276531.13003582 5042612.98385492, 276558.91037434 5042807.43262777, 276461.68743782 5043168.55749220, 276406.12676078 5043460.23565197, 276447.79726857 5043682.46710707, 276850.58743221 5044460.27219946, 277031.15138429 5044613.05694991, 277336.71861142 5044807.50572276, 277572.83499224 5044876.95242743, 278072.85634072 5044918.62645080, 278433.98424489 5044960.29047321, 278683.99079497 5045043.62851899, 278850.65632948 5045126.96656478, 279952.85445774 5045809.03241412, 280066.52383842 5045860.89960967, 280078.77923531 5045866.49173187)"
Réseau routier métropolitain actuel,"LINESTRING  ( 281742.95414554 5044675.76300380, 282295.00589052 5043915.99965323, 284106.29446767 5041330.19758172)"
Réseau routier métropolitain actuel,"LINESTRING  ( 285179.27809216 5048472.62956835, 286470.00804869 5049615.99995387, 286830.00593316 5049836.99128925, 288035.00286160 5050420.99767154, 288307.00767856 5050615.99649750, 288540.00619478 5050861.99024671, 288906.00060719 5051351.99755396, 289173.00694280 5051588.99043419, 289369.09423132 5051718.04289343)"
Réseau routier métropolitain actuel,"LINESTRING  ( 280432.10159145 5052258.09735782, 280810.00327565 5051883.99891547, 280911.00394229 5051693.99057132, 281146.00680003 5050502.99558794, 281244.00507854 5050313.99734130, 281390.00032553 5050164.99295582, 282362.81532134 5049574.10590925)"
