num-civique-de,num-civique-a,nom-rue,secteur,matricule,statut-juridique,num-cadastre,typologie-architecturale,pluram-1981-num-fiche,en-ou-vers,annee-construction,evaluation-patrimoniale,batiment-disparu,atiments-secondaires-interet,inclure-dans-inventaire,commentaires,identifiant,lien-photos,photo-utilisee
"3735",,"Souvenir (chemin du)","Chomedey","8445-93-8365-3-000-0000","Sans statut","1219774","maison Boomtown","51","vers","1930","Bonne",,,"Inclure inventaire","Le bâtiment a conservé son revêtement de brique et sa corniche. Les portes et fenêtres ont toutefois été remplacées. ","SOUV_3735","https://donnees.laval.ca/jeux/ppa/SOUV_3735/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_SOUV_3735_02_01.jpg"
"3328",,"Lévesque Ouest (boulevard)","Chomedey","8644-80-5920-3-000-0000","Sans statut","1638202","maison Boomtown","51","vers","1920","Moyenne",,,,"La maison a subi plusieurs altérations et ne possède presque plus d'éléments traditionnels d'origine.","LEVO_3328","https://donnees.laval.ca/jeux/ppa/LEVO_3328/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_54005_LEVO_3328_01_01.jpg"
"3550",,"Lévesque Ouest (boulevard)","Chomedey","8643-58-7215-4-002-0000","Sans statut","1637761","Beaux-Arts","156","en ","1913","Supérieure",,,"Inclure inventaire","Grand séminaire Saint-Joseph des Frères de Sainte-Croix. Ancienne villa Saint-Martin construite vers 1913 et dédiée aux retraites fermées d’hommes. À l’origine, le bâtiment en brique fait 40 m par 15 m. Une large galerie abritée court autour du bâtiment et offre un lieu de promenade. Des éléments classiques tels que le fronton, les colonnes et une légère avancée de l’entrée caractérisent le bâtiment. L'ajout d’une tour à l’entrée principale transforme la géométrie des lignes d’origine. Source: Brochure Vieux Saint-Martin.","LEVO_3550","https://donnees.laval.ca/jeux/ppa/LEVO_3550/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65001_LEVO_3550_02_01.jpg"
"4050",,"1re Avenue","Laval-Ouest","7544-01-0780-5-000-0000","Sans statut","1082169","Arts & Crafts","63","vers","1900","Moyenne",,,,"La maison a subi plusieurs altérations et ne possède presque plus d'éléments traditionnels d'origine, sauf la tôle traditionnelle de sa toiture.","1AVE_4050","https://donnees.laval.ca/jeux/ppa/1AVE_4050/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_1AVE_4050_08_01.jpg"
"3272",,"1re Rue","Chomedey","8743-08-8050-7-000-0000","Sans statut","1638254","maison cubique","46","vers","1880","Bonne",,,"Inclure inventaire","Plusieurs composantes traditionnelles conservées, dont le revêtement en bardeau de bois et la galerie longeant la façade. À l’arrière du bâtiment, donnant sur la 66e Avenue, le hangar rappelle la pratique ancienne des artisans qui construisaient leur atelier de travail contigu à la résidence. Source: Brochure Vieux Saint-Martin.","1RUE_3272","https://donnees.laval.ca/jeux/ppa/1RUE_3272/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_1RUE_3272_01_02.jpg"
"3385",,"1re Rue","Chomedey","8643-97-0765-3-000-0000","Sans statut","1638080","maison traditionnelle québécoise","22","vers","1880","Faible",,,,"Transformations irréversibles généralisées rendant le bâtiment original méconnaissable. ","1RUE_3385","https://donnees.laval.ca/jeux/ppa/1RUE_3385/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_1RUE_3385_01_01.jpg"
"3757",,"2e Rue","Chomedey","8643-17-4280-7-000-0000","Sans statut","1636697","néoclassicisme","14","vers","1895","Moyenne",,,"Inclure inventaire","Quelques éléments d'origine conservés, dont la volumétrie générale, les lucarnes et la corniches à modillons. Par contre, toutes les autres composantes sont modernes.","2RUE_3757","https://donnees.laval.ca/jeux/ppa/2RUE_3757/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_2RUE_3757_02_01.jpg"
"3765",,"2e Rue","Chomedey","8643-17-3070-3-000-0000","Sans statut","1636698","maison à mansarde / Second Empire","39","vers","1880","Bonne",,,"Inclure inventaire","Volumétrie et composition générale conservées, de même que le revêtement en brique. Les autres composantes ont été remplacées. 
","2RUE_3765","https://donnees.laval.ca/jeux/ppa/2RUE_3765/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_2RUE_3765_02_01.jpg"
"3765",,"2e Rue","Chomedey",,"Sans statut",,"croix de chemin et calvaire","101",,,"Bonne",,,"Inclure inventaire","Croix de chemin en métal.","2RUE_3765_C","https://donnees.laval.ca/jeux/ppa/2RUE_3765_C/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_2RUE_3765_02_02.jpg"
"041",,"66e Avenue","Chomedey","8743-08-8390-7-000-0000","Sans statut","1638251","cottage vernaculaire américain","59","vers","1910","Moyenne",,,,"La maison a subi plusieurs altérations et ne possède presque plus d'éléments traditionnels d'origine, sauf les fondations en pierre et une partie de revêtement en bardeaux de cèdre visible sur les murs latéraux. Source: Brochure Vieux Saint-Martin.","66AV_0041","https://donnees.laval.ca/jeux/ppa/66AV_0041/2014-2015_Pr%C3%A9inventaire_Patri-Arch/","2014_65005_66AV_0041_02_01.jpg"
