"annee-naissance","annee","temps-utilisation","nombre-connexion"
"1900","2016","27,940000000000001","88"
"1901","2016","1,4522222222222201","6"
"1924","2016","10,625277777777701","34"
"1927","2016","3,1930555555555502","8"
"1929","2016","7,2366666666666601","12"
"1931","2016","11,6341666666666","21"
"1932","2016","38,299444444444397","68"
"1933","2016","223,16805555555499","407"
"1934","2016","63,789999999999999","126"
"1935","2016","51,180277777777697","74"
"1936","2016","197,47527777777699","389"
"1937","2016","25,8880555555555","63"
"1938","2016","215,611111111111","440"
"1939","2016","270,824444444444","527"
"1940","2016","901,43111111111102","1717"
"1941","2016","189,71111111111099","352"
"1942","2016","211,727222222222","374"
"1943","2016","303,47250000000003","535"
"1944","2016","267,71361111111099","542"
"1945","2016","523,64111111111094","984"
"1946","2016","163,308333333333","313"
"1947","2016","1253,83527777777","2268"
"1948","2016","740,69583333333298","1401"
"1949","2016","2214,4375","4110"
"1950","2016","727,34638888888799","1257"
"1951","2016","780,15750000000003","1311"
"1952","2016","1313,10666666666","2589"
"1953","2016","1804,19333333333","3251"
"1954","2016","885,48388888888803","1648"
"1955","2016","1663,8716666666601","3071"
"1956","2016","1089,7166666666601","2028"
"1957","2016","2129","3979"
"1958","2016","1583","2850"
"1959","2016","1014,00222222222","1869"
"1960","2016","1411,3163888888801","2629"
"1961","2016","3298,5497222222202","6719"
"1962","2016","2556,9219444444402","4527"
"1963","2016","1545,2525000000001","3136"
"1964","2016","1644,73583333333","3143"
"1965","2016","2219,4955555555498","4269"
"1966","2016","2229,9766666666601","4124"
"1967","2016","1842,2180555555501","3488"
"1968","2016","3823,2688888888802","7244"
"1969","2016","1633,24555555555","3206"
"1970","2016","3640,5922222222198","6972"
"1971","2016","2511,6813888888801","4717"
"1972","2016","2226,1338888888799","4181"
"1973","2016","2479,8627777777701","4681"
"1974","2016","2179,59361111111","4173"
"1975","2016","1935,23722222222","3632"
"1976","2016","1694,6697222222199","3483"
"1977","2016","3094","5878"
"1978","2016","2252,9180555555499","4366"
"1979","2016","1811,7338888888801","3596"
"1980","2016","1892,48305555555","3694"
"1981","2016","2138,48861111111","4273"
"1982","2016","1402,2077777777699","2820"
"1983","2016","1540,3261111111101","2828"
"1984","2016","974,03555555555499","1957"
"1985","2016","1306,9158333333301","2561"
"1986","2016","744","1606"
"1987","2016","834,38333333333298","1753"
"1988","2016","1026,2305555555499","2012"
"1989","2016","1329,29666666666","2661"
"1990","2016","1285,27972222222","2747"
"1991","2016","1120,6483333333299","2397"
"1992","2016","993,25722222222203","2137"
"1993","2016","1403,6230555555501","2938"
"1994","2016","1565,42027777777","3442"
"1995","2016","1509,6113888888799","2967"
"1996","2016","1718","3567"
"1997","2016","2220,9672222222198","4511"
"1998","2016","2512,8191666666598","4927"
"1999","2016","3029,1380555555502","5660"
"2000","2016","3418,2508333333299","6233"
"2001","2016","2770,2658333333302","5392"
"2002","2016","3727,0505555555501","7634"
"2003","2016","3392,9213888888798","6614"
"2004","2016","3270,3505555555498","6609"
"2005","2016","3429,60805555555","7060"
"2006","2016","2817,4963888888801","5731"
"2007","2016","2265,0599999999999","4413"
"2008","2016","1186,6327777777699","2273"
"2009","2016","1072,2011111111101","1942"
"2010","2016","366,57222222222202","626"
"2011","2016","233,194722222222","465"
"2012","2016","115,185555555555","206"
"2013","2016","250,89527777777701","445"
"2014","2016","67,372222222222206","159"
"2015","2016","53,685833333333299","110"
"2016","2016","13,938888888888799","26"
"1900","2017","49,153611111111097","115"
"1924","2017","12,0058333333333","33"
"1925","2017","45,237777777777701","105"
"1927","2017","5,07944444444444","9"
"1928","2017","3,9569444444444399","5"
"1929","2017","3,1952777777777701","8"
"1930","2017","2,2250000000000001","9"
"1931","2017","19,369166666666601","36"
"1932","2017","9,6066666666666602","15"
"1933","2017","194,71944444444401","354"
"1934","2017","14,1047222222222","27"
"1935","2017","15,4119444444444","19"
"1936","2017","591,47916666666595","1119"
"1937","2017","22,813888888888801","78"
"1938","2017","104,968055555555","250"
"1939","2017","58,944166666666597","109"
"1940","2017","176,988611111111","417"
"1941","2017","165,791944444444","323"
"1942","2017","139,803611111111","269"
"1943","2017","240,22083333333299","430"
"1944","2017","236,079166666666","503"
"1945","2017","573,84111111111099","1104"
"1946","2017","484,14666666666602","896"
"1947","2017","446,07499999999999","881"
"1948","2017","1206,59805555555","2254"
"1949","2017","1804,14055555555","3596"
"1950","2017","544,54361111111098","916"
"1951","2017","839,80944444444401","1659"
"1952","2017","1600,94444444444","3261"
"1953","2017","2527,5577777777698","4694"
"1954","2017","752,201111111111","1445"
"1955","2017","2696,3933333333298","5008"
"1956","2017","1175,9922222222201","2282"
"1957","2017","2212","4286"
"1958","2017","1476,7619444444399","2774"
"1959","2017","776,65416666666601","1593"
"1960","2017","1461,4597222222201","2741"
"1961","2017","3772,6319444444398","7460"
"1962","2017","3440,1027777777699","5509"
"1963","2017","1638,88194444444","3262"
"1964","2017","1923,6199999999999","3805"
"1965","2017","1832,41888888888","3518"
"1966","2017","2106,9775","4217"
"1967","2017","1904,9097222222199","3586"
"1968","2017","2616,4197222222201","5071"
"1969","2017","1842","3632"
"1970","2017","3255,3119444444401","6475"
"1971","2017","2827,20194444444","5496"
"1972","2017","2395,70444444444","4676"
"1973","2017","3156,9333333333302","6219"
"1974","2017","2116,3375000000001","4249"
"1975","2017","2189,5516666666599","4409"
