ï»¿ID,MUNICIPALITE,MARQUE,MODELE,LAT,LONG,ETAT,ETAT_resolved,DEBITESTIME,DEBITDISPONIBLE,PROFONDEUR,DATEPEINTURE,CLASSEDEBITNFPA,CLASSEDEBITNFPA_resolved
1,25213,,,46.76608358596075,-71.1353574283916,,,,,,,,
2,25213,Daigle,D-63,46.76717962403607,-71.13694538044975,,,,,,,,
3,25213,Daigle,D-63,46.76801679557946,-71.13815314808369,,,,,,,,
4,25213,Daigle,D-63,46.771720064702144,-71.14351803751639,,,,,,,,
5,25213,Darling,B-50-B-18,46.77323641454672,-71.14463118732392,,,,,,,,
6,25213,Daigle,D-63,46.77285055115843,-71.14516058991211,,,,,,,,
7,25213,Darling,B-50-B-18,46.77437414173171,-71.14622172741996,,,,,,,,
8,25213,Darling,B-50-B-18,46.774721009458226,-71.1478574552898,,,,,,,,
9,25213,Couture,,46.680856594837344,-71.2192353150678,,,,,,,,
10,25213,Couture,,46.67679156158922,-71.22753780244439,,,,,,,,
11,25213,Drolet,100,46.67816172119751,-71.2258517873338,,,,,,,,
12,25213,,,46.675007154103405,-71.22128838205957,,,,,,,,
13,25213,,,46.6744115864526,-71.22039880731049,,,,,,,,
14,25213,,,46.675581159469466,-71.21969056167909,,,,,,,,
15,25213,,,46.677205072575944,-71.21928471178708,,,,,,,,
16,25213,Sentinel,Sentinelle,46.6811094298457,-71.22659091780652,,,,,,,,
17,25213,Sentinel,Sentinelle,46.680390873302564,-71.22814159146827,,,,,,,,
18,25213,Drolet,400,46.664750419584294,-71.23116007172516,,,,,,,,
19,25213,Drolet,400,46.66559210346948,-71.23200088968598,,,,,,,,
20,25213,,,46.68586475349566,-71.21854356850585,,,,,,,,
21,25213,,,46.68543319894501,-71.22024440234249,,,,,,,,
22,25213,Drolet,100,46.67683565955543,-71.22619295915773,,,,,,,,
23,25213,,,46.68555010039672,-71.21802429065895,,,,,,,,
24,25213,,,46.68498986106235,-71.22134888662791,,,,,,,,
25,25213,,,46.73247299244626,-71.20874423654276,,,,,,,,
26,25213,Mueller,Centurion,46.7372692267985,-71.21643768353694,,,,,,,,
27,25213,Drolet,400,46.731125193428554,-71.19544945002113,,,,,,,,
28,25213,Drolet,400,46.73191649520622,-71.19657158926776,,,,,,,,
29,25213,,,46.73318849427102,-71.20810787285707,,,,,,,,
30,25213,Drolet,400,46.734096303473706,-71.20689043813739,,,,,,,,
31,25213,,,46.73654076124249,-71.21323166451567,,,,,,,,
32,25213,,,46.73923802627936,-71.21503360049627,,,,,,,,
33,25213,Drolet,400,46.74091415555781,-71.21669278052991,,,,,,,,
34,25213,Darling,B-50-B-18,46.737102194192026,-71.21103487452876,,,,,,,,
35,25213,Darling,B-50-B-18,46.73784869830294,-71.21118690324808,,,,,,,,
36,25213,Drolet,400,46.73619652622483,-71.21022023783777,,,,,,,,
37,25213,Sentinel,Sentinelle,46.73970150497975,-71.202476749405,,,,,,,,
38,25213,Drolet,400,46.73741672417405,-71.2074214266858,,,,,,,,
39,25213,Daigle,D-63,46.73795639544849,-71.2062246229447,,,,,,,,
40,25213,Darling,B-50-B-18,46.69788854830348,-71.27370410081441,,,,,,,,
41,25213,Darling,B-50-B-18,46.71278630742095,-71.25853211617255,,,,,,,,
42,25213,,,46.71194720235402,-71.25986029779743,,,,,,,,
43,25213,,,46.7175957754188,-71.25164427035395,,,,,,,,
45,25213,,,46.72045577479104,-71.28256152598571,,,,,,,,
46,25213,,,46.719902903515774,-71.28166734513742,,,,,,,,
47,25213,Drolet,400,46.721699144233355,-71.26966187253433,,,,,,,,
48,25213,,,46.757787546210515,-71.23308071576986,,,,,,,,
49,25213,Mueller,Centurion,46.75582471308233,-71.23577169928481,,,,,,,,
50,25213,Darling,B-50-B-18,46.755982783650275,-71.23403981721407,,,,,,,,
51,25213,Darling,B-50-B-18,46.75566755587286,-71.23332269268877,,,,,,,,
52,25213,Darling,B-50-B-18,46.75627929928993,-71.2323153901723,,,,,,,,
53,25213,,,46.75595889256505,-71.23110339578956,,,,,,,,
54,25213,,,46.756866432153124,-71.23072301346093,,,,,,,,
