ï»¿ID,MUNICIPALITE,AVIS_NO,STATUT,DATEDEBUT,DATEFIN,TYPE,SERVICE
387,Repentigny,8,Actif,2024-08-08 12:00:00,,Avis d'Ã©bullition,Gestion des infrastructures
18,Repentigny,,Inactif,,,,
23,Repentigny,1,Inactif,2019-01-22 19:30:00,2019-01-25 13:45:00,Avis d'Ã©bullition,Travaux publics
26,Repentigny,2,Inactif,2019-01-26 08:00:00,2019-01-30 23:00:00,Avis d'Ã©bullition,Travaux publics
27,Repentigny,3,Inactif,2019-02-12 23:00:00,2019-02-14 16:00:00,Avis d'Ã©bullition,Travaux publics
28,Repentigny,4,Inactif,2019-02-12 15:30:00,2019-02-18 13:00:00,Avis d'Ã©bullition,Travaux publics
29,Repentigny,5,Inactif,2019-02-13 05:30:00,2019-02-18 21:00:00,Avis d'Ã©bullition,Travaux publics
30,Repentigny,6,Inactif,2019-02-28 20:30:00,2019-03-04 15:15:00,Avis d'Ã©bullition,Travaux publics
31,Repentigny,7,Inactif,,2019-03-04 12:30:00,Avis d'Ã©bullition,Travaux publics
32,Repentigny,8,Inactif,2019-03-09 11:30:00,2019-03-12 18:30:00,Avis d'Ã©bullition,Travaux publics
33,Repentigny,9,Inactif,2019-03-08 19:15:00,,Avis d'Ã©bullition,Travaux publics
34,Repentigny,10,Inactif,2019-03-13 18:00:00,2019-03-15 12:00:00,Avis d'Ã©bullition,Travaux publics
35,Repentigny,11,Inactif,2019-04-06 13:30:00,2019-04-10 12:40:00,Avis d'Ã©bullition,Travaux publics
36,Repentigny,12,Inactif,2019-03-08 21:00:00,2019-04-17 14:20:00,Avis d'Ã©bullition,Travaux publics
37,Repentigny,1,Inactif,2019-04-15 04:00:00,2019-05-28 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
38,Repentigny,13,Inactif,2019-04-14 21:00:00,2019-04-17 14:50:00,Avis d'Ã©bullition,Travaux publics
39,Repentigny,2,Inactif,2019-04-15 04:00:00,2019-04-23 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
40,Repentigny,3,Inactif,2019-05-07 04:00:00,2019-05-17 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
41,Repentigny,4,AnnulÃ©,2019-05-07 12:00:00,,Avis d'Ã©bullition,Gestion des infrastructures
42,Repentigny,14,Inactif,2019-05-14 20:00:00,2019-05-17 17:30:00,Avis d'Ã©bullition,Travaux publics
43,Repentigny,6,Inactif,2019-05-16 16:30:00,2019-05-23 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
44,Repentigny,15,Inactif,2019-05-16 10:00:00,2019-05-21 14:00:00,Avis d'Ã©bullition,Travaux publics
45,Repentigny,5,Inactif,2019-05-17 04:00:00,2019-05-24 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
46,Repentigny,16,Inactif,2019-05-20 08:00:00,2019-05-24 13:00:00,Avis d'Ã©bullition,Travaux publics
48,Repentigny,17,Inactif,2019-05-16 22:00:00,2019-05-21 21:00:00,Avis d'Ã©bullition,Travaux publics
49,Repentigny,7,Inactif,2019-05-24 04:00:00,2019-07-04 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
50,Repentigny,18,Inactif,,2019-05-31 11:30:00,Avis d'Ã©bullition,Travaux publics
52,Repentigny,8,Inactif,2019-05-31 04:00:00,2019-06-12 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
53,Repentigny,19,Inactif,2019-05-30 18:00:00,2019-06-03 13:30:00,Avis d'Ã©bullition,Travaux publics
54,Repentigny,20,Inactif,2019-06-04 18:45:00,2019-06-06 11:00:00,Avis d'Ã©bullition,Travaux publics
55,Repentigny,9,Inactif,2019-06-13 04:00:00,2019-06-20 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
56,Repentigny,21,Inactif,2019-06-12 02:30:00,2019-06-19 11:30:00,Avis d'Ã©bullition,Travaux publics
57,Repentigny,10,Inactif,2019-06-14 04:00:00,2019-06-26 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
58,Repentigny,22,Inactif,2019-06-26 16:30:00,2019-07-05 12:20:00,Avis d'Ã©bullition,Travaux publics
59,Repentigny,23,Inactif,2019-07-01 01:30:00,2019-07-06 11:00:00,Avis d'Ã©bullition,Travaux publics
60,Repentigny,24,Inactif,2019-07-06 10:30:00,2019-07-07 19:00:00,Avis d'Ã©bullition,Travaux publics
61,Repentigny,25,Inactif,2019-07-12 07:15:00,2019-07-15 16:30:00,Avis d'Ã©bullition,Travaux publics
62,Repentigny,11,Inactif,2019-07-16 04:00:00,2019-07-22 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
63,Repentigny,26,Inactif,2019-07-16 19:00:00,2019-07-19 19:00:00,Avis d'Ã©bullition,Travaux publics
64,Repentigny,27,Inactif,2019-07-18 19:00:00,2019-07-20 23:00:00,Avis d'Ã©bullition,Travaux publics
65,Repentigny,12,Inactif,2019-07-22 04:00:00,2019-09-12 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
66,Repentigny,28,Inactif,2019-07-23 16:15:00,2019-07-26 11:30:00,Avis d'Ã©bullition,Travaux publics
67,Repentigny,29,Inactif,2019-07-31 19:30:00,2019-08-05 14:00:00,Avis d'Ã©bullition,Travaux publics
68,Repentigny,13,Inactif,2019-07-31 04:00:00,2019-09-12 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
69,Repentigny,30,Inactif,2019-08-07 10:00:00,2019-08-09 11:00:00,Avis d'Ã©bullition,Travaux publics
70,Repentigny,14,Inactif,2019-08-02 04:00:00,2019-09-09 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
71,Repentigny,31,Inactif,2019-08-16 19:00:00,2019-08-22 13:00:00,Avis d'Ã©bullition,Travaux publics
72,Repentigny,33,Inactif,2019-08-24 12:00:00,2019-08-27 17:00:00,Avis d'Ã©bullition,Travaux publics
73,Repentigny,34,Inactif,2019-08-22 17:00:00,2019-08-30 21:00:00,Avis d'Ã©bullition,Travaux publics
74,Repentigny,35,Inactif,2019-08-30 01:40:00,2019-09-03 17:00:00,Avis d'Ã©bullition,Travaux publics
75,Repentigny,36,Inactif,2019-08-29 18:30:00,2019-09-03 17:00:00,Avis d'Ã©bullition,Travaux publics
76,Repentigny,37,Inactif,2019-09-04 17:15:00,2019-09-09 12:00:00,Avis d'Ã©bullition,Travaux publics
77,Repentigny,38,Inactif,2019-09-09 22:00:00,2019-09-11 18:15:00,Avis d'Ã©bullition,Travaux publics
78,Repentigny,39,Inactif,2019-09-16 20:35:00,2019-09-18 20:15:00,Avis d'Ã©bullition,Travaux publics
79,Repentigny,40,Inactif,2019-09-19 15:05:00,2019-09-23 11:30:00,Avis d'Ã©bullition,Travaux publics
80,Repentigny,15,Inactif,2019-09-19 04:00:00,2019-09-23 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
81,Repentigny,41,Inactif,2019-10-01 21:00:00,2019-10-07 12:45:00,Avis d'Ã©bullition,Travaux publics
82,Repentigny,42,Inactif,2019-10-10 14:57:00,2019-10-10 14:57:00,Avis d'Ã©bullition,Travaux publics
83,Repentigny,43,Inactif,2019-10-19 12:00:00,2019-10-23 13:00:00,Avis d'Ã©bullition,Travaux publics
88,Repentigny,46,Inactif,2019-10-23 14:30:00,2019-10-28 14:00:00,Avis d'Ã©bullition,Travaux publics
89,Repentigny,46,Inactif,2019-10-23 14:30:00,2019-10-28 14:00:00,Avis d'Ã©bullition,Travaux publics
90,Repentigny,44,Inactif,2019-11-19 12:00:00,2019-10-25 14:45:00,Avis d'Ã©bullition,Travaux publics
91,Repentigny,45,Inactif,2019-10-21 19:00:00,2019-10-30 14:30:00,Avis d'Ã©bullition,Travaux publics
94,Repentigny,47,Inactif,2019-10-31 16:25:00,2019-11-04 14:30:00,Avis d'Ã©bullition,Travaux publics
95,Repentigny,48,Inactif,2019-10-31 23:15:00,2019-11-04 14:30:00,Avis d'Ã©bullition,Travaux publics
96,Repentigny,49,Inactif,2019-11-07 20:45:00,2019-11-11 21:00:00,Avis d'Ã©bullition,Travaux publics
97,Repentigny,51,Inactif,2019-11-18 16:00:00,2019-11-19 21:00:00,Avis d'Ã©bullition,Travaux publics
98,Repentigny,52,Inactif,2019-11-18 16:45:00,2019-11-19 21:00:00,Avis d'Ã©bullition,Travaux publics
99,Repentigny,53,Inactif,2019-11-19 00:35:00,2019-11-22 15:00:00,Avis d'Ã©bullition,Travaux publics
100,Repentigny,54,Inactif,2019-11-19 03:20:00,2019-11-22 15:00:00,Avis d'Ã©bullition,Travaux publics
101,Repentigny,55,Inactif,2019-11-22 17:30:00,2019-11-26 20:00:00,Avis d'Ã©bullition,Travaux publics
102,Repentigny,50,Inactif,,2019-11-19 21:00:00,Avis d'Ã©bullition,Travaux publics
103,Repentigny,56,Inactif,2019-11-25 18:25:00,2019-12-02 14:00:00,Avis d'Ã©bullition,Travaux publics
104,Repentigny,57,Inactif,2019-12-02 05:00:00,2019-12-04 15:15:00,Avis d'Ã©bullition,Travaux publics
105,Repentigny,58,Inactif,2019-12-02 20:30:00,2019-12-04 19:00:00,Avis d'Ã©bullition,Travaux publics
106,Repentigny,59,Inactif,2019-12-06 19:30:00,2019-12-11 13:00:00,Avis d'Ã©bullition,Travaux publics
109,Repentigny,60,Inactif,2019-12-12 18:20:00,2019-12-16 16:15:00,Avis d'Ã©bullition,Travaux publics
110,Repentigny,61,Inactif,2019-12-13 03:20:00,2019-12-16 16:15:00,Avis d'Ã©bullition,Travaux publics
111,Repentigny,62,Inactif,2019-12-15 21:20:00,2019-12-17 20:35:00,Avis d'Ã©bullition,Travaux publics
112,Repentigny,63,Inactif,2019-12-19 03:00:00,,Avis d'Ã©bullition,Travaux publics
113,Repentigny,64,Inactif,2019-12-19 09:20:00,,Avis d'Ã©bullition,Travaux publics
114,Repentigny,1,Inactif,2020-01-10 20:00:00,2020-01-14 19:00:00,Avis d'Ã©bullition,Travaux publics
115,Repentigny,2,Inactif,2020-01-27 13:00:00,2020-01-28 20:45:00,Avis d'Ã©bullition,Travaux publics
116,Repentigny,3,Inactif,2020-01-30 10:00:00,2020-02-03 12:45:00,Avis d'Ã©bullition,Travaux publics
117,Repentigny,4,Inactif,2020-02-04 08:00:00,2020-02-06 13:00:00,Avis d'Ã©bullition,Travaux publics
118,Repentigny,5,Inactif,2020-02-05 17:15:00,2020-02-06 19:00:00,Avis d'Ã©bullition,Travaux publics
119,Repentigny,6,Inactif,2020-02-14 22:30:00,2020-02-19 13:00:00,Avis d'Ã©bullition,Travaux publics
120,Repentigny,7,Inactif,2020-02-29 00:30:00,2020-03-04 14:00:00,Avis d'Ã©bullition,Travaux publics
121,Repentigny,8,Inactif,2020-03-02 02:35:00,2020-03-03 18:45:00,Avis d'Ã©bullition,Travaux publics
122,Repentigny,10,Inactif,2020-03-03 09:00:00,2020-03-09 11:30:00,Avis d'Ã©bullition,Travaux publics
124,Repentigny,9,Inactif,2020-03-02 19:00:00,2020-03-09 11:30:00,Avis d'Ã©bullition,Travaux publics
125,Repentigny,11,Inactif,2020-03-07 17:42:00,2020-03-11 16:00:00,Avis d'Ã©bullition,Travaux publics
126,Repentigny,12,Inactif,2020-03-07 23:50:00,2020-03-11 16:00:00,Avis d'Ã©bullition,Travaux publics
127,Repentigny,13,Inactif,2020-03-12 10:30:00,2020-03-13 22:00:00,Avis d'Ã©bullition,Travaux publics
129,Repentigny,14,Inactif,2020-03-17 18:40:00,2020-03-20 14:55:00,Avis d'Ã©bullition,Travaux publics
130,Repentigny,15,Inactif,2020-03-31 17:20:00,2020-04-02 17:15:00,Avis d'Ã©bullition,Travaux publics
131,Repentigny,16,Inactif,2020-04-20 19:00:00,2020-04-23 14:50:00,Avis d'Ã©bullition,Travaux publics
132,Repentigny,17,Inactif,2020-05-02 09:00:00,2020-05-05 18:30:00,Avis d'Ã©bullition,Travaux publics
133,Repentigny,18,Inactif,2020-05-04 16:00:00,2020-05-08 13:00:00,Avis d'Ã©bullition,Travaux publics
134,Repentigny,19,Inactif,2020-05-12 03:30:00,2020-05-14 16:00:00,Avis d'Ã©bullition,Travaux publics
135,Repentigny,20,Inactif,2020-05-17 14:00:00,2020-05-20 17:00:00,Avis d'Ã©bullition,Travaux publics
136,Repentigny,21,Inactif,2020-05-19 20:00:00,2020-05-25 11:00:00,Avis d'Ã©bullition,Travaux publics
137,Repentigny,23,Inactif,2020-05-26 02:00:00,2020-05-28 15:30:00,Avis d'Ã©bullition,Travaux publics
139,Repentigny,6,Inactif,2020-06-03 12:00:00,2020-06-03 21:00:00,Avis d'Ã©bullition,Gestion des infrastructures
140,Repentigny,8,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
141,Repentigny,9,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
142,Repentigny,10,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
143,Repentigny,11,Inactif,2020-06-02 12:00:00,2020-06-02 22:00:00,Avis d'Ã©bullition,Gestion des infrastructures
